##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
DISPLAY_PAUSE;§YDisplay this type of message in a message box & Pause;§YAfficher boоte de message et mettre en pause;§YVisualizza questo tipo di messaggio e metti in pausa ;§YMostrar estos mensajes en recuadro y hacer pausa;§YDiese Nachrichten in einem Kдstchen anzeigen & pausieren;§YWyњwietlaj okno komunikatu z pauz№;;§YПоказывать в отдельном окне и вызывать паузу;;;X
MESSAGE_HEADER;§YINGAME MESSAGES;§YMESSAGES DE JEU;§YMESSAGGI DI GIOCO;§YMENSAJES JUEGO;§YNACHRICHTEN IM SPIEL;§YKomunikaty w trakcie gry;;§YИГРОВЫЕ СООБЩЕНИЯ;;;X
MESSAGE_HEADER_PROPERTIES;§YMESSAGE PROPERTIES;§YPROPRIETES DES MESSAGES;§YPROPRIETА DEI MESSAGGI;§YPROPIEDADES MENSAJES;§YNACHRICHTENEIGENSCHAFTEN;§YUstawienia komunikatуw;;§YНАСТРОЙКА СООБЩЕНИЙ;;;X
##;;;;;;;;;;;X
#  SIDEBAR BUTTONS;;;;;;;;;;;X
##;;;;;;;;;;;X
BUTTON_MAP;View Map;Afficher la carte;Visualizza mappa;Ver mapa;Karte anzeigen;Mapa gіуwna;;Карта мира;;;X
BUTTON_TECH;Technology;Technologie;Tecnologia;Tecnologнa;Technologie;Technologie;;Технологии;;;X
BUTTON_PROD;Economy;Economie;Produzione;Producciуn;Produktion;Produkcja;;Производство;;;X
BUTTON_DIP;Diplomacy;Diplomatie;Diplomazia;Diplomacia;Diplomatie;Dyplomacja;;Дипломатия;;;X
BUTTON_LEDGER;Statistics;Statistiques;Statistiche;Estadнsticas;Statistik;Statystyki;;Статистика;;;X
BUTTON_ECO;Economic Mapmode;Economie;Mappa economica;Mapa econуmico;Wirtschafts-Karte;Mapa ekonomiczna;;Экономическая карта;;;X
BUTTON_WEATHER;Weather Mapmode;Mйtйo;Mappa meteo;Mapa del pronуstico del tiempo;Wetter-Karte;Mapa pogody;;Погодная карта;;;X
BUTTON_0098;Edit Cities;Йditer les citйs;Modifica cittа;Edit. ciudades;bearbeiten von Stдdten;Edytuj miasta;;Править города;;;X
BUTTON_0100;Edit Ports;Йditer les ports;Modifica porti;Edit. puertos;bearbeiten vom Hafen;Edytuj porty;;Править порты;;;X
BUTTON_0102;Edit Units;Йditer les unitйs;Modifica unitа;Edit. unid.;bearbeiten von Einheiten ;Edytuj jednostki;;Править части;;;X
BUTTON_0104;Edit Beaches;Йditer les plages;Modifica spiagge;Edit. playas;bearbeiten von Strдnden;Edytuj fort. nadbrz.;;Править берег;;;X
BUTTON_0106;Edit Fort;Йditer fort.;Modifica forte;Edit. forts.;bearbeiten von Befestigungen;Edytuj fort. l№dowe;;Править укрепления;;;X
BUTTON_0108;Edit AA;Йditer AA;Modifica CA;Edit. AA;bearbeiten von Flak;Edytuj plot.;;Править ПВО;;;X
##;;;;;;;;;;;X
CLOSE;CLOSE;FERMER;CHIUDI;CERRAR;SCHLIESSEN;Zamknij;;ЗАКРЫТЬ;;;X
##;;;;;;;;;;;X
#  PEACE OFFER WINDOW;;;;;;;;;;;X
##;;;;;;;;;;;X
POLEADER;%s as LEADER of alliance;%s, en tant que CHEF de l'alliance;%s come CAPO dell'alleanza;%s como LНDER de alianza;%s als FЬHRER des Bьndnisses;%s jako przywуdca sojuszu;;%s (лидер союза);;;X
PONATION;%s ALONE (separate peace);%s UNIQUEMENT (paix sйparйe);%s DA SOLO (pace separata);%s SOLIT. (paz por separado);%s ALLEIN (ein anderer Frieden);%s samodzielnie (pokуj separatystyczny);;%s (сепаратный мир);;;X
##;;;;;;;;;;;X
# NOTE: POPROLLPROV is a rollover help where the first %s is the name of a province, and the second %s is either string PORPOLLDEMAND or POPROLLOFFER.;;;;;;;;;;;X
POROLLPROV;Remove %s from %s.;Enlever %s de %s.;Rimuovi %s dalla %s.;Quitar %s de %s.;%s von %s abziehen.;Usuс %s z %s.;;Отдать провинцию %s в качестве %s.;;;X
POROLLDEMAND;the peace demand;la demande de paix;richiesta di pace;la peticiуn de paz;die Friedensforderung;ї№danie pokoju;;требования перемирия;;;X
POROLLOFFER;the peace offer;l'offre de paix;offerta di pace;la oferta de paz;das Friedensangebot;oferta pokoju;;предложения перемирия;;;X
##;;;;;;;;;;;X
POROLLDEMPROV;Demand %s in tribute.;Demander %s en йchange.;Richiedi un tributo in %s.;Exigir %s en tributo.;Fordern Sie %s als Tribut.;Ї№daj daniny %s.;;Потребовать провинцию %s.;;;X
POROLLOFFPROV;Offer %s in tribute.;Offrir %s en йchange.;Offri un tributo a %s.;Ofrecer %s en tributo.;%s als Tribut anbieten.;Zaoferuj daninк %s.;;Предложить провинцию %s.;;;X
# Wardescriptions;;;;;;;;;;;X
WARDESC_OCCUPIED;-%d: They occupy %s.\n;%d: ils occupent %s.\n;-%d: occupano %s.\n;-%d: ocupan %s.\n;-%d: Sie besetzen %s.\n;-%d: Oni okupuj№ %s.\n;;-%d: %s под контролем врага.\n;;;X
WARDESC_LIBERATED;+%d: We occupy %s.\n;+%d: nous occupons %s.\n;+%d: occupiamo %s.\n;+%d: ocupamos %s.\n;+%d: Wir besetzen %s.\n;+%d: My okupujemy %s.\n;;+%d: %s под нашим контролем.\n;;;X
WARDESC_BATTLE;%d: Battles with %s\n;%d: batailles avec %s\n;%d: battaglie con %s\n;%d: combate con %s\n;%d: Schlachten mit %s\n;%d: Bitwy z %s\n;;%d: Битвы с государством %s.\n;;;X
WARDESC_ALLIANCE;%d: Battles with the alliance\n;%d: batailles avec l'alliance\n;%d: battaglie con l'alleanza\n;%d: combate con la alianza\n;%d: Schlachten mit dem Bьndnis\n;%d: Bitwy z sojuszem\n;;%d: Битвы с союзом\n;;;X
##;;;;;;;;;;;X
#  LEADER TYPES ? note: not rank but 'type';;;;;;;;;;;X
##;;;;;;;;;;;X
GENERAL;General;Gйnйral;Generale;General;General;Generaі;;Генерал;;;X
ADMIRAL;Admiral;Amiral;Ammiraglio;Almirante;Admiral;Admiraі;;Адмирал;;;X
##;;;;;;;;;;;X
#  DYNAMIC UNIT DESIGNATIONS;;;;;;;;;;;X
##;;;;;;;;;;;X
UNITNAMESQUADRON;Squadron;Escadrille;Squadrone;Escuadrуn;Geschwader;Eskadra;;эскадра;;;X
UNITNAMEAIRFLEET;Squadron;Escadrille;Squadrone;Escuadrilla;Luftgeschwader;Eskadra;;эскадрилья;;;X
UNITNAMEFLEET;Fleet;Flotte;Flotta;Flota;Flotte;Flotylla;;флот;;;X
UNITNAMECORPS;Corps;Corps;Corpi;Cuerpo;Korps;Korpus;;корпус;;;X
UNITNAMEARMY;Army;Armйe;Esercito;Ejйrcito;Armee;Armia;;Армия;;;X
##;;;;;;;;;;;X
INVINCIBLE;Invincible;Invincible;Invincibile;Irreductible;Unbesiegbar;Nie do pokonania;;Максимальный;;;X
VERYSTRONG;Very Strong;Trиs bon;Molto forte;Muy fuerte;Sehr stark;Bardzo wysokie;;Очень высокий;;;X
STRONG;Strong;Bon;Forte;Fuerte;Stark;Wysokie;;Высокий;;;X
DISCIPLINED;Disciplined;Disciplinй;Disciplinato;Disciplinada;Diszipliniert;Њrednie;;Нормальный;;;X
WEAK;Weak;Faible;Debole;Dйbil;Schwach;Sіabe;;Низкий;;;X
BREAKING;Breaking;Cassй;Distrutto;En ruptura;Schwindend;Bliskie zaіamaniu;;Очень низкий;;;X
PANIC;Panic;Panique;Terrorizzato;Pбnico;Panik;Panika;;Паника;;;X
##;;;;;;;;;;;X
NIWNTP;TC: %d/%d;CT : %d/%d;CT: %d/%d;CT: %d/%d.;TK: %d/%d;ZT: %d/%d;;ПС: %d из %d;;;X
##;;;;;;;;;;;X
#  UNIT INFORMATION WINDOWS;;;;;;;;;;;X
##;;;;;;;;;;;X
EXP_SEND;Send %s;Envoyer %s;Invia %s;Enviar %s;%s entsenden;Wyњlij %s;;Отправить %s;;;X
##;;;;;;;;;;;X
DIPROL_COST;We lack the %.f funds we require.;Il nous manque %.f des fonds dont nous avons besoin.;Non disponiamo del necessario finanziamento di %.f.;Nos faltan los fondos necesarios (%.f).;Wir benцtigen %.f Geld.;Brakuje nam %.f wymaganych funduszy.;;Нам не хватает следующей суммы денег: %.f.;;;X
##;;;;;;;;;;;X
DIPROL_NO_INSTANT;(Diplomat en route);(diplomate en chemin);(Diplomatico in viaggio);(Diplomбtico en camino);(Diplomat im Transfer);(Dyplomata w drodze);;Дипломат в пути.;;;X
##;;;;;;;;;;;X
DEPRECATED_LEAVECURRENT;(Please note that you will leave your current alliance.);(Remarquez que vous allez quitter votre alliance actuelle.);(Attenzione: cosм facendo uscirai dall'alleanza attuale.);(Ten en cuenta que dejarбs tu alianza actual).;(Bitte nehmen sie zur Kenntnis, dass sie Ihr momentanes Bьndnis verlassen werden.);(Pamiкtaj, їe tym samym opuњcisz aktualny sojusz);;(Обратите внимание на то, что вам придется покинуть текущий альянс.);;;X
DEPRECATED_DIPROL_INV77;A puppet can not invite anyone to any alliances.;Un йtat fantoche ne peut pas inviter quiconque dans une quelconque alliance.;Uno stato fantoccio non puт invitare un nuovo membro nell’alleanza.;Un tнtere no puede invitar a nadie a alianza alguna.;Ein Marionettenstaat kann keine Einladung zu einem Militдrbьndnis aussprechen.;Paсstwo satelickie nie moїe nikogo zapraszaж do sojuszu.;;Страна-марионетка не может приглашать новых членов альянса.;;;X
DEPRECATED_DIPROL_INV99;Only a leader of an alliance may invite new members to it.;Seulement le leader d'une alliance peut inviter de nouveaux membres.;Solo il leader dell’alleanza puт invitare nuovi membri.;Sуlo el lнder de la alianza puede invitar a nuevos miembros.;Nur der Anfьhrer eines Bьndnisses kann neue Mitglieder dazu einladen.;Tylko przywуdca sojuszu moїe do niego zapraszaж.;;Только лидер альянса может приглашать в него новых членов.;;;X
DEPRECATED_DIPROL_SE_2;You may only send expeditionary forces to your allies.;Des corps expйditionnaires peuvent seulement кtre prкtйs а vos alliйs.;Puoi solo inviare delle forze di spedizione ai tuoi alleati.;Sуlo puedes enviar fuerzas expedicionarias a aliados.;Sie kцnnen Truppen nur an Verbьndete entsenden.;Korpus ekspedycyjny wysіaж moїesz jedynie do sojusznika.;;Вы можете выслать экспедиционный корпус только своему союзнику.;;;X
DEPRECATED_INV_DEM;%s is demanding parts of your territory.;%s demande une part de votre territoire.;%s pretende parte del tuo territorio.;%s reclama partes de tu territorio.;%s verlangt Teile Ihres Territoriums.;%s ї№da czкњci naszego terytorium.;;%s требует часть нашей территории.;;;X
PEACETERM_PROV2;%s (->%s);%s (->%s);%s (->%s);%s (->%s);%s (->%s);%s (->%s);;%s (->%s);;;X
##;;;;;;;;;;;X
TREATY_PEACE;Peace;Paix;Frieden;Paz;Frieden;Pokуj;;Мир;;;X
TREATY_NON_AGGRESSION;Non-Aggression Pact;Pacte de non-agression;Patto di non belligeranza;Pacto de no agresiуn;Nichtangriffspakt;Pakt o nieagresji;;Договор о ненападении;;;X
TREATY_TRADE;Trade Agreement;Accord d’йchange commercial;Accordo commerciale;Acuerdo comercial;Handelsabkommen;Umowa handlowa;;Торговое соглашение;;;X
DIPPEACE;Offer Peace;Proposer la paix;Offri la pace;Oferta de paz;Frieden anbieten;Zaproponuj pokуj;;Предложить мир;;;X
##;;;;;;;;;;;X
DIPROL_AMC_0;Assume Military Control of %s.  This is only possible if they are part of your alliance.;Exercer le contrфle militaire de %s. Ceci n'est possible que si cette nation fait partie de votre alliance.;Assumi il controllo militare di %s. Ciт и possibile solo se fanno parte della tua alleanza.;Asumir el mando militar de %s. Esto sуlo es posible si forma parte de tu alianza.;Militдrischen Oberbefehl von %s ьbernehmen. Dies ist nur mцglich, wenn sie Mitglied unseres Bьndnisses sind.;Przejmij kontrolк militarn№ nad %s. Opcja dostкpna tylko jeїeli paсstwo jest Twoim sojusznikiem.;;Подчинить вооруженные силы государства %s нашему генштабу. (Это возможно лишь в том случае, если между нами заключен военный союз.);;;X
DIPROL_CMC_0;Cancel Military Control of %s.;Annuler le contrфle des armйes de %s.;Annulla il controllo militare di %s.;Cancelar el control militar de %s.;Militдrische Kontrolle von %s aufheben.;Zrezygnuj z kontroli militarnej nad %s.;;Отменить подчинение вооруженных сил государства %s нашему генштабу.;;;X
DIPROL_RPUP_0;End our Control over the Regime in %s.;Suspendre notre contrфle du rйgime de %s.;Metti fine o assumi il controllo del regime in %s.;Terminar nuestro control sobre el rйgimen de %s.;Unsere Herrschaft ьber das Regime in %s beenden.;Zakoсcz nasz№ kontrolк nad rz№dem w %s.;;Прекратить управление марионеточным режимом в государстве %s.;;;X
DIPROL_SE_0;Send an expeditionary force to %s. This opens up an interface where we can select which unit to give to another nation.;Envoyer un corps expйditionnaire а %s. Une nouvelle fenкtre s'ouvre alors pour vous permettre de dйfinir quelle unitй vous souhaiter envoyer.;Invia una forza di spedizione in %s. Apparirа un'interfaccia, attraverso la quale selezionare l'unitа da inviare a un'altra nazione.;Enviar una fuerza expedicionaria a %s. Esto abre una interfaz donde se puede seleccionar quй unidad se le cede a la otra naciуn.;Truppen nach %s entsenden. Es цffnet eine Schaltflдche, in der wir die einer anderen Nation zu ьberstellenden Einheiten auswдhlen kцnnen.;Wyњlij korpus ekspedycyjny do %s. Opcja otworzy menu pozwalaj№ce Ci wybraж jednostki, ktуre chcesz oddaж innemu paсstwu.;;Отправить экспедиционные войска в государство %s. Будет открыто окно, в котором мы сможем выбрать войска, направляемые на помощь союзнику.;;;X
DIPROL_SE_1;We can only send expeditionary forces to allies.;Nous ne pouvons envoyer corps expйditionnaire qu'а nos alliйs.;Possiamo solamente inviare forze di spedizione agli alleati.;Sуlo podemos enviar fuerzas expedicionarias a aliados.;Wir kцnnen unseren Verbьndeten nur Truppen senden.;Moїemy wysіaж korpus ekspedycyjny tylko do naszych sojusznikуw.;;Мы можем посылать экспедиционные войска только союзникам.;;;X
DIPROL_PUP_0;Create a puppet regime in %s. This is only possible when we control more than 66 percent of their key points.  They will then submit to all our territorial demands and install a loyal regime. They will also join our alliance and grant us access through their territory.;Instaurer un satellite en %s. Ceci n'est possible que si vous contrфlez plus de 2/3 des points stratйgiques de cette nation. Le nouveau gouvernement nous sera loyal et cйdera а toutes nos revendications territoriales. La nation rejoindra йgalement notre alliance et nous accordera l'accиs militaire sur son sol.;Crea un governo fantoccio in %s. Ciт и possibile solo se controlli piщ del 66 per cento dei loro punti chiave. A questo punto, esaudiranno tutte le tue richieste territoriali, instaureranno un regime fedele, si uniranno alla tua alleanza e ti garantiranno l'accesso nel loro territorio.;Crear un gobierno tнtere en %s. Sуlo se podrб solicitar cuando controlemos mбs del 66 por ciento de sus puntos claves.  Entonces accederбn a todas nuestras reclamaciones territoriales e instaurarбn un rйgimen que nos serб fiel. Tambiйn se unirбn a nuestra alianza y, ademбs, nos concederбn acceso por su territorio.;Erstellen Sie eine Marionettenregime in %s. Dies kann nur angefordert werden, wenn wir ьber 66 Prozent ihrer Schlьsselpunkte kontrollieren. Dann werden sie all ihre Gebietsansprьche an uns abtreten und eine loyale Regierung aufstellen. Weiterhin werden sie unserem Bьndnis beitreten und uns eine Durchmarschgenehmigung durch ihr Territorium erteilen.;Stwуrz paсstwo satelickie w %s. Opcja dostкpna tylko w przypadku kontrolowania ponad 66 procent ich kluczowych punktуw. Paсstwo odda nam wszystkie tereny, ktуrych zarz№dzamy, zaprzysiкgnie nowy, lojalny nam rz№d, zostanie naszym sojusznikiem i zapewni nam dostкp militarny.;;Установить марионеточный режим в государстве %s. Это возможно только в том случае, если вы контролируете не менее 66 процентов их ключевых провинций. Они уступят нам все провинции, на которые мы претендуем, и установят лояльный к нам режим. Кроме того, они автоматически войдут в наш союз и предоставят право на проход войск через их территорию.;;;X
DIPROL_DEMT_0;We will ask %s to cede the provinces which are rightfully ours.;Nous exigerons de %s qu'ils nous cиdent les provinces qui nous reviennent de droit.;Chiederemo a %s di cedere le province che ci spettano di diritto.;Pediremos a %s las provincias que nos pertenecen por derecho.;Wir bitten %s um die Abtretung der Provinzen, die uns rechtmдЯig gehцren.;Zaї№damy od %s oddania prowincji, ktуre prawnie siк nam naleї№.;;Мы потребуем у государства %s уступить нам провинции, которые принадлежат нам по праву.;;;X
DEPRECATED_DIPROL_DEMT_1;It is against our policy to claim provinces from %s.;Il est contre notre politique de rйclamer des provinces de %s.;E' contrario alle nostre politiche reclamare province da %s.;Es contrario a nuestra polнtica reclamar provincias de %s.;Es ist gegen unsere Politik, Provinzen von %s zu fordern.;Jest przeciwko naszej polityce, by ї№daж prowincji od: %s.;;Это противоречит нашей политике - требовать провинции у государства %s.;;;X
DIPROL_LA_0;We are not part of any Military Alliance so we cannot leave one.;Nous ne faisons partie d'aucune alliance militaire, nous ne pouvons donc pas la quitter !;Non facciamo parte di alcuna alleanza militare, quindi non possiamo uscirne.;No formamos parte de una alianza militar, y no podemos salir de ninguna.;Wir gehцren keinem Militдrbьndnis an, deshalb kцnnen wir auch keines verlassen.;Nie naleїymy do їadnego sojuszu, wiкc nie moїemy їadnego opuњciж.;;Мы не входим ни в один из военных союзов.;;;X
DIPROL_LA_1;We cannot leave our current alliance. This is not possible because it is a major alliance and we lead it or are in a war.;Nous ne pouvons quitter notre alliance actuelle. Chose impossible s’il s’agit d’une faction majeure, et que nous la dirigeons, ou si nous sommes en guerre.;Non possiamo abbandonare l’attuale alleanza. Questo non и possibile se si tratta di uno schieramento importante di cui noi siamo i leader oppure se и impegnato in una guerra.;No podemos dejar nuestra alianza actual. Esto no es posible si es una facciуn importante y la lideramos o estamos en guerra.;Wir kцnnen unser aktuelles Bьndnis nicht verlassen. Das ist nicht mцglich, wenn es sich dabei um eine wichtige Fraktion handelt und wir diese anfьhren oder wir uns im Krieg befinden.;Nie moїemy opuњciж sojuszu jeњli prowadzimy wojnк lub jeњli jesteњmy przywуdc№ jednej z historycznych stron konfliktu.;;Мы не можем выйти из военного союза. Это невозможно, пока мы возглавляем его, или находимся в состоянии войны.;;;X
DIPROL_LA_2;We will leave the military alliance with %s.;Nous allons quitter l'alliance militaire avec %s.;Romperemo l'alleanza militare con %s.;Dejaremos la alianza militar con %s.;Wir werden das Militдrbьndnis mit %s verlassen.;Wypowiemy sojusz z %s.;;Мы выйдем из военного союза с государствами: %s.;;;X
DIPROL_IN_0;Influence %s to make their policies and views more similar to ours.;Influencer %s pour que l'orientation politique de cette nation se rapproche de la nфtre.;Convinci %s ad assumere atteggiamenti e punti di vista simili ai tuoi.;Influir en %s para que su polнtica y visiуn sean mбs similares a las nuestras.;%s beeinflussen, um ihre Politik und Ansichten den unseren weiter anzunдhern.;Wpіyс na paсstwo: %s, niech zmieni№ swoj№ politykк i pogl№dy na bliїsze naszym.;;Повлиять на государство %s, чтобы их политика шла в русле наших интересов.;;;X
DIPROL_CN_0;Replace the government of %s with a government more loyal to us.;Destituer le gouvernement de %s et le remplacer par un autre qui nous soit plus favorable.;Rimpiazza il governo di %s con uno piщ fedele.;Sustituir al gobierno de %s por otro que nos sea mбs leal.;Die Regierung von %s mit einer uns loyaler gesinnten Regierung ersetzen.;Wymieс skіad rz№du %s na bardziej lojalny wobec nas.;;Заменить правительство страны %s на другое, более лояльное к нам.;;;X
DIPROL_WAR0;While at war with a nation you can move your troops into its territory and occupy its territory. Occupied territory adds resources to your nation.  When you have fully conquered another nation, you can then annex them.;En temps de guerre, vous pouvez dйplacer vos troupes vers les territoires ennemis et les occuper. Les provinces occupйes vous fournissent alors toutes leurs ressources. Une nation intйgralement conquise peut кtre annexйe.;Mentre sei in guerra con una nazione, puoi spostare le tue truppe all'interno del suo territorio e occuparlo (prendendo le risorse). Quando conquisti completamente un'altra nazione, puoi annetterla.;Mientras estйs en guerra con una naciуn, podrбs mover tus tropas por su territorio y ocuparlo. El territorio ocupado supone mбs recursos para tu naciуn.  Cuando hayas conquistado por completo otra naciуn, podrбs anexionбrtela.;Wenn Sie sich mit einer Nation im Krieg befinden, kцnnen Sie Ihre Truppen auf das Territorium dieser Nation verlegen und es besetzen. Ihre Nation wird von besetzten Gebieten mit Ressourcen beliefert. Wenn Sie eine andere Nation vollstдndig erobert haben kцnnen Sie sie annektieren.;Podczas wojny z innym paсstwem moїesz przesun№ж swoje wojska na teren przeciwnika i rozpocz№ж jego okupacjк. Taka prowincja przekazuje zasoby na rzecz Twojego kraju. Kiedy caіkowicie podbijesz jakieњ paсstwo, moїesz dokonaж jego aneksji.;;Когда мы находимся в состоянии войны с каким-либо государством, мы можем перемещать войска на его территорию и оккупировать ее. Ресурсы оккупированных территорий поступают в наше распоряжение. Если мы полностью завоевали другое государство, мы можем аннексировать его.;;;X
DIPROL_WAR1;You may not declare war upon %s again until %s %d.;Vous ne pouvez dйclarer la guerre а %s avant %s %d.;Non puoi dichiarare nuovamente guerra a %s fino a %s %d.;No puedes declararle la guerra a %s hasta: %s %d.;Sie kцnnen %s bis zum %s %d nicht den Krieg erklдren.;Nie moїesz ponownie rozpocz№ж wojny z %s aї do %s %d.;;Мы не можем объявить войну государству %s до %s %d.;;;X
DIPROL_WAR2;You may not declare war upon %s, since you are part of the same military alliance. You need to leave the alliance first.;Vous ne pouvez pas dйclarer la guerre а %s car vous faites partie de la mкme alliance militaire. Vous devez d'abord quitter votre alliance ou en exclure cette nation !;Non puoi dichiarare guerra a %s, poichй fate parte della medesima alleanza: prima devi abbandonarla o espellere il tuo avversario.;No puedes declararle la guerra a %s, ya que formбis parte de la misma alianza militar. Deja la alianza o expulsa a tu adversario antes.;Sie kцnnen %s nicht den Krieg erklдren, da Sie dem gleichen Militдrbьndnis angehцren. Verlassen Sie das Bьndnis zuerst oder verbannen Ihren Gegner daraus.;Nie moїesz wypowiedzieж wojny %s, poniewaї jesteњcie sojusznikami. Najpierw opuњж sojusz lub wyrzuж z niego przeciwnika.;;Мы не можем объявить войну стране %s, так как мы входим в один военный союз. Поэтому вам необходимо либо выйти из этого союза, либо исключить из него будущего противника.;;;X
DIPROL_WAR3;They have granted military access to us, so you cannot declare war.;Cette nation nous a accordй l'accиs militaire, vous ne pouvez donc pas lui dйclarer la guerre.;Ci hanno garantito l'accesso militare, quindi non puoi dichiarare guerra.;Nos han concedido acceso militar, asн que no puedes declararles la guerra.;Sie kцnnen ihnen nicht den Krieg erklдren, da sie uns eine Durchmarschgenehmigung erteilt haben.;Zezwolili nam na dostкp militarny do swojego terytorium, wiкc nie moїna im wypowiedzieж wojny.;;Они дали нам право на проход войск, поэтому мы не можем объявить им войну.;;;X
DIPROL_WAR4;As a democratic nation, you cannot declare war upon another nation when you are at peace, unless that nation is very Belligerent and you have a firm Interventionist Policy.;En tant que nation dйmocratique, vous ne pouvez pas tout bonnement dйclarer la guerre а un autre pays si vous кtes en paix, а moins qu’il ne possиde un niveau de belligйrance suffisant, et que vous n’ayez une Politique interventionniste ferme.;Come nazione democratica, non puoi semplicemente dichiarare guerra a un’altra nazione in tempo di pace, a meno che la nazione in questione non abbia un valore Belligeranza abbastanza alto e che tu non abbia una decisa Politica interventista.;Como naciуn democrбtica, no puedes declarar sin mбs la guerra a otra naciуn si estбis en paz, a menos que йsta tenga bastante beligerancia y tъ una firme polнtica intervencionista.;Als demokratische Nation kцnnen Sie nicht einfach einer anderen Nation in Friedenszeiten den Krieg erklдren, es sei denn, diese Nation verfьgt ьber einen hohen Aggressivitдts-Wert und Sie verfolgen eine klare Interventionspolitik. ;Jako demokratyczny narуd nie moїesz po prostu wypowiedzieж wojny innemu paсstwu, chyba їe paсstwo to jest bardzo wojownicze, a Ty popierasz politykк interwencjonizmu.;;Так как мы являемся демократическим государством, мы не можем объявить войну другому государству, если оно недостаточно агрессивно, и мы не проводим твердую интервенционистскую политику.;;;X
