#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X,,
TCNOT_RARE_MATERIALS;Below %d Rare Materials in pool\n;Moins de %d de matériaux rares;Meno di %d di materiali rari a disposizione\n;Menos de %d de materiales raros en reserva\n;Unter %d Seltene Materialien sind im Lager\n;Poni¿ej %d materia³ów rzadkich w puli\n;;;;;X,
TCNOT_SUPPLIES;Below %d Supplies in pool\n;Moins de %d de ravitaillement\n;Meno di %d di rifornimenti a disposizione\n;Menos de %d de suministros en reserva\n;Unter %d Nachschub sind im Lager\n;Poni¿ej %d zaopatrzenia w puli\n;;;;;X,
TCNOT_MANPOWER;Below %d available Manpower\n;Moins de %d de main d'oeuvre\n;Meno di %d di forza lavoro a disposizione\n;Menos de %d de rec, hum. disponibles\n;Unter %d Wehrfähige zugänglich\n;Poni¿ej %d dostêpnych zasobów ludzkich\n;;;;;X
TCNOT_DIFFICULTY;Below Difficulty %s\n;Au dessous de %s difficulté\n;Inferiore alla difficoltà %s\n;Menos de dificultad %s\n;Unter Schwierigkeit %s\n;Stopieñ trudnoœci poni¿ej %s\n;;;;;X,
TCNOT_CONVOY_POOL;Below %d unassigned Convoy Transports\n;Moins de %d des transports de convoi non attribués\n;Meno di %d convogli non assegnati\n;Menos de %d convoyes de transporte sin asignar\n;Unter %d freie Konvoitransporter\n;Poni¿ej %d nie przydzielonych transportowców\n;;;;;X,
TCNOT_EVENT_OCCURRED;Event %s should not have occurred\n;Evénement %s n'aurais pas du se passer\n;L'evento %s non doveva verificarsi\n;El suceso '%s' no debía haber ocurrido\n;Ereignis %s hätte nicht geschehen sollen\n;Wydarzenie %s powinno mieæ miejsce\n;;;;;X
TCNOT_RANDOM_CHANCE;%d\%% of occurring\n;%d\%% d'arriver\n;%d\%% di probabilità che accada\n;%d\%% de que ocurra\n;%d\%% des Vorkommens\n;%d\%% wyst¹pienia\n;;;;;X
TCNOT_LOST_VP;Enemies occupy less than %d\%% of the key points in %s\n;Les ennemis occupent moins de %d\%% des points clés dans %s\n;I nemici occupano meno del %d\%% dei punti chiave in %s\n;Los enemigos ocupan menos del %d\%% de los puntos clave en %s\n;Die Feinde besetzen weniger als %d\%% der Schlüsselpunkte in %s\n;Wróg okupuje mniej ni¿ %d\%% kluczowych punktów w %s\n;;;;;X
TCNOT_LOST_NATIONAL;Enemies occupy less than %d\%% of the national provinces in %s\n;Les ennemis occupent moins de %d\%% des provences nationales dans %s\n;I nemici occupano meno del %d\%% delle province nazionali in %s\n;Los enemigos ocupan menos del %d\%% de las provincias nacionales de %s\n;Die Feinde besetzen weniger als %d\%% der nationalen Provinzen in %s\n;Wróg okupuje mniej ni¿ %d\%% prowincji narodowych w %s\n;;;;;X
TCNOT_LOST_IC;Enemies occupy less than %d\%% of the IC in %s\n;Les ennemis occupent moins de %d\%% des PP dans %s\n;I nemici occupano meno del %d\%% della PI in %s\n;Los enemigos ocupan menos del %d\%% de la CI de %s\n;Die Feinde besetzen weniger als %d\%% der IS in %s\n;Wróg okupuje mniej ni¿ %d\%% PP w %s\n;;;;;X
TCNOT_INTEL_DIFF;Intelligence Advantage is worse than %d\n;l'avantage au niveau Intelligence est inférieur à %d\n;Il vantaggio in termini di Servizi Segreti è inferiore a %d\n;Superioridad de inteligencia inferior a %d\n;Geheimdienst Vorteil ist schlechter als %d\n;Przewaga wywiadu jest mniejsza ni¿ %d\n;;;;;X
TCNOT_DISSENT;Dissent is less than %d\n;le mécontentement est inférieur à %d\n;Il dissenso è inferiore a %d\n;Disensión inferior a %d\n;Unruhe liegt unter %d\n;Niezadowolenie jest mniejsze ni¿ %d\n;;;;;X
TCNOT_GOV_TYPE;Regime is not %s\n;Le régime n'est pas %s\n;Il regime non è %s\n;El régimen no es %s\n;Das Regime ist nicht %s\n;Re¿im nie jest %s\n;;;;;X
TCNOT_IDEOLOGY;Government is not %s\n;Le Gouvernment n'est pas %s\n;Il governo non è %s\n;El gobierno no es %s\n;Die Regierung ist nicht %s\n;Rz¹d nie jest %s\n;;;;;X
TCNOT_YEAR;The year is before %d\n;l'année est antérieure à %d\n;L'anno attuale è precedente al %d\n;Año anterior a %d\n;Das Jahr ist vor %d\n;Rok %d jeszcze nie nadszed³\n;;;;;X
TCNOT_VP;Victory Points below %d\n;Points de victoire inférieurs à %d\n;Punti vittoria inferiori a %d\n;Puntos de victoria inferiores a %d\n;Unter %d Siegespunkte\n;Iloœæ punktów zwyciêstwa poni¿ej %d\n;;;;;X
TCNOT_AT_WAR;At Peace\n;En paix\n;In pace\n;En paz\n;In Frieden\n;Pokój\n;;;;;X
TCNOT_AT_WAR_WITH;At Peace with %s\n;En paix avec %s\n;In pace con %s\n;En paz con %s\n;In Frieden mit %s\n;Pokój z %s\n;;;;;X
TCNOT_UNDER_ATTACK;%s is NOT under attack\n;%s n'est PAS attaqué\n;%s NON è sotto attacco\n;%s NO está bajo ataque\n;%s wird NICHT angegriffen\n;%s nie jest atakowane\n;;;;;X
TCNOT_IS_PUPPET;%s is not a Puppet Nation\n;%s n'est PAS un état fantoche\n;%s non è uno stato fantoccio\n;%s no es una nación títere\n;%s ist KEIN Marionettenstaat;Pañstwo: %s nie jest pañstwem satelickim \n;;;;;X
TCNOT_PUPPET;%s is not a Puppet of %s\n;%s n'est pas un état fantoche de %s\n;%s non è un governo fantoccio di %s\n;%s no es un títere de %s\n;%s ist KEINE Marionette von %s\n;Pañstwo: %s nie jest satelit¹ pañstwa: %s\n;;;;;X
TCNOT_OWNED;%s is NOT owned by %s\n;%s n'est PAS la propriété de %s\n;%s NON è un possedimento di %s\n;%s NO es propiedad de %s\n;%s ist NICHT Eigentum von %s\n;Prowincja: %s nie jest w posiadaniu pañstwa: %s\n;;;;;X,
TCNOT_CONTROLLED;%s is NOT controlled by %s\n;%s n'est PAS contrôlé par %s\n;%s NON è sotto il controllo di %s\n;%s NO está en control de %s\n;%s wird NICHT von %s kontrolliert\n;Prowincja: %s nie jest pod kontrol¹ pañstwa: %s\n;;;;;X,
TCNOT_GARRISON;Below %d divisions in %s\n;Moins de %d divisions à %s\n;Meno di %d divisioni in %s\n;Menos de %d divisiones en %s\n;Unter %d Divisionen in %s\n;Mniej ni¿ %d dywizji w %s\n;;;;;X,
TCNOT_GARRISON_BY;%s has below %d divisions in %s\n;%s A moins de %d divisions à %s\n;%s ha meno di %d divisioni in %s\n;%s tiene menos de %d divisiones en %s\n;%s hat weniger als %d Divisionen in %s\n;Pañstwo: %s posiada mniej ni¿ %d dywizji w %s\n;;;;;X,
TCNOT_CONTINENT;Capital is NOT in %s\n;La Capitale n'est PAS %s\n;La capitale NON è in %s\n;La capital NO está en %s\n;Hauptstadt ist NICHT %s\n;Stolic¹ nie jest %s\n;;;;;X,
TCNOT_COUNTRY_EXISTS;%s does NOT exists\n;%s n'existe pas\n;%s NON esiste\n;%s NO existe\n;%s existiert nicht\n;Pañstwo: %s nie istnieje\n;;;;;X,
TCNOT_ELECTION;May NOT hold elections\n;ne peux PAS organiser d'elections\n;Potrebbe NON indire le elezioni\n;No puede celebrar elecciones\n;Kann keine Wahlen abhalten\n;Wybory nie mog¹ siê odbyæ\n;;;;;X,
TCNOT_DOMESTIC;%s below %d\n;%s inférieur à %d\n;%s inferiore a %d\n;%s inferior a %d\n;%s unter %d\n;%s poni¿ej %d\n;;;;;X,
TCNOT_DIVISION_EXISTS;Division %d %d does not exists\n;La Division %d %d n'existe pas\n;La divisione %d %d non esiste\n;La división %d %d no existe\n;Division %d %d existiert nicht\n;Dywizja %d %d nie istnieje\n;;;;;X,
TCNOT_DIVISION_IN_PROV;Division %d %d is not in %s\n;La Division %d %d ,'est pas à %s\n;La divisione %d %d non è in %s\n;La división %d %d no está en %s\n;Division %d %d ist nicht in %s\n;Dywizja %d %d nie znajduje siê w %s\n;;;;;X
TCNOT_BELLIGERENCE_OF;Belligerence of %s is below %d\n;La Belligerence de %s est inférieure à %d\n;La belligeranza di %s è inferiore a %d\n;La beligerancia de %s es inferior a %d\n;Die Kriegslust von %d ist unter %s\n;Wojowniczoœæ pañstwa: %s jest poni¿ej %d\n;;;;;X,
TCNOT_BELLIGERENCE;Current Belligerence is at least %d\n;La Belligerence actuelle est au moins à %d\n;La belligeranza attuale è almeno %d\n;La beligerancia actual es de al menos %d\n;Momentane Kriegslust liegt bei mindestens %d\n;Aktualna wojowniczoœæ wynosi minimum %d\n;;;;;X,
TCNOT_WAR;%s NOT at war with %s\n;%s n'est PAS en guerre avec %s\n;%s NON è in guerra con %s\n;%s NO está en guerra con %s\n;%s ist NICHT im Krieg mit %s\n;%s nie prowadzi wojny z %s\n;;;;;X,
TCNOT_ACCESS;%s is NOT granting access to %s\n;%s ne propose PASl'accès militaire à %s\n;%s NON garantisce l'accesso a %s\n;%s NO concede acceso a %s\n;%s gibt %s KEINE Durchmarschgenehmigung\n;%s nie daje dostêpu do %s\n;;;;;X,
TCNOT_NON_AGGRESSION;%s and %s does NOT have a non-aggression pact\n;%s et %s n'ont PAS de pacte de non-agression\n;%s e %s NON hanno siglato un patto di non-belligeranza\n;%s y %s NO tienen un pacto de no agresión\n;%s und %s haben KEINEN Nichtangriffspakt\n;%s i %s nie podpisali paktu o nieagresji\n;;;;;X,
TCNOT_GUARANTEE;%s does NOT guarantees the independence of %s\n;%s ne garantit PAS l' indépendence de %s\n;%s NON garantisce l'indipendenza di %s\n;%s NO garantiza la independencia de %s\n;%s garantiert NICHT die Unabhängigkeit von %s\n;%s nie gwarantuje niepodleg³oœci pañstwu: %s\n;;;;;X,
TCNOT_TRADE;%s and %s have NO trade agreements\n;%s et %s n'ont AUCUN traité commercial\n;%s e %s NON hanno siglato un accordo commerciale\n;%s y %s NO tienen acuerdos comerciales\n;%s und %s haben KEINE Handelsabkommen\n;%s i %s nie podpisali ¿adnych umów handlowych\n;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,
TCNOT_ALLIED;%s is NOT allied with %s\n;%s n'est PAS allié avec %s\n;%s NON è un alleato di %s\n;%s NO está en alianza con %s\n;%s ist NICHT mit %s alliiert\n;%s nie jest sojusznikiem: %s\n;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,
TCNOT_VP_RANGE;Victory Points outside the range between %d and %d;Le total de Points de Victoire n'est pas compris entre %d et %d;La somma dei punti vittoria non è compresa tra %d e %d;Puntos de victoria fuera del margen entre %d y %d;Siegpunkte ausserhalb der Spanne von %d und %d;Iloœæ punktów zwyciêstwa poza wartoœciami pomiêdzy %d i %d;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,
TCNOT_AXIS_VP;Axis controls below %d Victory Points\n;L'Axe contrôle moins de %d Points de victoire\n;L'Asse controlla meno di %d punti vittoria\n;El Eje controla menos de %d puntos de victoria\n;Die Achsenmächte kontrollieren unter %d Siegpunkte\n;Pañstwa osi kontroluj¹ poni¿ej %d punktów zwyciêstwa\n;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,
TCNOT_ALLIES_VP;Allies control below %d Victory Points\n;Les alliés contrôlent moins de %d Points de victoire\n;Gli Alleati controllano meno di %d punti vittoria\n;Los Aliados controlan menos de %d puntos de victoria\n;Die Alliierten kontrollieren unter %d Siegpunkte\n;Alianci kontroluj¹ poni¿ej %d punktów zwyciêstwa\n;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,
TCNOT_COMINTERN_VP;Internationale control below %d Victory Points\n;Le Komintern contrôle moins de %d Points de victoire\n;Il Comintern controlla meno di %d punti vittoria\n;El Comintern controla menos de %d puntos de victoria\n;Die Komintern kontrolliert unter %d Siegpunkte\n;Komintern kontroluje poni¿ej %d punktów zwyciêstwa\n;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,
TCNOT_MONTH;It is before month %d.;Nous n'en sommes pas encore au mois %d.;Non siamo ancora al mese %d.;Es antes del mes: %d.;Die Zeit ist bevor Monat %d.;Miesi¹c %d jeszcze nie nast¹pi³.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,
#;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,
REORG_AIR_CAP_SIZE;You can not have airstacks larger than %d airwings.;Vous ne pouvez pas aligner d'armée Aérienne dépassant %d escadrilles.;Non puoi assegnare allo stesso schieramento aereo più di %d squadroni.;No puedes tener más de %d escuadrillas en una agrupación aérea;Sie können keine Geschwader mit mehr als %d Einheiten haben.;Nie mo¿esz tworzyæ grup powietrznych wiêkszych ni¿ sk³adaj¹cych siê z %d skrzyde³.;;;;;x,,,,,,,,,,
TERRAIN_PLAINS;Plains;Plaines;Pianure;Llanuras;Ebene;Równiny;;;;;x,,,,,,,,,,
TERRAIN_FOREST;Forest;Forêt;Foresta;Bosque;Wald;Las;;;;;x,,,,,,,,,,
TERRAIN_MOUNTAIN;Mountain;Montagne;Montagna;Montaña;Gebirge;Góry;;;;;x,,,,,,,,,,
TERRAIN_DESERT;Desert;Désert;Deserto;Desierto;Wüste;Pustynia;;;;;x,,,,,,,,,,
TERRAIN_MARSH;Marsh;Marais;Palude;Pantano;Sumpf;Moczary;;;;;x,,,,,,,,,,
TERRAIN_HILLS;Hills;Collines;Colline;Colinas;Hügel;Wzgórza;;;;;x,,,,,,,,,,
TERRAIN_JUNGLE;Jungle;Jungle;Giungla;Jungla;Dschungel;D¿ungla;;;;;x,,,,,,,,,,
TERRAIN_URBAN;Urban;Urbain;Urbano;Ciudad;Großstadt;Teren. Zabud.;;;;;x,,,,,,,,,,
TERRAIN_OCEAN;Ocean;Océan;Oceano;Océano;Ozean;Ocean;;;;;x,,,,,,,,,,
TERRAIN_RIVER;River;Fleuve;Fiume;Río;Fluss;Rzeka;;;;;x,,,,,,,,,,
TERRAIN_NONE;None;Aucun;Nessuno;Nada;Nichts;Nic;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA_POWER;- (Flak Power: %.0f\%%);- (Puissance anti-Aérienne: %.0f\%%);- (Potenza contraerea: %.0f\%%);- (Pot. fuego AA: %.0f\%%);- (Flak Stärke: %.0f\%%);- (Si³a Flak: %.0f\%%);;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVOY_NOTNEEDED;There is already a large enough stockpile at the destination so the convoy does not need to run today.;Il y a déjà un stock suffisant à la destination, donc le convoi est inactif aujourd'hui.;Oggi non è necessario far partire i convogli: il deposito di destinazione ha già riserve a sufficienza.;Ya hay una reserva bastante grande en le lugar de destino, por lo que el convoy hoy no ha de partir.;Es gibt bereits genügend Nachschub am Zielort, also muss der Konvoi heute nicht operieren.;W miejscu przeznaczenia jest doœæ towarów, a wiêc konwój nie musi dziœ wyp³ywaæ.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPROL_INV77;A puppet can not invite anyone to any alliances.;Un état fantoche ne peut inviter quiconque dans une quelconque alliance.;Uno stato fantoccio non può invitare un nuovo membro nell'alleanza.;Un títere no puede invitar a nadie a alianza alguna.;Ein Marionettenstaat kann keine Einladung zu einem Militärbündnis aussprechen.;Pañstwo satelickie nie mo¿e nikogo zapraszaæ do sojuszu.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROL_TC_BASES;\n  Undeployed Bases: %.2f;\n  Bases non déployées: %.2f;\n  Basi non ancora schierate: %.2f;\n  Bases sin desplegar: %.2f;\n  Stützpunkte im Pool: %.2f;\n Nie rozmieszczone bazy: %.2f;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROL_TC_DEVS;\n  Undeployed Provincial Development: %.2f;\n  développement provincial non déployé: %.2f;\n  Sviluppo provinciale non ancora schierato: %.2f;\n  Desarrollo provincial sin desplegar: %.2f;\n  Provinzinstallationen im Pool: %.2f;\n Nie rozmieszczone dobra w prowincjach: %.2f;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INV_DEM;%s is demanding parts of your territory.;%s demande une part de vôtre territoire.;%s pretende parte del tuo territorio.;%s reclama partes de tu territorio.;%s verlangt Til Ihres Territoriums.;%s ¿¹da czêœci naszego terytorium.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPROL_GUARANTEE_NOGO;You can not guarantee anyone if you are an isolationistic (interventionism < 5) democracy.;Vous ne pouvez pas garantir l'indépendance de quiconque en tant que démocratie isolationniste (interventionisme < 5).;Se controlli una democrazia isolazionista (interventismo < 5) non puoi garantire l'indipendenza di una nazione.;No puedes garantizar a nadie si eres una democracia aislacionista (intervencionismo <5).;Sie können als Isolationistische Demokratie keine Garantien aussprechen. (Interventionismus < 5);Nie mo¿esz nikomu daæ gwarancji je¿eli jesteœ demokracj¹ izolacjonistyczn¹ (interwencjonizm <5);;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE_NEW_PATTERN;A new weather system of %s forms over %s.;Un nouveau système météorologique %s se forme au dessus de %s.;Una nuova condizione meteorologica di %s si forma sopra %s.;El fenómeno climático '%s' se forma sobre %s.;Eine neues Wettersystem von %s formiert sich über %s;Nowe warunki pogodowe: %s nad prowincj¹: %s;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE_END_PATTERN;The %s weather over %s dissipates.;La météo %s au dessus de %s se dissipe.;La condizione meteorologica di %s sopra %s è scomparsa.;El fenómeno '%s' se disipa sobre %s.;Das %s Wetter über %s löst sich auf;Warunki pogodowe: %s nad prowincj¹: %s przejaœniaj¹ siê;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTISAN_EXPL;Base Revolt Risk is %d percent.\nCurrently Suppressing %d percent.\n;Le risque de base de révolte est de %d pourcent.\nActuellement sont supprimés %d pourcent.\n;Il rischio base di rivolta è del %d percento.\nAttualmente viene soppresso il %d percento.\n;El riesgo de levantamiento básico es de un %d por ciento.\nNeutralizado actualmente un %d por ciento.\n;Basis-Revoltenrisiko beträgt %d Prozent.\nDerzeit werden %d Prozent unterdrückt;Zagro¿enie buntem wynosi: %d procent.\nAktualnie pacyfikujemy %d procent.\n;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDM_COUNTERS;Use Counters;Utiliser les Compteurs;Utilizza contatori;Fichas;Benutze Spielsteine;U¿yj ¿etonów;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDM_SPRITES;Use Sprites;Utiliser les Sprites;Utilizza animazioni;Figuras animadas;Benutze Animationen;U¿yj ikon;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_ATTACK;%s has declared war on them.;%s leur a déclaré la guerre;%s ha dichiarato loro guerra.;%s ha declarado guerra contra ellos.;%s hat ihnen den Krieg erklärt.;Pañstwo: %s wypowiedzia³o im wojnê.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCNOT_ATTACK;%s has NOT declared war on them.;%s NE leur a pas déclaré la guerre.;%s NON ha dichiarato loro guerra.;%s NO ha declarado guerra contra ellos.;%s hat ihnen NICHT den Krieg erklärt.;Pañstwo: %s NIE wypowiedzia³o im wojny.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNC_ARRIVAL;Synchronize Arrival;Synchroniser les arrivées.;Sincronizza l'arrivo;Llegada Sincronizada;Ankunft abstimmen.;Skoord. przybycie;;;;;x
CONVOY_NOPATH;The path to that port is completely blocked.;Le chemin de ce port est complètement bloqué.;L'accesso a quel porto è completamente bloccato.;El paso hacia el puerto es totalmente bloqueado.;Die Route zu diesem Hafen is völlig blockiert.;Droga do portu jest zablokowana;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESEARCH;research;recherche;ricerca;Investigación;Forschung;Badania;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

#EOF;;;;;;;;;;;;
#EOF;;;;;;;;;;;;
;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
