#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the English original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the colour of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
ALLIANCE_ENTENTE1948;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;;;X
DPERSONALITY_ADMIRAL_DICTATOR;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;Alexander Vasilievich Kolchak was born in St. Petersburg in 1874. All his life was closely connected with the sea. He graduated from Maritime Cadet Corps and became an officer of Russian Imperial Navy. During his service he participated in Russo-Japanese war (1904-1905), when he was awarded for bravery and heroism. After the war he led several polar expeditions in the Arctic ice seas. During Weltkrieg he used to be a commander of Destroyer Division and Black Sea Fleet. In the Civil War he was one of the key leaders of the White movement - but later he ruined relationships with Kerensky's government and formed his own pro-Japanese republic in the Far East. Unfortunately Kolchak is an admiral after all, which makes him a stern supporter of the small Transamur Navy. This turns into massive inequality between Transamur Navy and Transamur Army - most of money and resources are spent to support the fleet.;;;x
NPERSONALITY_EMPEROR_OF_THE_FRENCH;Emperor of the French;Emperor of the French;Emperor of the French;Southern Demagogue;Emperor of the French;Emperor of the French;Emperor of the French;Emperor of the French;;;X
DPERSONALITY_EMPEROR_OF_THE_FRENCH;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;Emperor Napoleon IV is the leader of the Third French Empire. His reign marks the third restoration of French rule under the Bonaparte Dynasty after the fall of Napoleon III. Louis Napoleon and the rest of the Bonaparte family fled to the French North Africa following the Syndicalists victory in the Civil War. Louis served in the French Foreign Legion for his first few years there, and was renowned as a well-disciplined soldier during his brief foray in the Army. After ending his service, he became a successful businessman, operating his families remaining finances in Algiers, and over time grew to be an influential figure in local politics due to his savvy administrative skills. Now that he has been crowned Emperor, the hope of a new, greater French nation is reborn under his leadership.;;;x
NPERSONALITY_BOURBON_KING;Bourbon King;Bourbon King;Bourbon King;Bourbon King;Bourbon King;Bourbon King;Bourbon King;Bourbon King;;;x
DPERSONALITY_BOURBON_KING;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;King Jean III is the King of France and current head of the Bourbon Dynasty. After the law of banishment was repealed following the French Civil War, the Bourbon family along with other French nobles in exile travelled to Algeria and settled there with the French government in exile. Jean is a charismatic man and a prominent supporter of the military leadership of the Fourth Republic, and good friends with prominent figures in monarchist circles such as Charles Maurras. While old and inexperienced in the arts of ruling, his reign prompts the hope of a French Kingdom that returns to the height of Bourbon power in the modern era.;;;x
NPERSONALITY_KING_OF_FRANCE;King of France;King of France;King of France;King of France;King of France;King of France;King of France;King of France;;;x
DPERSONALITY_KING_OF_FRANCE;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;King Henri VI is the leader of the Bourbon Kingdom of France following the death of his father King Jean III. He spent most of his youth in Morocco due to the French Law of Exile banning noble families from living in France proper, but after the German takeover of the region following the defeat of the France in the Great War, he fled to Algiers with the rest of his family. King Henri is an inexperienced youth that is notoriously bad with money, but he has great charisma and determination, which will be crucial to leading the Bourbon Dynasty into a new era of French greatness.;;;x
NPERSONALITY_HARBINGER_OF_DEMOCRACY;Harbinger of Democracy;Harbinger of Democracy;Harbinger of Democracy;Harbinger of Democracy;Harbinger of Democracy;Harbinger of Democracy;Harbinger of Democracy;Harbinger of Democracy;;;x
DPERSONALITY_HARBINGER_OF_DEMOCRACY;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;Paul Reynaud was an up and coming politician in French local politics before the Civil War occurred, but he was driven out due to his conservative beliefs along with much of the government after the French Civil War. Living in a nation in exile that has been under the control of a military autocracy for decades, Paul Reynaud promises an end to the petty tyranny and authoritarianism that has dominated the 'true' French nation for so long. Now that he is Prime Minister, Reynaud seeks a return to French glory and importance on the international stage, but not at the cost of freedom and liberty for its citizens.;;;x
NPERSONALITY_TIGER;Sher-e-Bangla;Sher-e-Bangla;Sher-e-Bangla;Sher-e-Bangla;Sher-e-Bangla;Sher-e-Bangla;Sher-e-Bangla;Sher-e-Bangla;;;x
DPERSONALITY_TIGER;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;A popular Bengali leader with strong socialist credentials and convictions, Abul Kasem Fazlul Huq rose to national prominence in the years following the Raj's collapse. Earning the nickname granted him by a loving populace, the Tiger of Bengal, Fazlul Huq, worked tirelessly to fight against reactionary violence, wanton landlordism and its Zamidar perpetrators. Whilst his two closest ideological rivals within congress, Gandhi and Bose both occupy very diametrically opposed opinions, Fazlul Huq aims to bring all of the former Raj's territory back under Calcutta's control, barring neither negotiation nor armed action.;;;X
NPERSONALITY_GENTLEMAN_POLITICIAN;Gentleman Politician;Gentleman Politician;Gentleman Politician;Gentleman Politician;Gentleman Politician;Gentleman Politician;Gentleman Politician;Gentleman Politician;;;X
