#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
ACTIONNAME_100154_A;Wow!;;;;;;;;;;x
EVT_100155_NAME;The Australasian Guerrilla;;;;;;;;;;x
EVT_100155_DESC;Ion Idriess, in conjunction with other veterans and active serving personnel, have produced a series of military handbooks for our soldiers titled 'The Australasian Guerrilla'. Covering a myriad of topics from practical details on accurate shooting to tactics for concealment and stalking, and how to identify an enemy's position by drawing fire, these guides will prove invaluable to any fresh Australian going overseas to fight for King and Empire!;;;;;;;;;;x
ACTIONNAME_100155_A;Every ANZAC must have a copy!;;;;;;;;;;x
EVT_100156_NAME;War Against Syndicalism!;;;;;;;;;;x
EVT_100156_DESC;The Entente is now at war with the godless forces of Syndicalism! Now is the time for all true sons of the Empire to rally together and drive the traitors from the lands of our fathers! Advance Australasia! Onwards!;;;;;;;;;;x
ACTIONNAME_100156_A;Miles of Hell to London!;;;;;;;;;;x
EVT_100157_NAME;War Against Germany!;;;;;;;;;;x
EVT_100157_DESC;The Entente is now at war once again with the barbarian Hun! We must all play our part in ensuring the downfall of Prussian Militarism once and for all! Advance Australasia! Onwards!;;;;;;;;;;x
ACTIONNAME_100157_A;Vengence for 1914 and 1925!;;;;;;;;;;x
EVT_100158_NAME;War Against Japan!;;;;;;;;;;x
EVT_100158_DESC;We are under attack from the fiendish forces of the Empire of Japan! We must resist them with all our might and not allow our civilisation to be driven from Asia! Advance Australasia! Onwards!;;;;;;;;;;x
ACTIONNAME_100158_A;We rule the Pacific!;;;;;;;;;;x
EVT_100159_NAME;The 10th Anniversary of the Great Emu War;;;;;;;;;;x
EVT_100159_DESC;The Emu War, also known as the Great Emu War, was a nuisance wildlife management military operation undertaken in Australia over the latter part of 1932 to address public concern over the number of emus said to be running amok in the Campion district of Western Australia. The unsuccessful attempts to curb the population of emus, a large flightless bird indigenous to Australia, employed soldiers armed with Lewis guns—leading the media to adopt the name 'Emu War' when referring to the incident. It was a particularly embarrassing incident for the then Hughes administration due to it's epic failure in dealing with the problem.;;;;;;;;;;x
ACTIONNAME_100159_A;Never Again...;;;;;;;;;;x
EVT_100160_NAME;Revolution in New Zealand!;;;;;;;;;;x
EVT_100160_DESC;New Zealand has seceded from our Confederation in defiance of the central government. They wish to be free of our 'tyrannical' rule. We must crush these upstarts!;;;;;;;;;;x
ACTIONNAME_100160_A;Fight for the Confederation!;;;;;;;;;;x
EVT_100161_NAME;Anzac Day;;;;;;;;;;x
EVT_100161_DESC;Anzac Day marks the anniversary of the first campaign that led to major casualties for Australian and New Zealand forces during the Weltkrieg. The acronym ANZAC stands for Australian and New Zealand Army Corps, whose soldiers are known as Anzacs. Anzac Day has come to be one of the most important national occasions of both Australia and New Zealand, with the Gallipoli Campaign seen as the moment of birth of their nationhoods. Today across Australasia dawn ceremonies, veteran marches in towns and church services have been held in honour of this legacy.;;;;;;;;;;x
ACTIONNAME_100161_A;Advance Australasia! Onwards!;;;;;;;;;;x
EVT_100176_NAME;Australasian bases in Hawaii?;;;;;;;;;;x 
EVT_100176_DESC;Now that trade with our partners in the western hemisphere have never been stronger, some members of our military are suggesting that we approach the former USA territory of Hawaii and ask for access to the old American naval bases located there. This would allow us to project full protection to our allies and our merchant fleets while they operate in the Pacific.;;;;;;;;;;x 
ACTIONNAME_100176_A;Send an envoy...;;;;;;;;;;x 
ACTIONNAME_100176_B;There is no need for any more bases;;;;;;;;;;x 
EVT_100177_NAME;Australasian bases in Hawaii?;;;;;;;;;;x 
EVT_100177_DESC;The Australasians have approached us asking for access to the old American military bases we occupied when we seceded from the collapsing United States. Should we lease these facilities to the Entente?;;;;;;;;;;x 
ACTIONNAME_100177_A;Yes, it protects us as well...;;;;;;;;;;x 
ACTIONNAME_100177_B;No, we have no interest in this.;;;;;;;;;;x 
EVT_100178_NAME;Hawaii Accepts!;;;;;;;;;;x 
EVT_100178_DESC;The government of Hawaii has agreed to lease us the American bases. ;;;;;;;;;;x 
ACTIONNAME_100178_A;Great!;;;;;;;;;;x 
EVT_100179_NAME;Australasian Corporations Invest In Hawaii;;;;;;;;;;x 
EVT_100179_DESC;As the ANAZACs took up possesion of their newly leased bases, many Australasian firms began to take an interest in Hawaii.;;;;;;;;;;x 
ACTIONNAME_100179_A;Thats nice...;;;;;;;;;;x 
EVT_100180_NAME;The Militia of Molokai;;;;;;;;;;x 
EVT_100180_DESC;The Militia of Molokai, the Hawaiian nationalist group that led the secession of Hawaii from the United States has protested the increasing influence the Australasians have come to hold. While British influence is becoming more apparant, it would be unwise to anger them, when they have military forces now so close at hand.;;;;;;;;;;x 
ACTIONNAME_100180_A;Nonsense, the British are our friends.;;;;;;;;;;x 
ACTIONNAME_100180_B;They are right! Expell the foreigners!;;;;;;;;;;x 
EVT_100181_NAME;The Militia of Molokai;;;;;;;;;;x 
EVT_100181_DESC;The Militia of Molokai, the Hawaiian nationalist group that led the secession of Hawaii from the United States has convinced the government of Hawaii to expell us from their territory.;;;;;;;;;;x 
ACTIONNAME_100181_A;Nothing we can do;;;;;;;;;;x 
ACTIONNAME_100181_B;We won't stand for this!;;;;;;;;;;x 
EVT_100182_NAME;The Molokai Coup!;;;;;;;;;;x 
EVT_100182_DESC;The Militia of Molokai has begun a coup to overthrow our government! What shall we do?;;;;;;;;;;x 
ACTIONNAME_100182_A;Turn to the Austalasians for help;;;;;;;;;;x 
ACTIONNAME_100182_B;We will resist them on our own;;;;;;;;;;x 
EVT_100183_NAME;British Hawaii?;;;;;;;;;;x 
EVT_100183_DESC;Our forces stationed in Hawaii were able to defeat the Molokai militia and prevent the coup from developing into a full insurrection. However, hawkish officials are suggesting that we could take this opportunity to re-establish a protectorate over Hawaii and take control of the American Pacific islands for ourselves.;;;;;;;;;;x 
ACTIONNAME_100183_A;No, they are our friends;;;;;;;;;;x 
ACTIONNAME_100183_B;Establish a protectorate and occupy the Pacific islands;;;;;;;;;;x 
EVT_100184_NAME;The Kingdom of Hawaii;;;;;;;;;;x 
EVT_100184_DESC;...;;;;;;;;;;x 
ACTIONNAME_100184_A;oh well...;;;;;;;;;;x 
EVT_100185_NAME;The Australasian Invasion;;;;;;;;;;x 
EVT_100185_DESC;The Australasians have sent their armed forces against us. The Molokai want to fight but the elite feel we have made a mistake. What shall we do?;;;;;;;;;;x 
ACTIONNAME_100185_A;Give in!;;;;;;;;;;x 
ACTIONNAME_100185_B;We will resist them!;;;;;;;;;;x 
EVT_100189_NAME;Australasia Controls the Maldives;;;;;;;;;;x 
EVT_100189_DESC;We have reclaimed the Maldive archipelago and now we should return it to its rightful owners Delhi.;;;;;;;;;;x 
ACTIONNAME_100189_A;Give it to the Indians;;;;;;;;;;x 
ACTIONNAME_100189_B;Continue the occupation;;;;;;;;;;x 
EVT_100186_NAME;Australasian Corporations Invest In The South African Federation;Australasian Corporations Invest In The South African Federation;Australasian Corporations Invest In The South African Federation;Australasian Corporations Invest In The South African Federation;Australasian Corporations Invest In The South African Federation;Australasian Corporations Invest In The South African Federation;;Australasian Corporations Invest In The South African Federation;;;x 
EVT_100186_DESC;Several of our mining corporations have taken an interest in the South Africa and it's bountiful natural resources and are investing in the region.;Several of our mining corporations have taken an interest in the South Africa and it's bountiful natural resources and are investing in the region.;Several of our mining corporations have taken an interest in the South Africa and it's bountiful natural resources and are investing in the region.;Several of our mining corporations have taken an interest in the South Africa and it's bountiful natural resources and are investing in the region.;Several of our mining corporations have taken an interest in the South Africa and it's bountiful natural resources and are investing in the region.;Several of our mining corporations have taken an interest in the South Africa and it's bountiful natural resources and are investing in the region.;;Several of our mining corporations have taken an interest in the South Africa and it's bountiful natural resources and are investing in the region.;;;x 
EVT_100187_NAME;Australasian Corporations Invest In South Africa;Australasian Corporations Invest In South Africa;Australasian Corporations Invest In South Africa;Australasian Corporations Invest In South Africa;Australasian Corporations Invest In South Africa;Australasian Corporations Invest In South Africa;;Australasian Corporations Invest In South Africa;;;x 
EVT_100187_DESC;Several Australasian mining corporations have taken an interest in South Africa and it's bountiful natural resources and are investing in the region.;Several Australasian mining corporations have taken an interest in South Africa and it's bountiful natural resources and are investing in the region.;Several Australasian mining corporations have taken an interest in South Africa and it's bountiful natural resources and are investing in the region.;Several Australasian mining corporations have taken an interest in South Africa and it's bountiful natural resources and are investing in the region.;Several Australasian mining corporations have taken an interest in South Africa and it's bountiful natural resources and are investing in the region.;Several Australasian mining corporations have taken an interest in South Africa and it's bountiful natural resources and are investing in the region.;;Several Australasian mining corporations have taken an interest in South Africa and it's bountiful natural resources and are investing in the region.;;;x 
EVT_100188_NAME;Economic Development In Cape Town and Durban;Economic Development In Cape Town and Durban;Economic Development In Cape Town and Durban;Economic Development In Cape Town and Durban;Economic Development In Cape Town and Durban;Economic Development In Cape Town and Durban;;Economic Development In Cape Town and Durban;;;x 
EVT_100188_DESC;The influx of Australasian expertise and goods has helped to increase the industrial capacity of our port states of Cape and Natal.;The influx of Australasian expertise and goods has helped to increase the industrial capacity of our port states of Cape and Natal.;The influx of Australasian expertise and goods has helped to increase the industrial capacity of our port states of Cape and Natal.;The influx of Australasian expertise and goods has helped to increase the industrial capacity of our port states of Cape and Natal.;The influx of Australasian expertise and goods has helped to increase the industrial capacity of our port states of Cape and Natal.;The influx of Australasian expertise and goods has helped to increase the industrial capacity of our port states of Cape and Natal.;;The influx of Australasian expertise and goods has helped to increase the industrial capacity of our port states of Cape and Natal.;;;x 
########;;;;;;;;;;;x
# Japan Domestic;;;;;;;;;;;x
########;English;French;Italian;Spanish;German;Polish;Portugese;Russian;;;x
EVT_252000_NAME;Recovering from the Lost Decade;;;;;;;;;;x
EVT_252000_DESC;In what has come to be called the 'Lost Decade', The 1920's were a time of economic depression and political instability for Japan. The plight was particularly severe in the agricultural sector, and caused a massive demographic change as farmers fled from the depressed countryside to urban areas, flooding the labour market and further driving down wages. After leaving the Kenseikai-led 'Constitutionalist Coalition' and taking charge of the Government, Inukai and his government successfully expanded the Japanese sphere of influence into Manchuria and the edges of Siberia, acquiring a vital export market for the Japanese economy, but the agricultural situation continued to deteriorate as cheap agricultural imports from Manchuria bled into the countryside. As 1936 dawns, continued rearmament and state investment has fully rebuilt the industrial economy, but the issue of rural poverty remains chronic and unsolved.;;;;;;;;;;x
ACTIONNAME_252000_A;OK;;;;;;;;;;x
EVT_252001_NAME;Dissolution of the Diet;;;;;;;;;;x
EVT_252001_DESC;The four year term of the incumbent Imperial Diet elected in 1932 is ending. Prime Minister Inukai Tsuyoshi has called a general election for February 20th.;;;;;;;;;;x
EVT_252002_NAME;General Election Feb. 1936;;;;;;;;;;x
EVT_252002_DESC;After the Constitutional Restoration of 1926 and subsequent political realignment, two parties came to dominate Japanese politics: the conservative Rikken Seiyukai (Association of Friends of Constitutional Government) and the liberal Minseito (Democratic Party). The Rikken Seiyukai has an absolute majority from the general election of 1932, but support in the countryside (Their traditional voting base) has been declining. As the political atmosphere turned against the ruling party, the Minseito, known as the Kenseikai (Constitutional Government Association) before 1927, solidified its electoral base throughout the cities and began to expand into the countryside, hoping to break the Seiyukai's absolute majority in the Diet. A new, third player in the general election of 1936 is the Shakai Taishuto (Socialist Masses Party), founded by social democrats and syndicalists in 1933. It is now time to see if the Seiyukai have retained enough seats to keep an absolute majority...;;;;;;;;;;x
ACTIONNAME252002A;The Seiyukai have defended their absolute majority!;;;;;;;;;;x
ACTIONNAME252002B;The Seiyukai have lost their absolute majority!;;;;;;;;;;x
EVT_252003_NAME;The Assassination of Katayama Sen;;;;;;;;;;x
EVT_252003_DESC;Born in 1859, Katayama Sen was one of the most senior syndicalist leaders in Japan, known as the 'father of Japanese syndicalism'. Exiled to the USA after participating in the early social democratic movement, Katayama witnessed and was influenced by Jack Reed's syndicalist activities and the development of the IWW into the CSA. Katayama returned to Japan after the Constitutional Restoration of 1926 and founded the first legal syndicalist party in Japan, the Rodo-Nominto (Labour-Farmer Party), and after the party was declared illegal in 1932, he formed another party called the Shakai Taishuto (Socialist Masses Party), an amalgamation of social democratic parties and syndicalist movements. Yesterday, while visiting Kyoto to congratulate Taishuto member Yamamoto Senji on his election, a gang of three right-wingers stormed his office and beat the two men with clubs. Yamamoto survived, but Katayama, aged 75, never regained consciousness and died earlier today.;;;;;;;;;;x
EVT_252004_NAME;Friction Within the Japanese Left;;;;;;;;;;x
EVT_252004_DESC;"The shock of the assassination of Katayama Sen initally united the Shakai Taishuto in solidarity against the ""white terror"", but the unity did not last long. The party was originally structured as a coalition of various social democrat and syndicalist organisations, only united in the goal of 'socialisation of the economic structure with the proletariat at its foundation'. Before his death, Katayama had guided the party away from ideological clashes, but deprived of its leader the party was forced to face the question of its precise ideological position, and infighting soon began. Throughout the spring of 1936, national-syndicalists, called the Nichirokei (Japan-Labour Clique), adopted Totalism and vigorously expanded its membership, not only inside the party at expense of the moderate Shaminkei (Social Democratic Clique) but also outside the party, notably within the Shaminkei-controlled Nihon Rodo Sodomei (Japan General Federation of Labour). Soon an open fight between the two groups broke out. The Nichirokei accused the Sodomei of being run by 'the labour bureaucrat establishment', and in turn the Sodomei and the Shaminkei accused the Nichirokei of hijacking and turning labour organisations into their puppets. The Nichirokei's members were expelled from both the Sodomei and the Taishuto earlier this month, and the group is now operating independently.";;;;;;;;;;x
EVT_252005_NAME;Civil Disobedience in Niigata;;;;;;;;;;x
EVT_252005_DESC;The landlord-tenant relationship in Niigata has always been more 'feudalistic' than any other prefecture, and as the agricultural crisis of the 1930's progressed the prefecture produced some of the worst cases of tenancy dispute. The issue appears to have reached its boiling point. In a Niigata prefecture village named Obaden, a tenancy dispute got out of control and the villagers rioted, attacking officials and landlords. Tenants in the villages of Kisaki and Wata have followed suit, and we have a full-blown uprising on our hands.;;;;;;;;;;x
ACTIONNAME252005A;Negotiate with the dissenters;;;;;;;;;;x
ACTIONNAME252005B;Crush this riot;;;;;;;;;;x
EVT_252006_NAME;Spread of the Niigata Riot;;;;;;;;;;x
EVT_252006_DESC;We have made little progress negotiating with the Niigata uprising, and to make matters worse it has begun to spread. In the city of Nagaoka, members of a local trade union occupied a section of one of the main factories of the city, demanding higher wages and better working conditions for the labourers. Local police quickly intervened, but killed two of the strikers while taking control of the factory. Sympathetic workers have joined the movement and occupied a good part of the city's industrial districts, and are also calling for a general strike unless their demands are met. They also demand the members of the police unit responsible for the deaths of the two workers be brought to justice.;;;;;;;;;;x
ACTIONNAME252006A;Continue negotiations;;;;;;;;;;x
ACTIONNAME252006B;This is getting out of hand, send in the army;;;;;;;;;;x
EVT_252007_NAME;The Decision;;;;;;;;;;x
EVT_252007_DESC;The revolutionary fever is spreading into other depressed areas in the Northeast. Radical member of the Shakai Taishuto are stoking the fire, hoping to launch an all-out syndicalist revolution. The Seiyukai and the general staff are demanding a declaration of martial law to crush the revolution before it starts.;;;;;;;;;;x
ACTIONNAME252007A;Offer a reform package to appease people;;;;;;;;;;x
ACTIONNAME252007B;Dialogue is useless, declare martial law;;;;;;;;;;x
EVT_252010_NAME;The May 15 Incident;;;;;;;;;;x
EVT_252010_DESC;The Prime Minister has been assassinated! Radical officers connected to the Nichirokei broke into the official residence and shot Prime Minister Inukai. They claim they did it to avenge the death of Katayama Sen and the murder of workers in Niigata. The incident has greatly shocked the nation, and the Admirality Board, mortified by the incident, has already begun a court martial and a deep investigation into radical activities within the Navy.;;;;;;;;;;x
ACTIONNAME252010A;Appoint Suzuki Kisaburo to replace Inukai;;;;;;;;;;x
EVT_252012_NAME;The National Security Act;;;;;;;;;;x
EVT_252012_DESC;The notorious Peace Preservation Act was introduced in early 1924 by the Tanaka regime amidst the red scare following the Kanto anarchist uprising in September 1923 and a syndicalist's assassination attempt on then-Crown Prince Hirohito in December of the same year. The Act drastically limited civil rights and symbolised the draconian rule of General Tanaka. It was repealed when the regime was brought down by the Constitutional Restoration of 1926, but Prime Minister Suzuki Kisaburo now wants to reintroduce the Act, albeit heavily moderated and renamed the 'National Security Act'. He has met strong opposition even within his own cabinet, and public opinion has dropped to a new low, but Suzuki believes its reintroduction is a necessary step to counter the rising tide of syndicalism, and he is not alone in his opinion. A cross-party parliamentary group led by Nakajima Chikuhei of the Rikken Seiyukai and Adachi Kenzo of the Minseito have declared the Act as the 'last bulwark of constitutional government' and support its passage. The House of Peers and the Privy Council are also in favor of the Act.;;;;;;;;;;x
ACTIONNAME252012A;The Act is forced through;;;;;;;;;;x
ACTIONNAME252012B;Public opinion and the opposition defeat the Act;;;;;;;;;;x
EVT_252013_NAME;The Trial of the May 15 Incident;;;;;;;;;;x
EVT_252013_DESC;The court martial of the eleven murderers of Prime Minister Inukai began on July 24th. Before the end of their trial a petition arrived at court, containing over 350,000 signatures in blood from sympathisers around the country, pleading for a lenient sentence. In addition to the petition, the court also received a request from eleven youths in Niigata, asking that they be executed in place of the Navy officers, and sending eleven severed fingers to the court as a gesture of their sincerity! The whole trial was unpopular enough to convince the court to accelerate the process, and although the death sentences were issued just yesterday, the assassins were executed at dawn today.;;;;;;;;;;x
ACTIONNAME252013A;This country is going crazy...;;;;;;;;;;x
EVT_252014_NAME;The Assassination of Suzuki Kisaburo;;;;;;;;;;x
EVT_252014_DESC;The unthinkable has happened again! Prime Minister Suzuki and his brother-in-law Hatoyama Ichiro were attending a party rally in Kawagoe today. When Hatoyama stood up to deliver his speech, a syndicalist terrorist from the 'Saitama Youth Volunteer Corps for National Salvation', shot Suzuki and Hatoyama in retaliation for the execution of Prime Minister Inukai's assassins. Suzuki's wound has proven fatal.;;;;;;;;;;x
ACTIONNAME252014A;Appoint Mizuno Rentaro as Prime Minister;;;;;;;;;;x
EVT_252015_NAME;Government Under Fire;;;;;;;;;;x
EVT_252015_DESC;Unsurprisingly, the failure to pass the National Security Act has created a backlash against the Prime Minister. The conservatives and bureaucrats who had backed the bill feel betrayed by Suzuki's back-down. The House of Peers and the Privy Council, disappointed by the Government's incapability to produce any measures against syndicalism, have lost all their patience with the cabinet.;;;;;;;;;;x
ACTIONNAME252015A;Suzuki's days are numbered...;;;;;;;;;;x
EVT_252016_NAME;Resignation of Suzuki Kisaburo;;;;;;;;;;x
EVT_252016_DESC;Abandoned by everyone, the humiliated Prime Minister resigned when the Peers passed a censure motion denouncing the cabinet, and with lukewarm support former Home Minister Mizuno Rentaro was appointed in his place. Ominously, the Privy Council and its ultraconservative chairman Baron Hiranuma released a statement declaring that the 'parliamentary impotency' needs to be replaced by a more stable system.;;;;;;;;;;x
ACTIONNAME252016A;Appoint Mizuno Rentaro;;;;;;;;;;x
EVT_252017_NAME;The Election of Mizuno Rentaro;;;;;;;;;;x
EVT_252017_DESC;The downfall of Suzuki stunned the Rikken Seiyukai, and an emergency convention was called. The bureaucratic Tokonami faction (named after Tokonami Takejiro (1867-1935), chairman of the pro-Tanaka Seiyu Honto during the Tanaka dictatorship and its aftermath) has been crippled by the loss of their leader, leaving the reactionary Nakajima faction to take control of the party. From his new post as Director of General Affairs, Nakajima enjoys decision-making power over the entire party, but has stopped short of crowning himself chairman and instead elected current Prime Minister and Tokonami-aligned Mizuno Rentaro instead.;;;;;;;;;;x
ACTIONNAME252017A;Finally, some stability in politics;;;;;;;;;;x
EVT_252018_NAME;Japan's Longest Winter;;;;;;;;;;x
EVT_252018_DESC;The Japanese government has found itself effectively paralyzed. The downfall of two successive Seiyukai Prime Ministers has severely weakened the power of the new Prime Minister, and Hiranuma's open scheme to destroy the parliamentary system has only worsened the political turmoil. Extremist groups are growing by the day, and the military is getting more and more frustrated. Several high-ranking officers within the Army have hatched a plot to overthrow the civilian administration and 'rescue' the Empire. The plotters have approached Army Minister Hayashi Senjuro for his support...;;;;;;;;;;x
ACTIONNAME252018A;He refuses to be a part of it;;;;;;;;;;x
ACTIONNAME252018B;He agrees to support them;;;;;;;;;;x
EVT_252019_NAME;The January Coup;;;;;;;;;;x
EVT_252019_DESC;After ten years of political disgrace, the army has taken power again, this time by a coup d'etat. Ultraconservative politician Baron Hiranuma Kiichiro is now Prime Minister, and a state of martial law has been enacted across all of the Greater Japanee Empire.;;;;;;;;;;x
ACTIONNAME252019A;Banzai!;;;;;;;;;;x
EVT_252020_NAME;Japan's Longest Day;;;;;;;;;;x
EVT_252020_DESC;Even through the Army Minister refused to support the coup, he made no effort to stop the plot. The plotters interpreted this as a signal of permission, and proceeded. This morning, the coup forces seized the Metropolitan Police Headquarters, the Prime Minister's Residence, and the new Imperial Diet Building, but failed to occupy the Imperial Palace. To the surprise of the plotters, the Emperor resisted the coup d'etat and issued an imperial command to suppress the rebels, sealing their fate. The coup forces surrendered without resistance and key conspirators were quickly caught, while some took their own lives before they could be arrested. One of them, General Terauchi Hisaichi, committed suicide by seppuku today.;;;;;;;;;;x
ACTIONNAME252020A;Democracy has survived;;;;;;;;;;x
EVT_252021_NAME;Restorationists and Centralists;;;;;;;;;;x
EVT_252021_DESC;Restorationism was an idea promoted by radical junior officers, characterised by its anti-capitalism, anti-oligarchism and anti-parliamentarism. Usually coming from underprivileged and/or humble backgrounds, many of these officers have experienced poverty from childhood and observed what they considered the evil influence of favouritism, leading them to believe that the establishment has hijacked power from the Emperor and is leading the nation into the abyss. The Restorationist solution was to sweep out the ruling establishment and restore all power back to the Emperor (hence 'restoration', or 'ishin' in Japanese), and from there a complete national reform was to be initiated. Against them were the so-called Centralists, who were close to the central military leadership (thus the name, 'chuo' in Japanese), supported cooperation with the establishment, and the militarisation of politics.;;;;;;;;;;x
ACTIONNAME252021A;Will this ever end?;;;;;;;;;;x
EVT_252022_NAME;The Power Struggle;;;;;;;;;;x
EVT_252022_DESC;Restorationist officers were the main participants of the coup that overthrew the elected government, for they saw the parliamentary system as a plutocratic capitalist institution, however under the successive government the Centralists took the leading role in the new regime and the Restorationists were marginalised from the leadership. The Restorationist leadership has concluded that they were deceived. A new power struggle has begun.;;;;;;;;;;x
EVT_252023_NAME;The March counter-coup;;;;;;;;;;x
EVT_252023_DESC;Restorationist junior officers from units in the Tokyo area have staged a new coup d'etat! In the early morning, 1,400 officers and enlisted soldiers embarked on missions to seize control of key communications and administrative facilities. The Army Ministry, the General Staff Office, the Metropolitan Police Headquarters, the Prime Minister's Official Residence, and the Imperial Diet Building were all quickly captured, and the Imperial Palace is under siege. The Navy has mobilized and is sending marines to Tokyo, and only fate will tell if they are able to stop the coup or will choose to crush both army factions and take control of the government...;;;;;;;;;;x
ACTIONNAME252023A;The coup is crushed;;;;;;;;;;x
ACTIONNAME252023B;The navy has crushed the coup AND the Centralists!;;;;;;;;;;x
EVT_252024_NAME;The Centralists Win!;;;;;;;;;;x
EVT_252024_DESC;The Restorationist coup has been defeated. Branded traitors, the Restorationists are being purged all over the country. There are calls for the Army to assume a greater role in government to help root out both the traitors and the syndicalists.;;;;;;;;;;x
ACTIONNAME252024A;Army Minister Hayashi will assume the premiership;;;;;;;;;;x
ACTIONNAME252024B;Hiranuma can stay;;;;;;;;;;x
EVT_252026_NAME;The Government of National Unity;;;;;;;;;;x
EVT_252026_DESC;Nakajima Chikuhei from the Rikken Seiyukai and Adachi Kenzo from the Minseito, both supports of the National Security Act, have issued a joint statement, urging both the mainstream parties to form a multi-party 'Government of National Unity' to protect the Kokutai (national polity) from the syndicalist threat.;;;;;;;;;;x
ACTIONNAME252026A;We need a strong government;;;;;;;;;;x
ACTIONNAME252026B;We don't need your nonsense;;;;;;;;;;x
EVT_252027_NAME;On the Basic Principles of National Defence;;;;;;;;;;x
EVT_252027_DESC;After taking power, the Centralists sought a political blueprint for their new regime. They have presented such a blueprint, titled 'On the Basic Principles of National Defence' and have distributed it among the Centralist leadership. Envisioning an 'Advanced National Defence State' (Kodo Kokubo Kokka), the document proposes to transform the state into one geared and ready for total war. To this end, not only must Japan's economic structure be reorganised along a militarist line, but the Japanese people must be 'ideologically enlightened' to abandon self-interest. They must abandon class struggle, which is harmful to national security, and restructure society along a moral economic line.;;;;;;;;;;x
ACTIONNAME252027A;This is the way we should go forward;;;;;;;;;;x
EVT_252028_NAME;The Fund Adjustment Ordinance;;;;;;;;;;x
EVT_252028_DESC;The Fund Adjustment Ordinance is the first of a series of 'National Defence Ordinances' decreed by the Centralist regime. The state-owned Bank of Japan is now empowered to regulate capital investments, establishment of companies, and the subscription or underwriting of securities. This will allow the Government to control and allocate funds into war industries.;;;;;;;;;;x
EVT_252029_NAME;On The Fundamental Principles of the National Structure;;;;;;;;;;x
EVT_252029_DESC;'On The Fundamental Principles of the National Structure' is a 156 page pamphlet produced by the Ministry of Education to establish an official description of the 'Kokutai', or national structure (It can also can be translated as 'national essence', 'national polity', etc). The pamphlet officially enshrines the Emperor as a living god, according to the legend of the Goddess Amaterasu and 'an unbroken line of emperors' (Banseiikkei). To serve the divine Emperor, his subjects were required to cast themselves aside for the social harmony (Wa) and for the prosperity of Japanese culture. To some extent, the pamphlet is a response to criticism of the Centralist's 'Neo-Shogunism'.;;;;;;;;;;x
EVT_252030_NAME;The National Total Mobilisation Ordinance;;;;;;;;;;x
EVT_252030_DESC;The National Total Mobilisation Ordinance is designed to provide the Government a means to control and mobilise all the resources and manpower available. During war-time, we will have full control over the labour supply, production of goods, financial interaction, industrial and labour organisations, prices, and the press.;;;;;;;;;;x
EVT_252031_NAME;Reintroduction of Compulsory Military Training Curriculum;;;;;;;;;;x
EVT_252031_DESC;Military training was firstly introduced into the compulsory physical education curriculum in 1925 by the Tanaka regime, as a way to subdue growing anti-militarist influence and discontent among students, and was discontinued with the Constitutional Restoration of 1926. It is time to reverse that decision.;;;;;;;;;;x
EVT_252032_NAME;The National Service Draft Ordinance;;;;;;;;;;x
EVT_252032_DESC;The National Service Draft Ordinance is a supplement to the earlier National Total Mobilisation Ordinance, particularly its Article 4, which had enabled the Government to mobilise the labour force. The new Ordinance authorises the Government to conscript workers for war industries.;;;;;;;;;;x
EVT_252033_NAME;The New System Movement;;;;;;;;;;x
EVT_252033_DESC;To mobilise support for the regime and its reform programme, the 'New System Movement' (Shintaisei Undo) has been organised. Led by Prince Konoe Fumimaro, the movement aims for the creation of a political institution that is capable of merging and binding people into the organic whole of the nation - basically a Japanese breed of corporatism, with the Emperor at its head. The movement's immediate goal is the combination of all political perspectives into one party- the Imperial Rule Assistance Society (Taisei Yokusankai).;;;;;;;;;;x
EVT_252034_NAME;The First Convention of the Taisei Yokusankai;;;;;;;;;;x
EVT_252034_DESC;The Taisei Yokusankai, or Imperial Rule Assistance Society, is structured as a new political core institution that will represent every aspect of society, unlike the old 'plutocratic' Imperial Diet. It will branch out into every administrative level from hamlet to prefecture, and create a core group consisting of talented individuals from academic, cultural, economic, governmental, military, political, and all other professional occupations. In theory, by penetrating to the grass-roots level a direct link between politics and the people will be established, and by having every important interest group represented at its core it would be possible to coordinate and develop effective national policy. Sadly, that vision has already collapsed, as the various movements the Taisei Yokusankai was meant to bind together have already begun to argue and compete for control of the society...;;;;;;;;;;x
EVT_252035_NAME;Clarifying the Role of the Taisei Yokusankai;;;;;;;;;;x
EVT_252035_DESC;Three main groups have emerged at the convention. The leading group is the Kakushinha (Reformist Faction) headed by none other than Prince Konoe himself, composed of reform-minded intellectuals and politicians. The second group is the Kodoha (Imperial Way Faction), named after General Araki's frequent usage of the word 'Imperial Way', or 'Kodo', composed of reserve or active Restorationist military leaders. Third is the Yokuseiha, mainly composed of former parliamentary politicians who sympathised with the Restorationist cause. The name 'Yokuseiha' originated from an abbreviation of a political association of Restorationist sympathisers, the Yokusan Seijikai (Imperial Rule Assistance Political Association). The latter two object to the Kakushina's forceful agenda, and even question the purpose of the Taisei Yokusankai. Konoe had designed the Taisei Yokusankai as a central nervous system of the upcoming 'New System', combining all legislative, executive and administrative powers into one. Konoe assured that the old Meiji Constitution would remain as it is and the Taisei Yokusankai would not replace the Imperial Diet, but the very idea of the political leviathan has met with vigorous opposition.;;;;;;;;;;x
ACTIONNAME252035A;Stick to the original vision;;;;;;;;;;x
