Quote;Author;FR;FR;ITA?;ITA?;SPA?;SPA?;GER;GER;POL?;POL?
'When the white man turns tyrant, it is his own freedom that he destroys. He becomes a... posing dummy, the shallow figure of a sahib...;He wears a mask, and his face grows to fit it.' - Eric Blair;'When the white man turns tyrant, it is his own freedom that he destroys. He becomes a... posing dummy, the shallow figure of a sahib...;He wears a mask, and his face grows to fit it.' - Eric Blair;'When the white man turns tyrant, it is his own freedom that he destroys. He becomes a... posing dummy, the shallow figure of a sahib...;He wears a mask, and his face grows to fit it.' - Eric Blair;'When the white man turns tyrant, it is his own freedom that he destroys. He becomes a... posing dummy, the shallolw figure of a sahib...;He wears a mask, and his face grows to fit it.' - Eric Blair;'When the white man turns tyrant, it is his own freedom that he destroys. He becomes a... posing dummy, the shallow figure of a sahib...;He wears a mask, and his face grows to fit it.' - Eric Blair;'When the white man turns tyrant, it is his own freedom that he destroys. He becomes a... posing dummy, the shallow figure of a sahib...;He wears a mask, and his face grows to fit it.' - Eric Blair
'Le Prussianisme â€” voila l'ennemi!';Joseph Conrad;Le Prussianisme â€” voila l'ennemi!';Joseph Conrad;'Le Prussianisme â€” voila l'ennemi!';Joseph Conrad;'Le Prussianisme â€” voila l'ennemi!';Joseph Conrad;'Le Prussianisme â€” voila l'ennemi!';Joseph Conrad;'Le Prussianisme â€” voila l'ennemi!';Joseph Conrad
'The whole of the Balkans is not worth the bones of a single Pomeranian grenadier.';Otto von Bismarck;'The whole of the Balkans is not worth the bones of a single Pomeranian grenadier.';Otto von Bismarck;'The whole of the Balkans is not worth the bones of a single Pomeranian grenadier.';Otto von Bismarck;'The whole of the Balkans is not worth the bones of a single Pomeranian grenadier.';Otto von Bismarck;'The whole of the Balkans is not worth the bones of a single Pomeranian grenadier.';Otto von Bismarck;'The whole of the Balkans is not worth the bones of a single Pomeranian grenadier.';Otto von Bismarck
'Don’t you dare let them put me in Westminster Abbey.';John Maclean;'Don’t you dare let them put me in Westminster Abbey.';John Maclean;'Don’t you dare let them put me in Westminster Abbey.';John Maclean;'Don’t you dare let them put me in Westminster Abbey.';John Maclean;'Don’t you dare let them put me in Westminster Abbey.';John Maclean;'Don’t you dare let them put me in Westminster Abbey.';John Maclean
'Politics is a gentleman's game.';Muhammed Ali Jinnah;'Politics is a gentleman's game.';Muhammed Ali Jinnah;'Politics is a gentleman's game.';Muhammed Ali Jinnah;'Politics is a gentleman's game.';Muhammed Ali Jinnah;'Politics is a gentleman's game.';Muhammed Ali Jinnah;'Politics is a gentleman's game.';Muhammed Ali Jinnah
'To rebellion! Rise up, brothers, against all government, destroy the power of the bourgeoisie!';Nestor Makhno;'To rebellion! Rise up, brothers, against all government, destroy the power of the bourgeoisie!';Nestor Makhno;'To rebellion! Rise up, brothers, against all government, destroy the power of the bourgeoisie!';Nestor Makhno;'To rebellion! Rise up, brothers, against all government, destroy the power of the bourgeoisie!';Nestor Makhno;'To rebellion! Rise up, brothers, against all government, destroy the power of the bourgeoisie!';Nestor Makhno;'To rebellion! Rise up, brothers, against all government, destroy the power of the bourgeoisie!';Nestor Makhno
'Names and individuals are unimportant when Germany's final fate is at stake.';Franz von Papen;'Names and individuals are unimportant when Germany's final fate is at stake.';Franz von Papen;'Names and individuals are unimportant when Germany's final fate is at stake.';Franz von Papen;'Names and individuals are unimportant when Germany's final fate is at stake.';Franz von Papen;'Names and individuals are unimportant when Germany's final fate is at stake.';Franz von Papen;'Names and individuals are unimportant when Germany's final fate is at stake.';Franz von Papen
'Whoever looks at America will see: the ship is powered by stupidity, corruption, or prejudice.';Johann Most;'Whoever looks at America will see: the ship is powered by stupidity, corruption, or prejudice.';Johann Most;'Whoever looks at America will see: the ship is powered by stupidity, corruption, or prejudice.';Johann Most;'Whoever looks at America will see: the ship is powered by stupidity, corruption, or prejudice.';Johann Most;'Whoever looks at America will see: the ship is powered by stupidity, corruption, or prejudice.';Johann Most;'Whoever looks at America will see: the ship is powered by stupidity, corruption, or prejudice.';Johann Most
'I am an Imperialist because I will not be a Colonial.';Stephen Leacock;'I am an Imperialist because I will not be a Colonial.';Stephen Leacock;'I am an Imperialist because I will not be a Colonial.';Stephen Leacock;'I am an Imperialist because I will not be a Colonial.';Stephen Leacock;'I am an Imperialist because I will not be a Colonial.';Stephen Leacock;'I am an Imperialist because I will not be a Colonial.';Stephen Leacock
'Optimism is Cowardice.';Oswald Spengler ;'Optimism is Cowardice.';Oswald Spengler ;'Optimism is Cowardice.';Oswald Spengler ;'Optimism is Cowardice.';Oswald Spengler ;'Optimism is Cowardice.';Oswald Spengler ;'Optimism is Cowardice.';Oswald Spengler 
'My reign shall end only by a bullet or constitution decree it!';President Kerensky;'My reign shall end only by a bullet or constitution decree it!';President Kerensky;'My reign shall end only by a bullet or constitution decree it!';President Kerensky;'My reign shall end only by a bullet or constitution decree it!';President Kerensky;'My reign shall end only by a bullet or constitution decree it!';President Kerensky;'My reign shall end only by a bullet or constitution decree it!';President Kerensky
'And that is war in a nutshell: the master class has always declared the wars, ;and the subject class has always fought the battles.' - Eugene V. Debs;'And that is war in a nutshell: the master class has always declared the wars, ;and the subject class has always fought the battles.' - Eugene V. Debs;'And that is war in a nutshell: the master class has always declared the wars, ;and the subject class has always fought the battles.' - Eugene V. Debs;'And that is war in a nutshell: the master class has always declared the wars, ;and the subject class has always fought the battles.' - Eugene V. Debs;'And that is war in a nutshell: the master class has always declared the wars, ;[and] the subject class has always fought the battles.' - Eugene V. Debs;'And that is war in a nutshell: the master class has always declared the wars, ;and the subject class has always fought the battles.' - Eugene V. Debs
'The Chinese people have only family and clan solidarity - they do not have national spirit[...] they are just a heap of loose sand[...] ;Other men are the carving knife and serving dish -  we are the fish and the meat.' - Sun Yat-sen (1924);'The Chinese people have only family and clan solidarity - they do not have national spirit[...] they are just a heap of loose sand[...] ;Other men are the carving knife and serving dish -  we are the fish and the meat.' - Sun Yat-sen (1924);'The Chinese people have only family and clan solidarity - they do not have national spirit[...] they are just a heap of loose sand[...] ;Other men are the carving knife and serving dish -  we are the fish and the meat.' - Sun Yat-sen (1924);'The Chinese people have only family and clan solidarity - they do not have national spirit[...] they are just a heap of loose sand[...] ;Other men are the carving knife and serving dish -  we are the fish and the meat.' - Sun Yat-sen (1924);'The Chinese people have only family and clan solidarity - they do not have national spirit[...] they are just a heap of loose sand[...] ;Other men are the carving knife and serving dish -  we are the fish and the meat.' - Sun Yat-sen (1924);'The Chinese people have only family and clan solidarity - they do not have national spirit[...] they are just a heap of loose sand[...] ;Other men are the carving knife and serving dish -  we are the fish and the meat.' - Sun Yat-sen (1924)
'It takes a great deal of Christianity to wipe out uncivilized Eastern instincts, such as falling in love at first sight.';Rudyard Kipling (1888);'It takes a great deal of Christianity to wipe out uncivilized Eastern instincts, such as falling in love at first sight.';Rudyard Kipling (1888);'It takes a great deal of Christianity to wipe out uncivilized Eastern instincts, such as falling in love at first sight.';Rudyard Kipling (1888);'It takes a great deal of Christianity to wipe out uncivilized Eastern instincts, such as falling in love at first sight.';Rudyard Kipling (1888);'It takes a great deal of Christianity to wipe out uncivilized Eastern instincts, such as falling in love at first sight.';Rudyard Kipling (1888);'It takes a great deal of Christianity to wipe out uncivilized Eastern instincts, such as falling in love at first sight.';Rudyard Kipling (1888)
'In a man to man fight, the winner is he who has one more round in his magazine.';Erwin Rommel (1937);'In a man to man fight, the winner is he who has one more round in his magazine.';Erwin Rommel (1937);'In a man to man fight, the winner is he who has one more round in his magazine.';Erwin Rommel (1937);'In a man to man fight, the winner is he who has one more round in his magazine.';Erwin Rommel (1937);'In a man to man fight, the winner is he who has one more round in his magazine.';Erwin Rommel (1937);'In a man to man fight, the winner is he who has one more round in his magazine.';Erwin Rommel (1937)
'Regard your soldiers as your children, and they will follow you into the deepest valleys - ;look on them as your own beloved sons,and they will stand by you even unto death.' - Sun Tzu;'Regard your soldiers as your children, and they will follow you into the deepest valleys - ;look on them as your own beloved sons, and they will stand by you even unto death.' - Sun Tzu;'Regard your soldiers as your children, and they will follow you into the deepest valleys - ;look on them as your own beloved sons, and they will stand by you even unto death.' - Sun Tzu;'Regard your soldiers as your children, and they will follow you into the deepest valleys - ;look on them as your own beloved sons, and they will stand by you even unto death.' - Sun Tzu;'Regard your soldiers as your children, and they will follow you into the deepest valleys - ;look on them as your own beloved sons, and they will stand by you even unto death.' - Sun Tzu;'Regard your soldiers as your children, and they will follow you into the deepest valleys - ;look on them as your own beloved sons, and they will stand by you even unto death.' - Sun Tzu
'Perseverance is more prevailing than violence - and many things which cannot be overcome;when they are together, yield themselves up when taken little by little.' - Plutarch;'Perseverance is more prevailing than violence - and many things which cannot be overcome;when they are together, yield themselves up when taken little by little.' - Plutarch;'Perseverance is more prevailing than violence - and many things which cannot be overcome;when they are together, yield themselves up when taken little by little.' - Plutarch;'Perseverance is more prevailing than violence - and many things which cannot be overcome;when they are together, yield themselves up when taken little by little.' - Plutarch;'Perseverance is more prevailing than violence - and many things which cannot be overcome;when they are together, yield themselves up when taken little by little.' - Plutarch;'Perseverance is more prevailing than violence - and many things which cannot be overcome;when they are together, yield themselves up when taken little by little.' - Plutarch
'Malice delights to blacken the characters of prominent men.';Napoleon I Bonaparte;'Malice delights to blacken the characters of prominent men.;Napoleon I Bonaparte;'Malice delights to blacken the characters of prominent men.';Napoleon I Bonaparte;'Malice delights to blacken the characters of prominent men.';Napoleon I Bonaparte;'Malice delights to blacken the characters of prominent men.';Napoleon I Bonaparte;'Malice delights to blacken the characters of prominent men.';Napoleon I Bonaparte
'[Imperialism] is a spirit, an attitude of mind, an unconquerable hope. You can phrase it in a thousand ways without exhausting its content.;It is a sense of the destiny of England. It is the wider patriotism which considers our people as a race and not as a chance community.' -Sir John Buchan;'[Imperialism] is a spirit, an attitude of mind, an unconquerable hope. You can phrase it in a thousand ways without exhausting its content.;It is a sense of the destiny of England. It is the wider patriotism which considers our people as a race and not as a chance community.' -Sir John Buchan;'[Imperialism] is a spirit, an attitude of mind, an unconquerable hope. You can phrase it in a thousand ways without exhausting its content.;It is a sense of the destiny of England. It is the wider patriotism which considers our people as a race and not as a chance community.' -Sir John Buchan;'[Imperialism] is a spirit, an attitude of mind, an unconquerable hope. You can phrase it in a thousand ways without exhausting its content.;It is a sense of the destiny of England. It is the wider patriotism which considers our people as a race and not as a chance community.' -Sir John Buchan;'[Imperialism] is a spirit, an attitude of mind, an unconquerable hope. You can phrase it in a thousand ways without exhausting its content.;It is a sense of the destiny of England. It is the wider patriotism which considers our people as a race and not as a chance community.' -Sir John Buchan;'[Imperialism] is a spirit, an attitude of mind, an unconquerable hope. You can phrase it in a thousand ways without exhausting its content.;It is a sense of the destiny of England. It is the wider patriotism which considers our people as a race and not as a chance community.' -Sir John Buchan
'The glory of England is not the mileage of her territory but the state into which she is welding it.';Sir John Buchan;'The glory of England is not the mileage of her territory but the state into which she is welding i.t';Sir John Buchan;'The glory of England is not the mileage of her territory but the state into which she is welding it.';Sir John Buchan;'The glory of England is not the mileage of her territory but the state into which she is welding it.';Sir John Buchan;'The glory of England is not the mileage of her territory but the state into which she is welding it.';Sir John Buchan;'The glory of England is not the mileage of her territory but the state into which she is welding it.';Sir John Buchan
'A Whig is a man who is prepared to go to the stake for his beliefs, but who will not send his opponents there. A Tory is one who will not only burn himself,;but is quite prepared in the last resort to burn those who differ from him.' - Sir John Buchan;'A Whig is a man who is prepared to go to the stake for his beliefs, but who will not send his opponents there. A Tory is one who will not only burn himself,;but is quite prepared in the last resort to burn those who differ from him.' - Sir John Buchan;'A Whig is a man who is prepared to go to the stake for his beliefs, but who will not send his opponents there. A Tory is one who will not only burn himself,;but is quite prepared in the last resort to burn those who differ from him.' - Sir John Buchan;'A Whig is a man who is prepared to go to the stake for his beliefs, but who will not send his opponents there. A Tory is one who will not only burn himself,;but is quite prepared in the last resort to burn those who differ from him.' - Sir John Buchan;'A Whig is a man who is prepared to go to the stake for his beliefs, but who will not send his opponents there. A Tory is one who will not only burn himself,;but is quite prepared in the last resort to burn those who differ from him.' - Sir John Buchan;'A Whig is a man who is prepared to go to the stake for his beliefs, but who will not send his opponents there. A Tory is one who will not only burn himself,;but is quite prepared in the last resort to burn those who differ from him.' - Sir John Buchan
'We understand, as we have never understood before, that our Empire is a mystic whole which no enemy may part asunder,;and our wisest minds are now given to the task of devising a mechanism of union adequate to this spiritual unity-' - Sir John Buchan;'We understand, as we have never understood before, that our Empire is a mystic whole which no enemy may part asunder,;and our wisest minds are now given to the task of devising a mechanism of union adequate to this spiritual unity-' - Sir John Buchan;'We understand, as we have never understood before, that our Empire is a mystic whole which no enemy may part asunder,;and our wisest minds are now given to the task of devising a mechanism of union adequate to this spiritual unity-' - Sir John Buchan;'We understand, as we have never understood before, that our Empire is a mystic whole which no enemy may part asunder,;and our wisest minds are now given to the task of devising a mechanism of union adequate to this spiritual unity-' - Sir John Buchan;'We understand, as we have never understood before, that our Empire is a mystic whole which no enemy may part asunder,;and our wisest minds are now given to the task of devising a mechanism of union adequate to this spiritual unity-' - Sir John Buchan;'We understand, as we have never understood before, that our Empire is a mystic whole which no enemy may part asunder,;and our wisest minds are now given to the task of devising a mechanism of union adequate to this spiritual unity-' - Sir John Buchan
'No great cause is ever lost or won: the battle must always be renewed, and the creed must always be restated.';Sir John Buchan;'No great cause is ever lost or won: the battle must always be renewed, and the creed must always be restated.';Sir John Buchan;'No great cause is ever lost or won: the battle must always be renewed, and the creed must always be restated.';Sir John Buchan;'No great cause is ever lost or won: the battle must always be renewed, and the creed must always be restated.';Sir John Buchan;'No great cause is ever lost or won: the battle must always be renewed, and the creed must always be restated.';Sir John Buchan;'No great cause is ever lost or won: the battle must always be renewed, and the creed must always be restated.';Sir John Buchan
"How can you have a one-party state in a country which has two hundred and forty-six varieties of cheese?';Charles de Gaulle, on the Commune of France.'";Charles de Gaulle;"How can you have a one-party state in a country which has two hundred and forty-six varieties of cheese?';Charles de Gaulle, on the Commune of France.'";Charles de Gaulle;"How can you have a one-party state in a country which has two hundred and forty-six varieties of cheese?';Charles de Gaulle, on the Commune of France.'";Charles de Gaulle;"How can you have a one-party state in a country which has two hundred and forty-six varieties of cheese?';Charles de Gaulle, on the Commune of France.'";Charles de Gaulle;"How can you have a one-party state in a country which has two hundred and forty-six varieties of cheese?';Charles de Gaulle, on the Commune of France.'";Charles de Gaulle;"How can you have a one-party state in a country which has two hundred and forty-six varieties of cheese?';Charles de Gaulle, on the Commune of France.'";Charles de Gaulle
I don't like you, and you don't like me, but now we are in the same boat and everything should be done to save Russia';Lavr Kornilov to Boris Savinkov 1936;I don't like you, and you don't like me, but now we are in the same boat and everything should be done to save Russia';Lavr Kornilov to Boris Savinkov 1936;I don't like you, and you don't like me, but now we are in the same boat and everything should be done to save Russia';Lavr Kornilov to Boris Savinkov 1936;I don't like you, and you don't like me, but now we are in the same boat and everything should be done to save Russia';Lavr Kornilov to Boris Savinkov 1936;I don't like you, and you don't like me, but now we are in the same boat and everything should be done to save Russia';Lavr Kornilov to Boris Savinkov 1936;I don't like you, and you don't like me, but now we are in the same boat and everything should be done to save Russia';Lavr Kornilov to Boris Savinkov 1936
