##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV789;Alexandria;Alexandria;Alexandria;Alexandria;Alexandria;Alexandria;;;;;X
PROV790;Tanta;Tanta;Tanta;Tanta;Tanta;Tanta;;;;;X
PROV791;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;;;;;X
PROV792;El Fayyum;El Fayyum;El Fayyum;El Fayyum;El Fayyum;El Fayyum;;;;;X
PROV793;Minian;Minian;Minian;Minian;Minian;Minian;;;;;X
PROV794;Asyut;Asyut;Asyut;Asyut;Asyut;Asyut;;;;;X
PROV795;Aswan;Aswan;Aswan;Aswan;Aswan;Aswan;;;;;X
PROV796;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;;;;;X
PROV797;El Uqsur;El Uqsur;El Uqsur;El Uqsur;El Uqsur;El Uqsur;;;;;X
PROV798;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;;;;;X
PROV799;Moghara;Moghara;Moghara;Moghara;Moghara;Moghara;;;;;X
PROV800;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;Bi'r Nahid;;;;;X
PROV801;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;;;;;X
PROV802;Al Qasr;Al Qasr;Al Qasr;Al Qasr;Al Qasr;Al Qasr;;;;;X
PROV803;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;;;;;X
PROV804;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;;;;;X
PROV805;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Umm Durman;;;;;X
PROV806;El Ubayyid;El Ubayyid;El Ubayyid;El Ubayyid;El Ubayyid;El Ubayyid;;;;;X
PROV807;Juba;Juba;Juba;Juba;Juba;Juba;;;;;X
PROV808;Nyala;Nyala;Nyala;Nyala;Nyala;Nyala;;;;;X
PROV809;Waw;Waw;Waw;Waw;Waw;Waw;;;;;X
PROV810;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;;;;;X
PROV811;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;;;;;X
PROV812;Malakal;Malakal;Malakal;Malakal;Malakal;Malakal;;;;;X
PROV813;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;;;;;X
PROV814;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;;;;;X
PROV815;Massawa;Massawa;Massawa;Massawa;Massawa;Massawa;;;;;X
PROV816;Assab;Assab;Assab;Assab;Assab;Assab;;;;;X
PROV817;Asmaraa;Asmaraa;Asmaraa;Asmaraa;Asmaraa;Asmaraa;;;;;X
PROV818;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;;;;;X
PROV819;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;;;;;X
PROV820;Dessie;Dessie;Dessie;Dessie;Dessie;Dessie;;;;;X
PROV821;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;;;;;X
PROV822;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;;;;;X
PROV823;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;;;;;X
PROV824;Asosa;Asosa;Asosa;Asosa;Asosa;Asosa;;;;;X
PROV825;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;;;;;X
PROV826;Goba;Goba;Goba;Goba;Goba;Goba;;;;;X
PROV827;Gode;Gode;Gode;Gode;Gode;Gode;;;;;X
PROV828;Harer;Harer;Harer;Harer;Harer;Harer;;;;;X
PROV829;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;;;;;X
PROV830;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;;;;;X
PROV831;Awasa;Awasa;Awasa;Awasa;Awasa;Awasa;;;;;X
PROV832;Hargeysa;Hargeysa;Hargeysa;Hargeysa;Hargeysa;Hargeysa;;;;;X
PROV833;Jibuti;Jibuti;Jibuti;Jibuti;Jibuti;Jibuti;;;;;X
PROV834;Gardo;Gardo;Gardo;Gardo;Gardo;Gardo;;;;;X
PROV835;Galkayo;Galkayo;Galkayo;Galkayo;Galkayo;Galkayo;;;;;X
PROV836;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;;;;;X
PROV837;Bayahabo;Bayahabo;Bayahabo;Bayahabo;Bayahabo;Bayahabo;;;;;X
PROV838;Kismaayo;Kismaayo;Kismaayo;Kismaayo;Kismaayo;Kismaayo;;;;;X
PROV839;Garissa;Garissa;Garissa;Garissa;Garissa;Garissa;;;;;X
PROV840;Suqutra;Suqutra;Suqutra;Suqutra;Suqutra;Suqutra;;;;;X
PROV841;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;;;;;X
PROV842;Mombasa;Mombasa;Mombasa;Mombasa;Mombasa;Mombasa;;;;;X
PROV843;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;;;;;X
PROV844;Kampala;Kampala;Kampala;Kampala;Kampala;Kampala;;;;;X
PROV845;Gulu;Gulu;Gulu;Gulu;Gulu;Gulu;;;;;X
PROV846;Kigali;Kigali;Kigali;Kigali;Kigali;Kigali;;;;;X
PROV847;Usumbura;Usumbura;Usumbura;Usumbura;Usumbura;Usumbura;;;;;X
PROV848;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;;;;;X
PROV849;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;;;;;X
PROV850;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;;;;;X
PROV851;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;;;;;X
PROV852;Zanzibar;Zanzibar;Zanzibar;Zanzibar;Zanzibar;Zanzibar;;;;;X
PROV853;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;;;;;X
PROV854;Nampula;Nampula;Nampula;Nampula;Nampula;Nampula;;;;;X
PROV855;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;;;;;X
PROV856;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;;;;;X
PROV857;Beira;Beira;Beira;Beira;Beira;Beira;;;;;X
PROV858;Ulongue;Ulongue;Ulongue;Ulongue;Ulongue;Ulongue;;;;;X
PROV859;Livingstone;Livingstone;Livingstone;Livingstone;Livingstone;Livingstone;;;;;X
PROV860;Kalabo;Kalabo;Kalabo;Kalabo;Kalabo;Kalabo;;;;;X
PROV861;Kasama;Kasama;Kasama;Kasama;Kasama;Kasama;;;;;X
PROV862;Chingola;Chingola;Chingola;Chingola;Chingola;Chingola;;;;;X
PROV863;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;;;;;X
PROV864;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;;;;;X
PROV865;Chipata;Chipata;Chipata;Chipata;Chipata;Chipata;;;;;X
PROV866;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;;;;;X
PROV867;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;;;;;X
PROV868;Hwange;Hwange;Hwange;Hwange;Hwange;Hwange;;;;;X
PROV869;Francistown;Francistown;Francistown;Francistown;Francistown;Francistown;;;;;X
PROV870;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;;;;;X
PROV871;Maun;Maun;Maun;Maun;Maun;Maun;;;;;X
PROV872;Durban;Durban;Durban;Durban;Durban;Durban;;;;;X
PROV873;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;;;;;X
PROV874;Maseru;Maseru;Maseru;Maseru;Maseru;Maseru;;;;;X
PROV875;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;;;;;X
PROV876;Johannesburg;Johannesburg;Johannesburg;Johannesburg;Johannesburg;Johannesburg;;;;;X
PROV877;Mbabane;Mbabane;Mbabane;Mbabane;Mbabane;Mbabane;;;;;X
PROV878;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;;;;;X
PROV879;De Aar;De Aar;De Aar;De Aar;De Aar;De Aar;;;;;X
PROV880;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;;;;;X
PROV881;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;;;;;X
PROV882;Swakopmund;Swakopmund;Swakopmund;Swakopmund;Swakopmund;Swakopmund;;;;;X
PROV883;Luderitz;Luderitz;Luderitz;Luderitz;Luderitz;Luderitz;;;;;X
PROV884;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;;;;;X
PROV885;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;;;;;X
PROV886;Tsumeb;Tsumeb;Tsumeb;Tsumeb;Tsumeb;Tsumeb;;;;;X
PROV887;Luena;Luena;Luena;Luena;Luena;Luena;;;;;X
PROV888;Lubango;Lubango;Lubango;Lubango;Lubango;Lubango;;;;;X
PROV889;Balboa;Balboa;Balboa;Balboa;Balboa;Balboa;;;;;X
PROV890;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;;;;;X
PROV891;Menongue;Menongue;Menongue;Menongue;Menongue;Menongue;;;;;X
PROV892;Lobito;Lobito;Lobito;Lobito;Lobito;Lobito;;;;;X
PROV893;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;;;;;X
PROV894;Matadi;Matadi;Matadi;Matadi;Matadi;Matadi;;;;;X
PROV895;Luanda;Luanda;Luanda;Luanda;Luanda;Luanda;;;;;X
PROV896;Saint Helena;Saint Helena;Saint Helena;Saint Helena;Saint Helena;Saint Helena;;;;;X
PROV897;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;;;;;X
PROV898;Elisabethville;Elisabethville;Elisabethville;Elisabethville;Elisabethville;Elisabethville;;;;;X
PROV899;Leopoldville;Leopoldville;Leopoldville;Leopoldville;Leopoldville;Leopoldville;;;;;X
PROV900;Suez;Suez;Suez;Suez;Suez;Suez;;;;;X
PROV901;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;;;;;X
PROV902;Luluabourg;Luluabourg;Luluabourg;Luluabourg;Luluabourg;Luluabourg;;;;;X
PROV903;Aba;Aba;Aba;Aba;Aba;Aba;;;;;X
PROV904;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;;;;;X
PROV905;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;;;;;X
PROV906;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;;;;;X
PROV907;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;;;;;X
PROV908;Ouesso;Ouesso;Ouesso;Ouesso;Ouesso;Ouesso;;;;;X
PROV909;Yaounde;Yaounde;Yaounde;Yaounde;Yaounde;Yaounde;;;;;X
PROV910;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;;;;;X
PROV911;Douala;Douala;Douala;Douala;Douala;Douala;;;;;X
PROV912;São Tome;São Tome;São Tome;São Tome;São Tome;São Tome;;;;;X
PROV913;Bata;Bata;Bata;Bata;Bata;Bata;;;;;X
PROV914;Franceville;Franceville;Franceville;Franceville;Franceville;Franceville;;;;;X
PROV915;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;;;;;X
PROV916;Malabo;Malabo;Malabo;Malabo;Malabo;Malabo;;;;;X
PROV917;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;;;;;X
PROV918;Port-Gentil;Port-Gentil;Port-Gentil;Port-Gentil;Port-Gentil;Port-Gentil;;;;;X
PROV919;Bouar;Bouar;Bouar;Bouar;Bouar;Bouar;;;;;X
PROV920;N'Djamena;N'Djamena;N'Djamena;N'Djamena;N'Djamena;N'Djamena;;;;;X
PROV921;Abeche;Abeche;Abeche;Abeche;Abeche;Abeche;;;;;X
PROV922;Faya;Faya;Faya;Faya;Faya;Faya;;;;;X
PROV923;Bambari;Bambari;Bambari;Bambari;Bambari;Bambari;;;;;X
PROV924;Moundou;Moundou;Moundou;Moundou;Moundou;Moundou;;;;;X
PROV925;Maroua;Maroua;Maroua;Maroua;Maroua;Maroua;;;;;X
PROV926;Bangui;Bangui;Bangui;Bangui;Bangui;Bangui;;;;;X
PROV927;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;;;;;X
PROV928;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;;;;;X
PROV929;Lagos;Lagos;Lagos;Lagos;Lagos;Lagos;;;;;X
PROV930;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;;;;;X
PROV931;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;;;;;X
PROV932;Ibadan;Ibadan;Ibadan;Ibadan;Ibadan;Ibadan;;;;;X
PROV933;Buea;Buea;Buea;Buea;Buea;Buea;;;;;X
PROV934;Oshogbo;Oshogbo;Oshogbo;Oshogbo;Oshogbo;Oshogbo;;;;;X
PROV935;Benin City;Benin City;Benin City;Benin City;Benin City;Benin City;;;;;X
PROV936;Yola;Yola;Yola;Yola;Yola;Yola;;;;;X
PROV937;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;;;;;X
PROV938;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;;;;;X
PROV939;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;;;;;X
PROV940;Kano;Kano;Kano;Kano;Kano;Kano;;;;;X
PROV941;Abuja;Abuja;Abuja;Abuja;Abuja;Abuja;;;;;X
PROV942;Say;Say;Say;Say;Say;Say;;;;;X
PROV943;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;;;;;X
PROV944;Niamey;Niamey;Niamey;Niamey;Niamey;Niamey;;;;;X
PROV945;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;;;;;X
PROV946;Agadez;Agadez;Agadez;Agadez;Agadez;Agadez;;;;;X
PROV947;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;;;;;X
PROV948;Kara;Kara;Kara;Kara;Kara;Kara;;;;;X
PROV949;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;;;;;X
PROV950;Lome;Lome;Lome;Lome;Lome;Lome;;;;;X
PROV951;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;;;;;X
PROV952;Tamale;Tamale;Tamale;Tamale;Tamale;Tamale;;;;;X
PROV953;Wa;Wa;Wa;Wa;Wa;Wa;;;;;X
PROV954;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;;;;;X
PROV955;Ho;Ho;Ho;Ho;Ho;Ho;;;;;X
PROV956;Accra;Accra;Accra;Accra;Accra;Accra;;;;;X
PROV957;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;;;;;X
PROV958;Tougan;Tougan;Tougan;Tougan;Tougan;Tougan;;;;;X
PROV959;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;;;;;X
PROV960;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;;;;;X
PROV961;Bouake;Bouake;Bouake;Bouake;Bouake;Bouake;;;;;X
PROV962;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;;;;;X
PROV963;Bissau;Bissau;Bissau;Bissau;Bissau;Bissau;;;;;X
PROV964;Freetown;Freetown;Freetown;Freetown;Freetown;Freetown;;;;;X
PROV965;Labe;Labe;Labe;Labe;Labe;Labe;;;;;X
PROV966;Conakry;Conakry;Conakry;Conakry;Conakry;Conakry;;;;;X
PROV967;Kankan;Kankan;Kankan;Kankan;Kankan;Kankan;;;;;X
PROV968;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;;;;;X
PROV969;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;;;;;X
PROV970;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;;;;;X
PROV971;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;;;;;X
PROV972;Segou;Segou;Segou;Segou;Segou;Segou;;;;;X
PROV973;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;;;;;X
PROV974;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;;;;;X
PROV975;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;;;;;X
PROV976;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;;;;;X
PROV977;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;;;;;X
PROV978;Dakar;Dakar;Dakar;Dakar;Dakar;Dakar;;;;;X
PROV979;Banjul;Banjul;Banjul;Banjul;Banjul;Banjul;;;;;X
PROV980;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;;;;;X
PROV981;Nawaksut;Nawaksut;Nawaksut;Nawaksut;Nawaksut;Nawaksut;;;;;X
PROV982;Kiffa;Kiffa;Kiffa;Kiffa;Kiffa;Kiffa;;;;;X
PROV983;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;;;;;X
PROV984;Gao;Gao;Gao;Gao;Gao;Gao;;;;;X
PROV985;Timbuktu;Timbuktu;Timbuktu;Timbuktu;Timbuktu;Timbuktu;;;;;X
PROV986;Atar;Atar;Atar;Atar;Atar;Atar;;;;;X
PROV987;El Aiun;El Aiun;El Aiun;El Aiun;El Aiun;El Aiun;;;;;X
PROV988;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;;;;;X
PROV989;Villa Bens;Villa Bens;Villa Bens;Villa Bens;Villa Bens;Villa Bens;;;;;X
PROV990;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;;;;;X
PROV991;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;;;;;X
PROV992;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;;;;;X
PROV993;Ascension Island;Ascension Island;Ascension Island;Ascension Island;Ascension Island;Ascension Island;;;;;X
PROV994;Madeira;Madeira;Madeira;Madeira;Madeira;Madeira;;;;;X
PROV995;The Azores;The Azores;The Azores;The Azores;The Azores;The Azores;;;;;X
PROV996;Saint Denis de la Reunion;Saint Denis de la Reunion;Saint Denis de la Reunion;Saint Denis de la Reunion;Saint Denis de la Reunion;Saint Denis de la Reunion;;;;;X
PROV997;Port Louis;Port Louis;Port Louis;Port Louis;Port Louis;Port Louis;;;;;X
PROV998;Port Victoria;Port Victoria;Port Victoria;Port Victoria;Port Victoria;Port Victoria;;;;;X
PROV999;Muruni;Muruni;Muruni;Muruni;Muruni;Muruni;;;;;X
PROV1000;Mamoudzou;Mamoudzou;Mamoudzou;Mamoudzou;Mamoudzou;Mamoudzou;;;;;X
PROV1001;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;;;;;X
PROV1002;Tamatave;Tamatave;Tamatave;Tamatave;Tamatave;Tamatave;;;;;X
PROV1003;Fort Dauphin;Fort Dauphin;Fort Dauphin;Fort Dauphin;Fort Dauphin;Fort Dauphin;;;;;X
PROV1004;El Arish;El Arish;El Arish;El Arish;El Arish;El Arish;;;;;X
PROV1005;Sharm Al Shaykh;Sharm Al Shaykh;Sharm Al Shaykh;Sharm Al Shaykh;Sharm Al Shaykh;Sharm Al Shaykh;;;;;X
PROV1006;Al Quantarah;Al Quantarah;Al Quantarah;Al Quantarah;Al Quantarah;Al Quantarah;;;;;X
PROV1007;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;Bur Tawfiq;;;;;X
PROV1008;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;Tel Aviv;;;;;X
PROV1009;Gaza;Gaza;Gaza;Gaza;Gaza;Gaza;;;;;X
PROV1010;Bi'r as-Sabi;Bi'r as-Sabi;Bi'r as-Sabi;Bi'r as-Sabi;Bi'r as-Sabi;Bi'r as-Sabi;;;;;X
PROV1011;Haifa;Haifa;Haifa;Haifa;Haifa;Haifa;;;;;X
PROV1012;Jerusalem;Jerusalem;Jerusalem;Jerusalem;Jerusalem;Jerusalem;;;;;X
PROV1013;Akko;Akko;Akko;Akko;Akko;Akko;;;;;X
PROV1014;Deir ez Zor;Deir ez Zor;Deir ez Zor;Deir ez Zor;Deir ez Zor;Deir ez Zor;;;;;X
PROV1015;El Qamisli;El Qamisli;El Qamisli;El Qamisli;El Qamisli;El Qamisli;;;;;X
PROV1016;Damascus;Damascus;Damascus;Damascus;Damascus;Damascus;;;;;X
PROV1017;Hims;Hims;Hims;Hims;Hims;Hims;;;;;X
PROV1018;Trablos;Trablos;Trablos;Trablos;Trablos;Trablos;;;;;X
PROV1019;Bayrut;Bayrut;Bayrut;Bayrut;Bayrut;Bayrut;;;;;X
PROV1020;Golan;Golan;Golan;Golan;Golan;Golan;;;;;X
PROV1021;Aleppo;Aleppo;Aleppo;Aleppo;Aleppo;Aleppo;;;;;X
PROV1022;Amman;Amman;Amman;Amman;Amman;Amman;;;;;X
PROV1023;Irbid;Irbid;Irbid;Irbid;Irbid;Irbid;;;;;X
PROV1024;Az Zarqa;Az Zarqa;Az Zarqa;Az Zarqa;Az Zarqa;Az Zarqa;;;;;X
PROV1025;Ma'an;Ma'an;Ma'an;Ma'an;Ma'an;Ma'an;;;;;X
PROV1026;El Kerak;El Kerak;El Kerak;El Kerak;El Kerak;El Kerak;;;;;X
PROV1027;Arbil;Arbil;Arbil;Arbil;Arbil;Arbil;;;;;X
PROV1028;Al 'Amarah;Al 'Amarah;Al 'Amarah;Al 'Amarah;Al 'Amarah;Al 'Amarah;;;;;X
PROV1029;Al Musul;Al Musul;Al Musul;Al Musul;Al Musul;Al Musul;;;;;X
PROV1030;El Karbala;El Karbala;El Karbala;El Karbala;El Karbala;El Karbala;;;;;X
PROV1031;An Najaf;An Najaf;An Najaf;An Najaf;An Najaf;An Najaf;;;;;X
PROV1032;Basrah;Basrah;Basrah;Basrah;Basrah;Basrah;;;;;X
PROV1033;Al Hillah;Al Hillah;Al Hillah;Al Hillah;Al Hillah;Al Hillah;;;;;X
PROV1034;Bagdad;Bagdad;Bagdad;Bagdad;Bagdad;Bagdad;;;;;X
PROV1035;Kut;Kut;Kut;Kut;Kut;Kut;;;;;X
PROV1036;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;Kirkuk;;;;;X
PROV1037;an-Nasiriyyah;an-Nasiriyyah;an-Nasiriyyah;an-Nasiriyyah;an-Nasiriyyah;an-Nasiriyyah;;;;;X
PROV1038;Ad-Dohah;Ad-Dohah;Ad-Dohah;Ad-Dohah;Ad-Dohah;Ad-Dohah;;;;;X
PROV1039;Abu zabi;Abu zabi;Abu zabi;Abu zabi;Abu zabi;Abu zabi;;;;;X
PROV1040;Ad-Dammam;Ad-Dammam;Ad-Dammam;Ad-Dammam;Ad-Dammam;Ad-Dammam;;;;;X
PROV1041;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;;;;;X
PROV1042;Georgian Bay;Georgian Bay;Georgian Bay;Georgian Bay;Georgian Bay;Georgian Bay;;;;;X
PROV1043;Khasab;Khasab;Khasab;Khasab;Khasab;Khasab;;;;;X
PROV1044;Ha'yel;Ha'yel;Ha'yel;Ha'yel;Ha'yel;Ha'yel;;;;;X
PROV1045;El Riyad;El Riyad;El Riyad;El Riyad;El Riyad;El Riyad;;;;;X
PROV1046;El Jawf;El Jawf;El Jawf;El Jawf;El Jawf;El Jawf;;;;;X
PROV1047;El Hofuf;El Hofuf;El Hofuf;El Hofuf;El Hofuf;El Hofuf;;;;;X
PROV1048;Medina;Medina;Medina;Medina;Medina;Medina;;;;;X
PROV1049;Mecca;Mecca;Mecca;Mecca;Mecca;Mecca;;;;;X
PROV1050;Sanaa;Sanaa;Sanaa;Sanaa;Sanaa;Sanaa;;;;;X
PROV1051;El Mukalla;El Mukalla;El Mukalla;El Mukalla;El Mukalla;El Mukalla;;;;;X
PROV1052;Masqat;Masqat;Masqat;Masqat;Masqat;Masqat;;;;;X
PROV1053;Aden;Aden;Aden;Aden;Aden;Aden;;;;;X
PROV1054;Antakya;Antakya;Antakya;Antakya;Antakya;Antakya;;;;;X
PROV1055;Adana;Adana;Adana;Adana;Adana;Adana;;;;;X
PROV1056;Gaziantep;Gaziantep;Gaziantep;Gaziantep;Gaziantep;Gaziantep;;;;;X
PROV1057;Antalya;Antalya;Antalya;Antalya;Antalya;Antalya;;;;;X
PROV1058;Tarsus;Tarsus;Tarsus;Tarsus;Tarsus;Tarsus;;;;;X
PROV1059;Sivas;Sivas;Sivas;Sivas;Sivas;Sivas;;;;;X
PROV1060;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;;;;;X
PROV1061;Maltya;Maltya;Maltya;Maltya;Maltya;Maltya;;;;;X
PROV1062;Hakkari;Hakkari;Hakkari;Hakkari;Hakkari;Hakkari;;;;;X
PROV1063;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;Erzurum;;;;;X
PROV1064;Elazig;Elazig;Elazig;Elazig;Elazig;Elazig;;;;;X
PROV1065;Karabuk;Karabuk;Karabuk;Karabuk;Karabuk;Karabuk;;;;;X
PROV1066;Samsun;Samsun;Samsun;Samsun;Samsun;Samsun;;;;;X
PROV1067;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;;;;;X
PROV1068;Zonguldak;Zonguldak;Zonguldak;Zonguldak;Zonguldak;Zonguldak;;;;;X
PROV1069;Tayshet;Tayshet;Tayshet;Tayshet;Tayshet;Tayshet;;;;;X
PROV1070;Kachug;Kachug;Kachug;Kachug;Kachug;Kachug;;;;;X
PROV1071;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;;;;;X
PROV1072;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;;;;;X
PROV1073;Kayseri;Kayseri;Kayseri;Kayseri;Kayseri;Kayseri;;;;;X
PROV1074;Konya;Konya;Konya;Konya;Konya;Konya;;;;;X
PROV1075;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;;;;;X
PROV1076;Izmit;Izmit;Izmit;Izmit;Izmit;Izmit;;;;;X
PROV1077;Izmir;Izmir;Izmir;Izmir;Izmir;Izmir;;;;;X
