##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
EYR_C_FROM;From;De;Da;De;Von;z;;;;;x
EYR_C_TO;To;A;A;A;Nach;do;;;;;x
EYR_C_TRA;Transports;Cargos;Trasporto navale;Transportes;Transporter;Transportowce;;;;;x,
EYR_C_ESC;Escorts;Escortes;Scorte;Escoltas;Eskorten;Eskorta;;;;;x,
EYR_C_ENERGY;Energy;Energie;Energia;Energía;Energie;Energia;;;;;x,
EYR_C_METAL;Metal;Acier;Acciaio;Metal;Metall;Stal;;;;;x,
EYR_C_RARE_MATERIALS;Rare Materials;Matériaux précieux;Materiali rari;Materiales raros;seltene Materialien;Materia³y rzadkie;;;;;x,
EYR_C_OIL;Oil;Pétrole;Petrolio;Petróleo;Öl;Ropa;;;;;x,
EYR_C_SUP;Supplies;Ravitaillement;Rifornimenti;Suministros;Nachschubgüter;Zaopatrzenie;;;;;x,
EYR_V_PROV;Province;Province;Provincia;Provincia;Provinz;Prowincja;;;;;x,
EYR_V_VALUE;Value;Valeur;Valore;Valor;Wert;Wartoœæ;;;;;x,
EYR_WHO;Controller;Propr.;Ispettore;En poder de;Besitzer;W posiadaniu;;;;;x,
EYR_AXIS;Mitteleuropa;Axe;Asse;El Eje;Achsenmächte;Pañstwa Osi;;;;;x,
EYR_ALLIES;Entente;Alliés;Alleati;Aliados;Alliierte;Alianci;;;;;x,
EYR_COM;International;Komintern;Comintern;Comintern;Komintern;Komintern;;;;;x,
EYR_NEUTRAL;Neutral;Neutres;Neutrale;Neutrales;Neutral;Pañstwa neutralne;;;;;x,
##;;;;;;;;;;;x,
WAR_ENTRY;Currently %d percent support entry into War.;%d de soutien à l'entrée en guerre.;Al momento, il %d percento è a favore dell'entrata in guerra.;Un %d por ciento de acuerdo en entrar en la guerra.;Zur Zeit unterstützen %d Prozent den Kriegseintritt.;Obecnie %d spo³eczeñstwa popiera przyst¹pienie do wojny.;;;;;x
ALIGN_F;Autocracy;Fascisme;Fascismo;Fascismo;Faschismus;Faszyzm;;;;;x,,,
ALIGN_D;Democracy;Démocratie;Democrazia;Democracia;Demokratie;Demokracja;;;;;x,,,
ALIGN_C;Syndicalism;Communisme;Comunismo;Comunismo;Kommunismus;Komunizm;;;;;x,,,
END_AXIS;MITTELEUROPA;AXE;ASSE;EL EJE;ACHSE;Pañstwa Osi;;;;;x,,,
END_ALLIES;ENTENTE;ALLIES;ALLEATI;ALIADOS;ALLIIERTE;Alianci;;;;;x,,,
END_COMINTERN;SYNDICALISTS;KOMINTERN;COMINTERN;COMINTERN;KOMINTERN;Komintern;;;;;x,,,
##;;;;;;;;;;;x,,,
########################################;;;;;;;;;;;x,,,
# Unit Interface;;;;;;;;;;;x,,,
########################################;;;;;;;;;;;x,,,
UIW_PRIORITIZED;Prioritized;Prioritaire;Priorità;Priorizar;Priorisiert;Priorytet;;;;;x,,,
UIW_PRIORITIZED_DELAYED;Prioritized units are reinforced and upgraded before other units.;Les unités prioritaires sont blindées et améliorées avant les autres.;Le unità a cui è stato dato un ordine di priorità hanno la precedenza sulle altre per i rinforzi e i potenziamenti.;Las unidades priorizadas se refuerzan y modernizan antes que las demás.;Priorisierte Einheiten werden vor anderen Einheiten verstärkt und aufgerüstet.;Jednostki priorytetowe s¹ uzupe³niane i modernizowane w pierwszej kolejnoœci.;;;;;x,,,
UIW_OFFENSIVE;Offensive;Offensive;Offensiva;Ofensiva;Offensive;Ofensywa;;;;;x,,,
DIW_OFFENSIVE;Supplied for an Offensive;Fourni(e) pour une offensive;Rifornita per un offensiva;Se suministra para una ofensiva;Für Offensive bereitgestellt;Zaopatrz na ofensywê;;;;;x,,,
UIW_OFFENSIVE_DELAYED;Assign fuel and supplies for an Offensive to the selected units. This will increase their supply efficiency by %.f\%% for 30 days.\n Supply Cost: %.1f\n Fuel Cost: %.1f;Distribuer du carburant et de l’approvisionnement aux unités sélectionnées pour une Offensive. Ceci immobilisera pendant 30 jours leur efficacité d’approvisionnement sur %.2f\%%.\n Frais d’approvisionnement: %.1f\n Frais carburant: %.1f;Assegna carburante e rifornimenti per l’offensiva alle unità selezionate. In questo modo la loro efficienza rifornimenti verrà bloccata al %.f\%% per 30 giorni.\n Costo del rifornimento: %.1f\n Costo del carburante: %.1f;Asigna combustible y suministros para una ofensiva de las unidades seleccionadas. Esto les bloqueará la eficacia del suministro en %.2f\%% durante 30 días.\n Coste en suministros: %.1f\n Coste en combustible: %.1f;Weisen Sie den ausgewählten Einheiten Treibstoff und Nachschub für eine Offensive zu. Dadurch wird ihre Versorgungseffizienz bei %.f\%% für 30 Tage fixiert.\n Nachschubkosten: %.1f\n Treibstoffkosten: %.1f;Przed planowan¹ ofensyw¹, zaopatrz wybrane jednostki w paliwo i zaopatrzenie. Zablokuje to ich poziom zaopatrzenia na %.2f\%% przez 30 dni.\n Koszt, zaopatrzenie: %.1f\n Koszt, paliwo: %.1f;;;;;x
UIW_OFFENSIVE_NO_SUPPLIES;We lack %.1f supplies.;Il nous manque %.1f d’approvisionnement.;Ci mancano %.1f di rifornimenti.;Nos falta(n) %.1f de suministros.;Uns fehlt %.1f Nachschub.;Brakuje nam %.1f j. zaopatrzenia.;;;;;x,,,
UIW_OFFENSIVE_NO_FUEL;We lack %.1f oil.;Il nous manque %.1f de pétrole.;Ci mancano %.1f di petrolio.;Nos falta(n) %.1f de petróleo.;Uns fehlt %.1f Öl.;Brakuje nam %.1f j. ropy.;;;;;x,,,,,,,
UIW_OFFENSIVE_NOT_LAND;Only land units may launch Offensives.;Seules les unités terrestres peuvent lancer des Offensives.;Solamente le unità di terra possono lanciare offensive.;Sólo las unidades terrestres pueden lanzar ofensivas.;Nur Landeinheiten können Offensiven durchführen.;Tylko jednostki l¹dowe mog¹ przeprowadziæ ofensywê.;;;;;x,,,,,,,
UIW_OFFENSIVE_OOS;Units that are out of supply cannot launch Offensives.;Les unités dont l’approvisionnement est épuisé ne peuvent lancer des assauts.;Le unità a corto di rifornimenti non possono lanciare offensive.;Las unidades desabastecidas no pueden lanzar ofensivas.;Einheiten, die keinen Nachschub mehr haben können keine Offensiven durchführen.;Jednostki bez zaopatrzenia nie mog¹ przeprowadziæ ofensywy.;;;;;x,,,,,,
UIW_OFFENSIVE_ALREADY;One or more of the selected divisions is already in an Offensive.;Une ou plusieurs des divisions sélectionnées prennent déjà part à une offensive.;Una o più unità selezionate sono già impegnate in un’offensiva.;Una o más de las divisiones seleccionadas ya están en ofensiva.;Eine oder mehrere der ausgewählten Einheiten befindet/n sich bereits in einer Offensive.;Jedna lub wiêcej wybranych jednostek jest ju¿ w trybie Ofensywy.;;;;;x,,,,,,,
CONFIRMLOADPARA;Are you sure you want to load this unit onto these transport planes?;Voulez-vous vraiment embarquer cette unité dans ces avions de transport ?;Sei sicuro di voler caricare quest'unità su questi aerei da trasporto?;¿Seguro que quieres embarcar esta unidad en estos aviones de transporte?;Sind Sie sicher, diese Einheit auf diese Transportflugzeuge laden zu wollen?;Czy na pewno chcesz za³adowaæ t¹ jednostkê do samolotu transportowego?;;;;;x,,,,,,
UIW_PARATROOP;You have paratroopers loaded aboard this air unit.  (click to unload them.);Cet escadron transporte des parachutistes. (cliquer pour les faire descendre);Hai caricato dei paracadutisti su questa unità aerea. Clicca se desideri farli scendere.;Ya tienes parac. embarcados en esta unidad aérea  (haz clic para desemb.).;Sie haben diese Luftwaffeneinheit mit Fallschirmjägern beladen.  (Klicken Sie, um sie auszuladen.);Na pok³adzie tej jednostki s¹ ju¿ spadochroniarze. (kliknij aby ich wy³adowaæ);;;;;x,,,,,,
UIW_OUT_OF_RANGE;This unit has ships which have travelled further than the maximum range of %.f km.;Des navires appartenant à cette unité sont allés au-delà de la limite maximale de %.f km.;Questa unità possiede delle navi che hanno superato il tragitto massimo consentito (%.f km).;Esta unidad tiene barcos que han superado el radio de acción máximo de %.f km.;In dieser Einheit befinden sich Schiffe, die weiter als die Maximalreichweite von %.f km gefahren sind.;Ta grupa jednostek ma w sk³adzie statki, które osi¹gnê³y ju¿ swój maksymalny zasiêg %.f km.;;;;;x,,,,,
UIW_IN_RANGE;This unit has a maximum range of %.f km.;Cette unité a un rayon d’action maximal de %.f km.;Quest'unità può percorrere un tragitto massimo di %.f km.;R. de acción máx. de la unidad: %.f km.;Diese Einheit hat eine maximale Reichweite von %.f Kilometern.;Ta jednostki maj¹ zasiêg %.f km.;;;;;x,,,,,,,
DIGIN_MSG;Dug-In: %d;- retranchement %d;In trincea: %d;Atrinch.: %d;Eingegraben: %d;Okopanie: %d;;;;;x,,,,,,,
UIW_AIR_BUTTON;Select the air units stationed in this fleet, and give the orders.;Sélectionnez les unités aériennes de cette flotte et commandez-les.;Seleziona le unità aeree collocate in questa flotta e impartisci gli ordini.;Selecciona las unidades aéreas de esta flota y dales órdenes.;Wählen Sie die in dieser Flotte stationierten Luftwaffeneinheiten aus und geben Ihre Befehle.;Wybierz samoloty pok³adowe tej floty, a nastêpnie wydaj im rozkazy.;;;;;x,,,,,
NONUKES;There are no nuclear bombs available.;Ce pays ne possède pas de bombes nucléaires.;Non ci sono bombe atomiche disponibili nella nazione.;No hay bombas nucleares disponibles en el país.;In diesem Land sind keine Atombomben verfügbar.;Nie posiadamy dostêpnych bomb j¹drowych.;;;;;x,,,,,,,
UNLOADNUKE;Click to remove bomb from the unit.;Cliquez pour retirer la bombe nucléaire de cette unité.;Clicca per rimuovere la bomba dall'unità.;Clic para descargar bomba de unidad.;Klicken Sie hier, um die Bombe aus der Einheit zu entfernen.;Kliknij, aby wy³adowaæ bombê z pok³adu jednostki.;;;;;x,,,,,
LOADNUKE;Click to load a nuclear bomb onto the unit.;Cliquer pour ajouter une bombe nucléaire à cette unité.;Clicca per caricare una bomba atomica nell'unità.;Haz clic para cargar unidad con bomba nuclear.;Klicken Sie hier, um die Einheit mit einer Atombombe zu bestücken.;Kliknij, aby za³adowaæ bombê nuklearn¹ na pok³ad.;;;;;x,,,,,
OIL_USE_EXPLAIN;Many division types consume oil. Consumption is typically greater while moving, although ships in port and air divisions on the ground consume no oil at all. Neither do divisions in the force pool.;Les navires dans un port ne consomment pas de pétrole, les navires immobilisés en pleine mer n’utilisent que la moitié de leur consommation de carburant. Les unités de la réserve ne consomment pas de pétrole.;Le navi attraccate al porto non utilizzano petrolio, mentre quelle ferme in mare aperto ne sfruttano solo la metà della quantità massima necessaria. Le unità appartenenti alle forze a disposizione non consumano affatto.;Muchos tipos de divisiones consumen petróleo (en forma de combustible). El consumo suele ser mayor cuando se mueven, aunque los barcos amarrados y las unidades aéreas estacionadas no lo consumen, como tampoco las divisiones en la reserva de fuerzas.;Schiffe in Häfen verbrauchen kein Öl, auf hoher See stillstehende Schiffe haben nur halben Treibstoffverbrauch. Einheiten im Truppenpool verbrauchen überhaupt kein Öl.;Wiele rodzajów dywizji zu¿ywa ropê. Zu¿ycie zwykle jest wiêksze podczas ruchu. Dywizje w puli jednostek, statki w portach i samoloty na lotniskach nie zu¿ywaj¹ paliwa.;;;;;x
OIL_OUT;Out of Oil;Plus de pétrole.;Senza petrolio;Sin combustible;Ölvorrat erschöpft;Brak ropy;;;;;x,,,,,,,
SUPPLY_OUT;Out of Supply;Pénurie d’approvisionnement;A corto di rifornimenti;Sin sums.;Nachschubvorrat erschöpft;Brak zaopatrzenia;;;;;x,,,,,,,
OIL_USAGE;Currently using %.2f oil each day.\n (Maximum Usage is %.2f/day.);Consommation actuelle en pétrole: %.2f/jour.\n (Consommation maximale: %.2f/jour.);Attualmente utilizza %.2f petrolio al giorno.\n (La quantità massima è di %.2f al giorno).;Usa %.2f de combustible al día.\n (El uso máximo es %.2f al día).;Momentan werden täglich %.2f Öl verbraucht.\n (Maximalverbrauch ist %.2f/Tag.);Bie¿¹ce zu¿ycie ropy: %.2f j. dziennie\n(maksymalnie: %.2f j. dziennie);;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
UIW_REINFORE;The current strength of the unit. (Click to reinforce);Force actuelle de l'unité. (Cliquer pour la renforcer);La forza attuale dell'unità (clicca per rinforzare).;La fuerza actual de la unidad (haz clic para reforz.).;Momentane Stärke der Einheit. (Zum Verstärken klicken);Aktualna si³a jednostki.(kliknij, aby dokonaæ uzupe³nieñ);;;;;x,,,,,,,,,,,,,,,,,,,,,,,
UIW_OIL_PROBLEM;A division in this unit lacks enough oil to function properly.;Une des divisions de cette unité manque de pétrole pour fonctionner correctement.;Una divisione di questa unità non possiede petrolio a sufficienza per funzionare correttamente.;Una división en esta unidad carece de comb. para funcionar adecuadamente.;Eine Division in dieser Einheit hat nicht genug Öl für befehlsgemäßen Einsatz.;W tej grupie znajduj¹ siê dywizje, którym brakuje ropy.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
UIW_PLANES_ABOARD;This fleet has aeroplanes on its ships.;Les navires de cette flotte transportent des avions.;Questa flotta ha degli aeroplani sulle navi.;Esta flota tiene aviones embarcados.;Die Schiffe dieser Flotte sind mit Flugzeugen ausgerüstet.;Ta flota posiada samoloty pok³adowe.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
UIW_TROOPS_ABOARD;There are currently army units loaded onto the ships in this fleet.;Les navires de cette flotte transportent actuellement des unités militaires.;Al momento, ci sono delle unità dell'esercito sulle navi di questa flotta.;Hay unidades del ejército de tierra embarcadas en esta flota.;Auf den Schiffen dieser Flotte befinden sich momentan Armeeeinheiten.;Ta flota przewozi ju¿ jednostki.;;;;;x,,,,,,,,,,,,,,,,,,,,,,,
UIW_DIGIN;This unit is dug in, defending better.  (Current bonus: %.f.);Cette unité est retranchée et se défend de manière bien plus efficace. Bonus actuel: %.f.);Questa unità è trincerata, per cui si difende molto meglio (bonus attuale: %.f).;Esta unidad está atrincherada, y se defiende mucho mejor.  (bonif. actual: %.f.).;Diese Einheit hat sich eingegraben, wodurch ihre Verteidigung viel effizienter wird. (Momentaner Bonus: %.f.);Te jednostki s¹ okopane i broni¹ siê efektywniej (obecny modyfikator: %.f).;;;;;X,,,,,,,,,,,,,,,,,,,,
UIW_LEADERBUTTON;(Click to replace commander.);(Cliquer pour remplacer le commandant.);(Clicca per sostituire il comandante).;(Haz clic para sust. oficial).;(Klicken Sie, um den Kommandeur zu ersetzen.);(Kliknij, aby dokonaæ zmiany dowódcy) ;;;;;X,,,,,,,,,,,,,,,,,,,,,,
UNITLEDBY;Led by %s;Commandant: %s;Guidata da: %s;Mando: %s;Unter der Führung von %s;Dowódca: %s;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UNITBASED;Based at %s;Stationné à %s;Di base a: %s;Base en %s;Stationiert in %s;Baza: %s.;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UNITRANGE;(%.f km);(%.f km);(%.f km);(%.f km);(%.f km);(%.f km);;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
UNITNOORDER;No Orders;Aucun ordre;Nessun ordine;Sin órdenes;Keine Befehle;Brak rozkazów;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,
REORG_TO;Transfer to %s;Transférer à %s;Trasferimento a: %s;Reorganizar en %s;Zu %s hinzufügen;Przenieœ do %s;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UIW_REORG;Create a new unit and move divisions/flotillas/squadrons to it.;Créer une nouvelle unité, lui attribuer des divisions/flottilles/escadrons.;Crea una nuova unità e sposta dentro di essa divisioni, flotte e squadroni.;Crea una nueva unidad y traslada divisiones/flotillas/escuadrillas a ella.;Fügen Sie ihre Einheiten zu einer neuen Formation zusammen.;Stwórz now¹ jednostkê i przy³¹cz do niej dywizje/flotylle/eskadry.;;;;;X,,,,,,,,,,,,,,,,,,,,,,
UIW_REORG_DIS;You need to have at least two divisions, flotillas or squadrons to create a new unit out of this one.;Votre unité doit comporter au moins deux divisions, flottilles ou escadrons pour permettre de créer une nouvelle unité à partir de celle-ci.;Per creare una nuova unità a partire da questa devi possedere almeno due divisioni, flotte o squadroni.;Necesitas al menos dos divisiones, flotillas o escuadrillas para crear una nueva unidad a partir de ésta.;Um diese Einheit in zwei Einheiten aufzuteilen, benötigen Sie mindestens zwei Divisionen, Flottillen oder Geschwader.;Do stworzenia jednostki wymagane s¹ co najmniej dwie dywizje, flotylle lub eskadry.;;;;;X,,,,,,,,,,,,,,,,,
UIW_REORG_DESC;To create a new unit from the divisions, flotillas or squadrons in the currently selected unit, add the required sub-units to the left side of the reorganisation screen by clicking on the '+' button. Unless at least one division, flotilla or squadron is moved from the old unit, a new unit will not be created.;Pour créer une nouvelle unité à partir des divisions, flottilles ou escadrons de l’unité actuellement sélectionnée, faites passer des éléments de l'unité à droite de l’écran de réorganisation en cliquant sur le bouton ‘‘+’’. Une nouvelle unité ne peut être créée que par transfert d’une division, d’une flottille ou d’un escadron de l’ancienne unité.;Per creare una nuova unità utilizzando le divisioni, le flotte o gli squadroni presenti in quella attualmente selezionata, aggiungi le sotto-unità necessarie nella parte sinistra della schermata di riorganizzazione (cliccando sul pulsante +).;Para crear una nueva unidad a partir de divisiones, flotillas o escuadrillas de la que esté seleccionada, agrega las subunidades necesarias al lado izquierdo de la pantalla de reorganización haciendo clic en el botón de '+'. Si, como mínimo, una división, flotilla o escuadrilla no se traslada desde la antigua unidad, no se creará la nueva.;Gehen Sie folgendermaßen vor, um aus Divisionen, Flottillen oder Geschwader der ausgewählten Einheit neue Einheiten zu formen: Fügen Sie mit der Schaltfläche '+' die benötigten Untereinheiten der linken Seite des Umgruppierungsbildschirms an. Sofern nicht mindestens eine Division, Flotillie oder Staffel von der alten Einheit bewegt wird, kann keine neue Einheit erstellt werden.;W celu utworzenia nowej jednostki z dywizji, eskadr lub flotylli znajduj¹cych siê w wybranych jednostkach, dodaj te formacje do lewej strony ekranu, naciskaj¹c przycisk '+'. Je¿eli ¿adna dywizja, eskadra lub flotylla nie zostanie przeniesiona ze starej jednostki, nie zostanie utworzona nowa.;;;;;X
UIW_SUPPLY;This unit is in supply.;Cette unité est approvisionnée.;Questa unità è rifornita.;Unidad abastecida.;Diese Einheit ist versorgt.;Ta jednostka otrzymuje zaopatrzenie.;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,
UIW_OUTOFSUPPLY;This unit is not currently in supply.;Cette unité n’est actuellement pas approvisionnée.;Quest’unità è attualmente a corto di rifornimenti.;Esta unidad está desabastecida actualmente.;Diese Einheit wird nicht versorgt.;Te jednostka nie otrzymuje zaopatrzenia.;;;;;x,,,,,,,,,,,
UIW_SUPPLY_DESC;A unit is in supply when it can trace an uninterrupted path through provinces under their nation's control to a source of supplies: a capital or depot.;Une unité est approvisionnée lorsqu’elle peut, à partir d’un convoi ou d’une province nationale, se frayer un chemin ininterrompu à travers les provinces qu’elle contrôle jusqu’à une source d’approvisionnement.;Un'unità è rifornita quando è possibile tracciare un percorso ininterrotto, attraverso le province controllate dalla sua nazione, fino a una fonte di rifornimento (un convoglio, una provincia natale, ecc.).;Una unidad está abastecida cuando puede trazar una línea continua por provincias bajo el control de su nación hasta una fuente de suministros (un convoy o una provincia patria).;Eine Einheit wird versorgt, wenn sie einen ununterbrochenen Weg durch von Provinzen unter der Kontrolle ihrer Nation zu einer Versorgungsquelle vorweisen kann, z. B. zu einem Konvoi oder einer Heimatprovinz.;Jednostka otrzymuje zaopatrzenie, je¿eli istnieje do niej ci¹g³a trasa biegn¹ca przez w³asne prowincje od Ÿród³a zaopatrzenia (stolicy, magazynu) do jednostki.;;;;;X,
UIW_HQ;This unit has an HQ.;Cette unité a un QG.;Questa unità costituisce un QG.;Unidad con EM.;Diese Einheit hat ein Hauptquartier.;Ta jednostka posiada dywizjê dowodzenia.;;;;;X,,,,,,,,,,,
UIW_HQ_DESC;An HQ improves the supply efficiency, command limit and combat effectiveness of units in adjacent provinces.;Les unités possédant un QG améliorent l’efficacité de l’approvisionnement, les limites de commandement et les chances, pour les unités, d’avoir des conséquences de combat positives dans des provinces voisines.;Le unità con una divisione QG vede migliorata la propria efficienza rifornimenti, la propria estensione di reparti d’assalto e le probabilità di successo in combattimento delle unità nelle province adiacenti.;Las unidades con una división de estado mayor (EM) mejoran la eficacia del suministro, el límite al mando y la posibilidad de efectos positivos de combate en las provincias adyacentes.;Einheiten mit einer Division im Hauptquartier verbessern die Versorgungseffizienz, das Kommandolimit und die Aussicht auf positive Kampfeffekte von Einheiten in benachbarten Provinzen.;Jeœli w promieniu jednej prowincji od jednostki stacjonuje dywizja dowodzenia, jednostka ta ma wiêksz¹ wydajnoœæ zaopatrzenia, limit dywizji oraz wy¿sz¹ szansê na udane dzia³ania bojowe.;;;;;x,,
UIW_HQ_INACTIVE;This HQ is inactive due to the low rank of the Commander.;Ce QG est inactif en raison du faible grade du Commandant.;Questo QG è inattivo a causa del basso grado del comandante.;Este EM está inactivo debido al poco rango del oficial al mando.;Dieses Hauptquartier ist ob des niedrigen Rangs des Kommandanten inaktiv. ;Ta dywizja dowodzenia jest nieaktywna z powodu zbyt niskiego stopnia jej dowódcy.;;;;;x,,,,,,,,,,,
UIW_TSTRENGTH;The total of strength of all parts of this unit.;La force totale des composantes de cette unité.;La somma della forza di tutte le parti di questa unità.;Total de fuerza de los integrantes de esta unidad.;Die Gesamtstärke aller Truppenteile dieser Einheit.;Ca³kowita si³a wszystkich wojsk w jednostce.;;;;;X,,,,,,,,,,,
UIW_TSTRENGTH_DESC;This figure represents the combined strength of all the divisions, flotillas or squadrons in the currently selected unit. It is the sum of the individual strength figures.;Ce chiffre représente la force combinée des divisions, flottilles ou escadrons appartenant à l’unité sélectionnée. Cela correspond à la somme des puissances individuelles qui apparaissent dans les statistiques de l’icone de la division, de la flottille ou de l’escadron.;Questa figura rappresenta la forza combinata di tutte le divisioni, flotte o squadroni presenti nell'unità selezionata. Si tratta del totale di tutte le forze individuali, che sono visualizzate nelle statistiche delle icone delle parti dell'unità.;Esta cifra representa la fuerza combinada de todas las divisiones, flotillas o escuadrillas de la unidad seleccionada. Suma de las cifras de fuerza individuales que pueden verse en las estadísticas del icono de la división, flotilla o escuadrilla.;Dieser Wert steht für die kombinierte Stärke aller Divisionen, Flottillen oder Geschwader in der momentan ausgewählten Einheit. Er ist ein Gesamtwert der einzelnen Stärkewerte, die in den Statistiken der Divisions-, Flottillen- oder Staffelsymbole eingesehen werden können.;Ta wartoœæ reprezentuje ca³kowit¹ si³ê dywizji, flotylli i eskadr znajduj¹cych siê w jednostce. Jest to zsumowana si³a pojedynczych formacji.;;;;;X
UIW_STRENGTH;Strength;Force;Forza;Fuerza;Stärke;Si³a;;;;;X,,,,,,,,,,,
UIW_ORG;Organisation;Organisation;Organizzazione;Organización;Organisation;Zorganizowanie;;;;;X,,,,,,,,,,,
UIW_HARDATTACK;Hard Attack;Attaque cibles dures;Attacco pesante;Ataque anticarro;Hard Attack;Atak przeciw sile pancernej;;;;;X,,,,,,,,,,,
UIW_SOFTATTACK;Soft Attack;Attaque cibles vivantes;Attacco leggero;Ataque antipersonal;Soft Attack;Atak przeciw sile ¿ywej;;;;;X,,,,,,,,,,,
UIW_AIRATTACK;Air Attack;Attaque aérienne;Attacco aereo;Ataque aéreo;Luftangriff;Atak powietrzny;;;;;X,,,,,,,,,,,
UIW_DEFENCE;Defence;Défense;Difesa;Defensa;Verteidigung;Obrona;;;;;X,,,,,,,,,,,
UIW_AIRDEFENCE;Air Defence;Défense aérienne;Difesa aerea;Defensa aérea;Luftverteidigung;Obrona przeciwlotnicza;;;;;X,,,,,,,,,,,
UIW_SEAATTACK;Sea Attack;Attaque navale;Attacco navale;Ataque naval;Seeangriff;Atak morski;;;;;X,,,,,,,,,,,
UIW_SEADEFENCE;Sea Defence;Défense navale;Difesa navale;Defensa naval;Seeverteidigung;Obrona morska;;;;;X,,,,,,,,,,,
UIW_NAVALATTACK;Naval Bombing;Bombardement naval;Bomb. navale;Bombardeo naval;Marinebombardierung;Bombardowanie morskie;;;;;X,,,,,,,,,,
