AST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
56901;Minister of Armament;Philip McBride;1936;1970;1999;SC;Military Entrepreneur;Very High;Philip McBride;X
56902;Foreign Minister;Alexander Rud Mills;1936;1970;1999;NS;Ideological Crusader;Very High;Alexander Rud Mills;X
56903;Minister of Armament;Edward Cunningham Quicke;1936;1970;1999;FA;Military Entrepreneur;Very High;Edward Cunningham Quicke;X
56904;Chief of Navy;Ian Mudie;1936;1970;1999;FA;Riverine Warfare Doctrine;Very High;Ian Mudie;X
56905;Head of Government;Nancy Krakouer;1936;1970;1999;FA;Silent Workhorse;Very High;Nancy Krakouer;X
56906;Minister of Security;Laurence Bullock;1936;1970;1999;FA;Prince of Terror;Very High;Laurence Bullock;X
56907;Head of Military Intelligence;Laurence Bullock;1936;1970;1999;FA;Political Specialist;Very High;Laurence Bullock;X
56908;Head of State;P.R Stephensen;1936;1970;1999;FA;Powerhungry Demagogue;Very High;PR Stephensen_HOS;X
56909;Head of Government;P.R Stephensen;1936;1970;1999;FA;Naive Optimist;High;PR Stephensen;X
56910;Minister of Security;P.R Stephensen;1936;1970;1999;FA;Efficient Sociopath;Very High;PR Stephensen;X
56911;Head of Government;William John Miles;1936;1970;1999;FA;Corporate Suit;Very High;William John Miles;X
56912;Minister of Armament;William John Miles;1936;1970;1999;FA;Balanced Budget Economy;Very High;William John Miles;X
56913;Minister of Security;Xavier Herbert;1936;1970;1999;PA;Man of the People;Very High;Xavier Herbert;X
56914;Foreign Minister;Adela Pankhurst;1936;1961;1999;PA;Ideological Crusader;Very High;Adela Pankhurst;X
56915;Minister of Armament;Tom Walsh;1936;1961;1999;PA;Mixed Economy;Very High;Tom Walsh;X
56916;Foreign Minister;Rex Ingamells;1936;1961;1999;PA;Biased Intellectual;Very High;Rex Ingamells;X
56917;Chief of Army;Clive Kirkwood Downe;1936;1961;1999;FA;Doctrine of Autonomy;Very High;Clive Kirkwood Downe;X
56918;Chief of Staff;Clive Kirkwood Downe;1936;1961;1999;FA;School of Defence;Very High;Clive Kirkwood Downe;X
56919;Minister of Armament;William Hardy Wilson;1936;1961;1999;FA;Construction Magnate;Very High;WilliamHardyWilson;X
56920;Head of Military Intelligence;Jock Lewes;1941;1964;1999;PA;Logistics Specialist;High;AST_Jock_Lewes;X
56921;Chief of Staff;Jock Lewes;1941;1964;1999;PA;Commando Doctrine Staff;High;AST_Jock_Lewes;X
56922;Chief of Army;Jock Lewes;1941;1964;1999;PA;Guerilla Warfare Doctrine;High;AST_Jock_Lewes;X
56923;Minister of Security;Roy Burston;1936;1960;1999;SC;Health and Safety;High;AST_Roy_Burston;X
56924;Minister of Security;Rupert Downes;1935;1960;1999;ML;Health and Safety;High;AST_Rupert_Major_Downes;X
56925;Chief of Army;Lewis H. Dyke;1947;1957;1999;PA;Innovative Artillery Officer;High;AST_Lewis_Glanville_Howard_Dyke;X
56926;Chief of Army;Alwyn Garrett;1947;1960;1999;PA;Armoured Spearhead Doctrine;High;AST_Alwyn_Ragnar_Garrett;X
56927;Chief of Staff;Alwyn Garrett;1947;1960;1999;PA;School of Manoeuvre;High;AST_Alwyn_Ragnar_Garrett;X
56928;Head of Military Intelligence;Colin Hall Simpson;1923;1963;1999;PA;Technical Specialist;High;AST_Colin_Hall_Simpson;X
