BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
34412;Head of Government;Júlio de Mesquita Filho;1936;1964;1999;SD;Corporate Suit;Medium;Julio_de_Mesquita_Filho;X
34413;Head of State;Leonel Brizola;1950;1964;1999;SC;Stern Imperialist;Medium;BRA_leonel_brizola;X
34414;Head of Government;Leonel Brizola;1950;1964;1999;SC;Flamboyant Tough Guy;Medium;BRA_leonel_brizola;X
34415;Head of State;Olímpio Mourão Filho;1936;1964;1999;FA;Popular Figurehead;Medium;BRA_Olimpio_Mourao_Filho;X
34416;Head of Government;Sylvio de Noronha;1943;1964;1999;SC;Old Admiral;High;M34019;X
34417;Head of State;Filinto Muller;1936;1964;1999;NS;Ruthless Powermonger;Very High;M34006;X
34418;Head of Government;Filinto Muller;1936;1964;1999;NS;Old General;Very High;M34006;X
34419;Head of State;Sylvio de Noronha;1943;1964;1999;SC;Autocratic Charmer;High;M34019;X
34420;Head of Government;Sylvio de Noronha;1943;1964;1999;SC;Old Admiral;High;M34019;X
34421;Head of State;Magalhães Barata de Azevedo;1943;1964;1999;PA;Resigned Generalissimo;High;M34037;X
34422;Head of Government;Magalhães Barata de Azevedo;1943;1964;1999;PA;Smiling Oilman;Medium;M34037;X
34423;Head of Government;Olímpio Mourão Filho;1936;1964;1999;FA;Political Protege;Medium;BRA_Olimpio_Mourao_Filho;X
34424;Head of State;Eduardo Pacheco Chaves;1954;1964;1999;SC;Benevolent Gentleman;Medium;Eduardo_Pacheco_Chaves;X
34425;Head of Government;Eduardo Pacheco Chaves;1954;1964;1999;SC;Old Airmarshal;Medium;Eduardo_Pacheco_Chaves;X
34426;Head of State;Newton Cavalcanti;1944;1964;1999;PA;Stern Imperialist;Medium;M34047;X
34427;Head of Government;Newton Cavalcanti;1944;1964;1999;PA;Silent Workhorse;Medium;M34047;X
34428;Head of State;Figueira de Almeida;1943;1964;1999;SC;Pig-headed Isolationist;Medium;M34020;X
34429;Head of Government;Figueira de Almeida;1943;1964;1999;SC;Naive Optimist;Medium;M34020;X
34430;Head of State;Djalma Dutra;1936;1964;1999;PA;Powerhungry Demagogue;Medium;BRA_Djalma_Dutra;X
34431;Head of Government;Djalma Dutra;1936;1964;1999;PA;Happy Amateur;Medium;BRA_Djalma_Dutra;X
34432;Head of State;Humberto de Alencar Castelo-Branco;1936;1964;1999;SC;Resigned Generalissimo;Medium;BRA_castelo_branco;X
34433;Head of Government;Humberto de Alencar Castelo-Branco;1936;1964;1999;SC;Old General;Medium;BRA_castelo_branco;X
34434;Head of State;Lívio Xavier;1936;1964;1999;LE;Pig-headed Isolationist;Medium;BRA_Livio_Xavier;X
34435;Head of Government;Avelino Fóscolo;1936;1964;1999;LWR;Political Protege;Medium;BRA_Avelino_Foscolo;X
34436;Head of State;João da Costa Pimenta;1936;1964;1999;LWR;Popular Figurehead;Medium;BRA_Joao_da_Costa_Pimenta;X
34437;Head of State;Avelino Fóscolo;1936;1964;1999;LWR;Insignificant Layman;Medium;BRA_Avelino_Foscolo;X
34438;Head of Government;Edgard Leuenroth;1936;1964;1999;LWR;Silent Workhorse;Medium;BRA_Edgard_Leuenroth;X
34439;Head of Government;Minervino de Oliveira;1936;1964;1999;LE;Naive Optimist;Medium;BRA_Minervino_de_Oliveira;X
34440;Head of Government;José Oiticica;1936;1964;1999;LWR;Naive Optimist;Medium;BRA_Jose_Oiticica;X
34441;Head of Government;Zenon de Almeida Budaszewski;1936;1964;1999;LWR;Happy Amateur;Medium;BRA_Zenon_de_Almeida;X
34442;Head of Government;Henrique Teixeira Lott;1937;1964;1999;LWR;Flamboyant Tough Guy;Medium;M34027;X
34443;Head of Government;Lauro Reginaldo da Rocha;1948;1964;1999;LE;Ambitious Union Boss;Medium;BRA_Lauro_Reginaldo_da_Rocha;X
34444;Head of State;José Oiticica;1936;1964;1999;LWR;Weary Stiffneck;Medium;BRA_Jose_Oiticica;X
34445;Head of State;Zenon de Almeida Budaszewski;1936;1964;1999;LWR;Popular Figurehead;Medium;BRA_Zenon_de_Almeida;X
34446;Head of State;Iedo Fiúza;1944;1964;1999;LE;Insignificant Layman;Medium;BRA_iedo_fiuza;X
34447;Head of Government;Iedo Fiúza;1944;1964;1999;LE;Silent Workhorse;Medium;BRA_iedo_fiuza;X
34448;Head of State;João Amazonas;1944;1964;1999;LE;Die-hard Reformer;Medium;BRA_joao_amazonas;X
34449;Head of Government;João Amazonas;1944;1964;1999;LE;Ambitious Union Boss;Medium;BRA_joao_amazonas;X
34450;Head of State;João Penteado;1936;1964;1999;LWR;Pig-headed Isolationist;Medium;BRA_Joao_Penteado;X
34451;Head of Government;João Penteado;1936;1964;1999;LWR;Backroom Backstabber;Medium;BRA_Joao_Penteado;X
34452;Head of State;Francisco Julião;1955;1964;1999;LWR;Benevolent Gentleman;Medium;BRA_francisco_juliao;X
34453;Head of Government;Francisco Julião;1955;1964;1999;LWR;Corporate Suit;Medium;BRA_francisco_juliao;X
34454;Head of State;Elza Monnerat;1953;1964;1999;LE;Barking Buffoon;Medium;BRA_elza_monnerat;X
34455;Head of Government;Elza Monnerat;1953;1964;1999;LE;Political Protege;Medium;BRA_elza_monnerat;X
34456;Head of State;Carlos Marighella;1951;1964;1999;LE;Powerhungry Demagogue;Medium;BRA_carlos_marighella;X
34457;Head of Government;Carlos Marighella;1951;1964;1999;LE;Silent Workhorse;Medium;BRA_carlos_marighella;X
34458;Head of Government;Juarez Távora;1938;1964;1999;LE;Smiling Oilman;Medium;BRA_Juarez_Tavora;X
34459;Head of State;Miguel Arraes;1956;1964;1999;LWR;Popular Figurehead;Medium;BRA_miguel_arraes;X
34460;Head of Government;Miguel Arraes;1956;1964;1999;LWR;Silent Workhorse;Medium;BRA_miguel_arraes;X
34461;Head of State;Patrícia Galvão;1960;1964;1999;LWR;Weary Stiffneck;Medium;BRA_Patricia_Galvao;X
34462;Head of Government;Patrícia Galvão;1960;1964;1999;LWR;Happy Amateur;Medium;BRA_Patricia_Galvao;X
34463;Head of State;Pedro Inácio de Araújo;1959;1964;1999;LE;Autocratic Charmer;Medium;BRA_pedro_inacio_de_araujo;X
34464;Head of Government;Pedro Inácio de Araújo;1959;1964;1999;LE;Naive Optimist;Medium;BRA_pedro_inacio_de_araujo;X
34465;Head of Government;Miguel Reale;1950;1964;1999;NS;Political Protege;Medium;BRA_Miguel_Reale;X
34466;Head of Government;Severo Fournier;1936;1964;1999;NS;Political Protege;Medium;BRA_severo_fournier;X
34467;Head of Government;Atanagildo França;1936;1964;1999;NS;Old General;Medium;BRA_Atanagildo_Franca;X
34468;Head of Government;Luís da Câmara Cascudo;1936;1964;1999;FA;Flamboyant Tough Guy;Medium;BRA_Luis_da_Camara_Cascudo;X
34469;Head of Government;Gustavo Capanema;1936;1964;1999;FA;Naive Optimist;Medium;BRA_Gustavo_Capanema;X
34470;Head of Government;João Cândido;1960;1964;1999;FA;Happy Amateur;Medium;BRA_joao_candido;X
34471;Head of Government;Arlindo Veiga dos Santos;1936;1964;1999;NS;Political Protege;Medium;BRA_arlindo_veiga_dos_santos;X
34472;Head of Government;Antônio Paim Vieira;1940;1964;1999;NS;Happy Amateur;Medium;MAntonio_Paim_Vieira;X
34473;Head of State;S.M.I. Dom Pedro Gastão de Orléans e Bragança;1936;1964;1999;PA;Popular Figurehead;Medium;BRA_dom_pedro_gastao;X
34474;Head of State;S.M.I. Dom Pedro Henrique de Orléans e Bragança;1936;1964;1999;PA;Stern Imperialist;Medium;BRA_dom_pedro_henrique;X
34475;Head of Government;José Américo de Almeida;1937;1964;1999;SD;Silent Workhorse;Medium;M34024;X
34476;Head of State;Juscelino Kubitscheck;1954;1964;1999;SL;Benevolent Gentleman;Medium;BRA_juscelino_kubitscheck;X
34477;Head of Government;Juscelino Kubitscheck;1954;1964;1999;SL;Silent Workhorse;Medium;BRA_juscelino_kubitscheck;X
34478;Head of State;Prestes Maia;1936;1964;1999;ML;Ruthless Powermonger;Medium;Prestes_Maia;X
34479;Head of Government;S.E.R. Dom Miguel de Lima Valverde;1948;1964;1999;PA;Happy Amateur;Medium;BRA_miguel_de_lima_valverde;X
34480;Head of Government;S.E.R. Dom Augusto Álvaro da Silva;1960;1964;1999;FA;Backroom Backstabber;Medium;BRA_augusto_alvaro_da_silva;X
34481;Head of Government;S.E.R. Dom Jaime de Barros Câmara;1960;1964;1999;PA;Political Protege;Medium;BRA_jaime_de_barros_camara;X
34482;Foreign Minister;S.E.R. Dom Miguel de Lima Valverde;1948;1964;1999;PA;Ideological Crusader;Medium;BRA_miguel_de_lima_valverde;X
34483;Foreign Minister;S.E.R. Dom Augusto Álvaro da Silva;1960;1964;1999;FA;Apologetic Clerk;Medium;BRA_augusto_alvaro_da_silva;X
34485;Foreign Minister;S.E.R. Dom Jaime de Barros Câmara;1960;1964;1999;PA;Iron Fisted Brute;Medium;BRA_jaime_de_barros_camara;X
