ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1321;Minister of Security;J.H. Thomas;1936;1949;1949;ST;Back Stabber;Medium;kaiserreich jhthomas;X
1322;Minister of Armament;Sanny Sloan;1936;1945;1945;LE;Construction Magnate;Very High;kaiserreich sanny;X
1323;Chief of Air Force;Basil Edward Embry;1946;1970;1999;SD;Army Aviation Doctrine;High;L1437;X
1324;Chief of Air Force;Harry Broadhurst;1949;1970;1999;SL;Carpet Bombing Doctrine;High;L1422;X
1325;Minister of Armament;Harry Broadhurst;1949;1970;1999;SL;Air to Ground Proponent;High;L1422;X
1326;Chief of Air Force;John Cunningham;1948;1970;1999;LWR;Air Superiority Doctrine;High;L1433;X
1327;Minister of Armament;John Cunningham;1948;1970;1999;LWR;Air Superiority Proponent;High;L1433;X
1328;Chief of Air Force;Philip Joubert de la Ferté;1936;1964;1999;LWR;Naval Aviation Doctrine;High;L1438;X
1329;Minister of Armament;Philip Joubert de la Ferté;1936;1964;1999;LWR;Air to Sea Proponent;High;L1438;X
1330;Chief of Navy;Percy Noble;1936;1946;1999;SD;Open Seas Doctrine;High;L1375;X
1331;Chief of Navy;Max Kennedy Horton;1936;1952;1999;SD;Indirect Approach Doctrine;High;L1357;X
1332;Chief of Navy;John Cronyn Tovey;1940;1952;1999;SL;Open Seas Doctrine;High;L1397;X
1333;Chief of Navy;George Fawkes;1949;1970;1999;LWR;Indirect Approach Doctrine;High;LFawkes;X
1334;Chief of Navy;Rhoderick McGrigor;1938;1960;1999;SD;Power Projection Doctrine;High;LMcGrigor;X
1335;Chief of Navy;Caspar John;1950;1970;1999;SL;Power Projection Doctrine;High;LCaspar_John;X
1336;Chief of Air Force;Caspar John;1950;1970;1999;SL;Naval Aviation Doctrine;High;LCaspar_John;X
1337;Chief of Staff;Dudley Wrangel Clarke;1936;1970;1999;LWR;Commando Doctrine Staff;High;MDudley_Clarke;X
1338;Chief of Staff;Richard Loudon McCreery;1942;1968;1999;LE;School of Manoeuvre;High;L1216;X
1339;Chief of Army;Richard Loudon McCreery;1942;1968;1999;LE;Armoured Spearhead Doctrine;High;L1216;X
1340;Chief of Staff;Archibald James Cassels;1948;1970;1999;LWR;School of Fire Support;High;LJames_Cassels;X
1341;Chief of Army;Archibald James Cassels;1948;1970;1999;LWR;Elastic Defence Doctrine;High;LJames_Cassels;X
1342;Chief of Staff;Richard Amyatt Hull;1950;1970;1999;SD;School of Psychology;High;L1009;X
1343;Chief of Army;Richard Amyatt Hull;1950;1970;1999;SD;Doctrine of Autonomy;High;L1009;X
1344;Chief of Staff;Harold English Pyman;1949;1970;1999;LWR;School of Manoeuvre;High;L1255;X
1345;Chief of Army;Harold English Pyman;1949;1970;1999;LWR;Armoured Spearhead Doctrine;High;L1255;X
557566;Head of State;John Maclean;1921;1964;1999;LWR;Popular Figurehead;High;kaiserreich maclean;X
