CRO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
30304;Head of State;Boris Kraigher;1954;1970;1999;LWR;Die-hard Reformer;High;MBoris_Kraigher;X
30305;Minister of Armament;Boris Kraigher;1945;1970;1999;LWR;Mixed Economy;High;MBoris_Kraigher;X
30306;Head of State;Anton Krosl;1951;1970;1999;SD;Die-hard Reformer;High;MAnton_Krosl;X
30307;Head of Military Intelligence;Anton Krosl;1943;1970;1999;SD;Political Specialist;High;MAnton_Krosl;X
30308;Head of State;Crtomir Nagode;1943;1970;1999;ML;Die-hard Reformer;High;MCrtomir_Nagode;X
30309;Minister of Armament;Crtomir Nagode;1941;1970;1999;ML;Resource Industrialist;High;MCrtomir_Nagode;X
30310;Head of Government;Franc Leskosek;1941;1970;1999;LE;Ambitious Union Boss;High;SLV-KR_Franc_Leskosek;X
30311;Minister of Armament;Franc Leskosek;1938;1970;1999;LE;Industrialiser;High;SLV-KR_Franc_Leskosek;X
30312;Head of Government;Edvard Kardelj;1950;1970;1999;LE;Silent Workhorse;High;SLV-KR_Edvard_Kardelj;X
30313;Foreign Minister;Edvard Kardelj;1945;1970;1999;LE;Great Compromiser;High;SLV-KR_Edvard_Kardelj;X
30314;Minister of Security;Edvard Kardelj;1942;1970;1999;LE;Prince of Terror;High;SLV-KR_Edvard_Kardelj;X
30315;Head of Government;Alojzija Stebi;1936;1950;1999;LWR;Naive Optimist;High;MAlojzija_Stebi;X
30316;Foreign Minister;Alojzija Stebi;1923;1950;1999;LWR;Ideological Crusader;High;MAlojzija_Stebi;X
30317;Minister of Security;Alojzija Stebi;1923;1950;1999;LWR;Compassionate Gentleman;High;MAlojzija_Stebi;X
30318;Head of Government;Stane Kavcic;1956;1970;1999;LWR;Pragmatic Statesman;High;MStane_Kavcic;X
30319;Head of Government;Ales Stanovnik;1951;1970;1999;SD;Pragmatic Statesman;High;MAles_Stanovnik;X
30320;Minister of Security;Ales Stanovnik;1941;1970;1999;SD;Silent Lawyer;High;MAles_Stanovnik;X
30321;Head of Government;Edvard Kocbek;1945;1970;1999;SL;Naive Optimist;High;MEdvard_Kocbek;X
30322;Minister of Security;Edvard Kocbek;1941;1970;1999;SL;Media Magnate;High;MEdvard_Kocbek;X
30323;Foreign Minister;Dusan Kermavner;1943;1970;1999;LWR;Apologetic Clerk;High;MDusan_Kermavner;X
30324;Foreign Minister;Joza Vilfan;1946;1970;1999;LWR;Biased Intellectual;High;MJoza_Vilfan;X
30325;Minister of Security;Joza Vilfan;1945;1970;1999;LWR;Crime Fighter;High;MJoza_Vilfan;X
30326;Foreign Minister;Lavo Cermelj;1936;1970;1999;SD;Ideological Crusader;High;MLavo_Cermelj;X
30327;Head of Military Intelligence;Lavo Cermelj;1936;1970;1999;SD;Industrial Specialist;High;MLavo_Cermelj;X
30328;Foreign Minister;Karel Sirok;1936;1959;1999;SL;Ideological Crusader;High;MKarel_Sirok;X
30329;Foreign Minister;Vladimir Vauhnik;1946;1961;1999;ML;The Cloak N Dagger Schemer;High;LVladimir_Vauhnik;X
30330;Head of Military Intelligence;Vladimir Vauhnik;1940;1961;1999;ML;Counterintelligence Specialist;High;LVladimir_Vauhnik;X
30331;Foreign Minister;Leonid Pitamic;1936;1970;1999;ML;Great Compromiser;High;MLeonid_Pitamic;X
30332;Foreign Minister;Bogumil Vosnjak;1918;1959;1999;SC;Biased Intellectual;High;SLV-KR_Bogumil _Vosnjak;X
30333;Foreign Minister;Ciril Kotnik;1941;1965;1999;SC;Ideological Crusader;High;MCiril_Kotnik;X
30334;Minister of Armament;Boris Kidric;1941;1955;1999;LE;Planned Economy Proponent;High;SLV-KR_Boris_Kidric_;X
30335;Minister of Security;Boris Kidric;1941;1955;1999;LE;Efficient Sociopath;High;SLV-KR_Boris_Kidric_;X
30336;Head of Military Intelligence;Boris Kidric;1939;1955;1999;LE;Political Specialist;High;SLV-KR_Boris_Kidric_;X
30337;Minister of Armament;Sergej Kraigher;1951;1970;1999;LWR;Planned Economy Proponent;High;MSergej_Kraigher;X
30338;Minister of Armament;Milko Brezigar;1918;1958;1999;SD;Mixed Economy;High;unknown;X
30339;Minister of Armament;Vekoslav Kukovec;1920;1951;1999;SL;Mixed Economy;High;MVekoslav_Kukovec;X
30340;Minister of Security;Vekoslav Kukovec;1920;1951;1999;SL;Health and Safety;High;MVekoslav_Kukovec;X
30341;Minister of Armament;Ljubo Sirc;1955;1970;1999;SL;Administrative Genius;High;MLjubo_Sirc;X
30342;Minister of Security;Tone Tomsic;1941;1970;1999;LE;Silent Lawyer;High;SLV-KR_Tone_Tomsic;X
30343;Minister of Security;Ivan Macek;1944;1970;1999;LE;Back Stabber;High;SLV-KR_Macek_Ivan;X
30344;Minister of Security;Joze Potrc;1947;1963;1999;LWR;Health and Safety;High;MJoze_Potrc;X
30345;Minister of Security;Angela Vode;1936;1970;1999;LWR;Man of the People;High;MAngela_Vode;X
30346;Minister of Security;Drago Marusic;1936;1964;1999;SL;Silent Lawyer;High;MDrago_Marusic;X
30347;Minister of Security;Ivan Marija Cok;1927;1948;1999;ML;Silent Lawyer;High;MIvan_Marija_Cok;X
30348;Minister of Security;Boris Furlan;1936;1964;1999;ML;Media Magnate;High;MBoris_Furlan;X
30349;Head of Military Intelligence;Ivan Marija Cok;1927;1948;1999;ML;Political Specialist;High;MIvan_Marija_Cok;X
30350;Chief of Staff;Franc Rozman;1944;1970;1999;LE;School of Mass Combat;High;SLV-KR_Franc_Rozman;X
30351;Chief of Army;Franc Rozman;1945;1970;1999;LE;Elastic Defence Doctrine;High;SLV-KR_Franc_Rozman;X
30352;Chief of Staff;Franc Tavcar;1952;1970;1999;LE;School of Defence;High;LFranc_Tavcar;X
30353;Chief of Army;Franc Tavcar;1952;1970;1999;LE;Combat Engineering Doctrine;High;LFranc_Tavcar;X
30354;Chief of Staff;Jakob Avsic;1943;1966;1999;SL;School of Manoeuvre;High;SLV-KR_Jakob_Avsic;X
30355;Chief of Army;Jakob Avsic;1943;1966;1999;SL;Old Cavalry General;High;SLV-KR_Jakob_Avsic;X
30356;Head of Military Intelligence;Jakob Avsic;1941;1966;1999;SL;Logistics Specialist;High;SLV-KR_Jakob_Avsic;X
30357;Foreign Minister;Jakob Avsic;1946;1970;1999;SL;General Staffer;High;SLV-KR_Jakob_Avsic;X
30358;Chief of Staff;Bozidar Kraut;1946;1967;1999;SL;School of Fire Support;High;LBozidar_Kraut;X
30359;Minister of Armament;Bozidar Kraut;1946;1967;1999;SL;Artillery Proponent;High;LBozidar_Kraut;X
30360;Chief of Army;Mirko Jerman;1951;1970;1999;LWR;Armoured Spearhead Doctrine;High;LMirko_Jerman;X
30361;Chief of Army;Dragomir Bencic;1950;1970;1999;SD;Static Defence Doctrine;High;LDragomir_Bencic;X
30362;Chief of Army;Ivan Prezelj;1944;1965;1999;SC;Guns and Butter Doctrine;High;LIvan_Prezelj;X
30363;Chief of Navy;Karel Levicnik;1945;1968;1999;LWR;Decisive Naval Battle Doctrine;High;LKarel_Levicnik;X
30364;Chief of Staff;Karel Levicnik;1946;1968;1999;LWR;School of Fire Support;High;LKarel_Levicnik;X
30365;Minister of Armament;Karel Levicnik;1946;1968;1999;LWR;Artillery Proponent;High;LKarel_Levicnik;X
30366;Chief of Navy;Ivan Kern;1938;1968;1999;SD;Power Projection Doctrine;High;SLV-KR_Ivan_Kern;X
30367;Chief of Navy;Josip Cerni;1944;1970;1999;SD;Indirect Approach Doctrine;High;LJosip_Cerni;X
30368;Chief of Navy;Baldomir Saje;1943;1970;1999;SL;Base Control Doctrine;High;LBaldomir_Saje;X
30369;Chief of Navy;Radoslav Saje;1952;1970;1999;SL;Indirect Approach Doctrine;High;LRadoslav_Saje;X
30370;Chief of Air Force;Branko Ivanus;1951;1970;1999;LWR;Vertical Envelopment Doctrine;High;MBranko_Ivanus;X
30371;Chief of Air Force;Zdenko Ulepic;1946;1970;1999;SD;Army Aviation Doctrine;High;LZdenko_Ulepic;X
30372;Chief of Air Force;Stanko Kamenscek;1947;1970;1999;SL;Vertical Envelopment Doctrine;High;MStanko_Kamenscek;X
30373;Chief of Air Force;Franjo Pirc;1941;1964;1999;SL;Air Superiority Doctrine;High;SLV-KR_France_Pirc;X
30374;Chief of Air Force;Jurij Kraigher;1937;1961;1999;ML;Vertical Envelopment Doctrine;High;LGeorge_Kraigher;X
30375;Chief of Air Force;Ivan Vidmar;1937;1962;1999;ML;Naval Aviation Doctrine;High;LGianni_Widmer;X
