MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
36243;Minister of Armament;Ramón Fuentes Iturbe;1936;1970;1999;ML;Construction Magnate;High;LRamon_Fuentes_Iturbe;X
36244;Minister of Armament;Carlos Graef Fernández;1945;1970;1999;ML;Theoretical Scientist;High;MCarlos_Graef_Fernandez;X
36245;Minister of Armament;Rodrigo Gómez Gómez;1945;1970;1999;ML;Mixed Economy;High;MRodrigo_Gomez_Gomez;X
36246;Minister of Armament;Enrique Martínez Sobral;1911;1950;1999;SC;Balanced Budget Economy;High;MEnrique_Martinez_Sobral;X
36247;Minister of Armament;Luis Montes de Oca;1927;1958;1999;SC;Laissez-Faire Capitalist;High;MLuis_Montes_deOca;X
36248;Minister of Armament;Jerónimo Siller;1920;1962;1999;SC;Motorisation Proponent;High;L4513;X
36249;Minister of Security;Rodrigo Quevedo Moreno;1932;1967;1999;LWR;Prince of Terror;High;MRodrigo_Quevedo_Moreno;X
36250;Minister of Security;Gustavo Baz Prada;1935;1970;1999;LWR;Health and Safety;High;MGustavo_Baz_Prada;X
36251;Minister of Security;Enrique Hernández Álvarez;1936;1940;1999;SD;Health and Safety;High;MEnrique_Hernandez_Alvarez;X
36252;Minister of Security;José Siurob Ramírez;1936;1965;1999;SD;Health and Safety;High;MJose_Siurob_Ramirez;X
36253;Minister of Security;Rafael Miguel Pedrajo;1936;1970;1999;ML;Crime Fighter;High;MEX_L_Pedrajo;X
36254;Minister of Security;Raúl Madero González;1936;1970;1999;ML;Efficient Sociopath;High;MRaul_Madero_Gonzalez;X
36255;Minister of Security;Salvador Zubirán;1940;1970;1999;ML;Health and Safety;High;MSalvador_Zubiran_Anchondo;X
36256;Minister of Security;Anacleto Guerrero Guajardo;1936;1970;1999;SC;Compassionate Gentleman;High;LJose_Anacleto_Guerrero_Guajardo;X
36257;Minister of Security;Ignacio Morones Prieto;1943;1970;1999;SC;Health and Safety;High;MIgnacio_Morones_Prieto;X
36258;Minister of Security;Bonifacio Salinas Leal;1939;1970;1999;PA;Back Stabber;High;LBonifacio_Salinas_Leal;X
36259;Head of Military Intelligence;Juan Manuel Zermeño Araico;1943;1970;1999;SD;Naval Intelligence Specialist;High;L4544;X
36260;Chief of Staff;Juan Barragán Rodríguez;1936;1970;1999;LE;School of Psychology;High;LJuan_Barragan_Rodriguez;X
36261;Chief of Staff;Juan José Ríos;1927;1956;1999;SD;School of Mass Combat;High;LJuan_Jose_Rios;X
36262;Chief of Staff;Juan de Dios Bátiz Paredes;1940;1970;1999;SD;School of Fire Support;High;LJuan_de_Dios_Batiz_Paredes;X
36263;Chief of Army;Juan de Dios Bátiz Paredes;1940;1970;1999;SD;Combat Engineering Doctrine;High;LJuan_de_Dios_Batiz_Paredes;X
36264;Minister of Armament;Juan de Dios Bátiz Paredes;1936;1970;1999;SD;Resource Industrialist;High;LJuan_de_Dios_Batiz_Paredes;X
36265;Minister of Security;Juan de Dios Bátiz Paredes;1936;1970;1999;SD;Man of the People;High;LJuan_de_Dios_Batiz_Paredes;X
36266;Chief of Staff;Luis Alamillo Flores;1950;1970;1999;SD;School of Manoeuvre;High;LLuis_Alamillo_Flores;X
36267;Foreign Minister;Luis Alamillo Flores;1945;1970;1999;SD;General Staffer;High;LLuis_Alamillo_Flores;X
36268;Chief of Army;Agustín Olachea Avilés;1946;1970;1999;SD;Decisive Battle Doctrine;High;L4554;X
36269;Head of Military Intelligence;Agustín Olachea Avilés;1936;1970;1999;SD;Logistics Specialist;High;L4554;X
36270;Chief of Army;Rubén García;1936;1970;1999;SL;Old Cavalry General;High;LRuben_Garcia;X
36271;Chief of Army;Anacleto Guerrero Guajardo;1934;1970;1999;SC;Old Cavalry General;High;LJose_Anacleto_Guerrero_Guajardo;X
36272;Chief of Navy;Carlos Castillo Bretón Barrero;1935;1970;1999;SD;Open Seas Doctrine;High;LCarlos_Castillo_Breton_Barrero;X
36273;Chief of Navy;Mariano Francisco Saynez Martínez;1952;1970;1999;SD;Base Control Doctrine;High;LMariano_Francisco_Saynez_Martinez;X
36274;Chief of Navy;Álvaro Sandoval Paullada;1949;1970;1999;SL;Decisive Naval Battle Doctrine;High;LAlvaro_Sandoval_Paullada;X
36275;Chief of Navy;Antonio Vázquez del Mercado;1946;1970;1999;ML;Open Seas Doctrine;High;L4535;X
36276;Head of Military Intelligence;Antonio Vázquez del Mercado Ramos;1945;1970;1999;ML;Naval Intelligence Specialist;High;L4535;X
36277;Chief of Navy;Pedro Xavier Cacho Rendón;1948;1970;1999;ML;Base Control Doctrine;High;LPedro_Xavier_Cacho_Rendon;X
36278;Chief of Navy;Miguel Ángel Gómez Ortega;1950;1970;1999;ML;Hydrographic Service Proponent;High;LMiguel_Angel_Gomez_Ortega;X
36279;Chief of Navy;José Dozal Guzmán;1935;1957;1999;SC;Base Control Doctrine;High;LJose_Dozal_Guzman;X
36280;Chief of Air Force;Carlos Castillo Bretón Barrero;1935;1970;1999;SD;Naval Aviation Doctrine;High;LCarlos_Castillo_Breton_Barrero;X
36281;Chief of Air Force;Luis Farell Cubillas;1950;1970;1999;SL;Army Aviation Doctrine;High;LLuis_Farell_Cubillas;X
36282;Chief of Air Force;Roberto Salido Beltrán;1952;1970;1999;SL;Tactical Aviation Doctrine;High;LRoberto_Salido_Beltran;X
36283;Chief of Air Force;Alfonso Cruz Rivera;1950;1970;1999;SL;Aviation Organizer;High;MEX_L_Cruz;X
36284;Chief of Air Force;Ralph O'Neill;1925;1970;1999;ML;Air Superiority Doctrine;High;LRalph_Ambrose_ONeill;X
36285;Minister of Armament;Ralph O'Neill;1925;1970;1999;ML;Air Superiority Proponent;High;LRalph_Ambrose_ONeill;X
36286;Chief of Air Force;Alfonso Virgen Meza;1936;1970;1999;SC;Carpet Bombing Doctrine;High;LAlfonso_Virgen_Meza;X
