CSX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
503252;Minister of Security;Mu Zibin;1936;1962;1999;FA;Crooked Kleptocrat;High;MMu_Zibin;X
503253;Minister of Armament;Damulin Wangchuke;1948;1970;1999;FA;Laissez-Faire Capitalist;High;MDamulin_Wangchuke;X
503254;Minister of Armament;Wang Shijing;1938;1955;1999;NS;Bank President;High;Wang Shijing;X
503255;Minister of Security;Su Jingguan;1936;1964;1999;LE;Health and Safety;High;MSu_Jingguan;X
503256;Minister of Security;Li Weisen;1936;1970;1999;LE;Media Magnate;High;MLi_Weisen;X
503257;Minister of Security;Cai Shufan;1946;1970;1999;LE;Compassionate Gentleman;High;MCai_Shufan;X
503258;Minister of Security;Liu Lantao;1951;1970;1999;LE;Crime Fighter;High;MLiu_Lantao;X
503259;Head of Military Intelligence;Liu Lantao;1948;1970;1999;LE;Political Specialist;High;MLiu_Lantao;X
503260;Minister of Security;Liu Qingyang;1936;1964;1999;LWR;Health and Safety;High;MLiu_Qingyang;X
503261;Minister of Security;Yang Xiufeng;1936;1970;1999;LWR;Silent Lawyer;High;MYang_Xiufeng;X
503262;Minister of Security;Zhang Su;1936;1970;1999;LWR;Man of the People;High;MZhang_Su;X
503263;Minister of Security;Xu Jianguo;1936;1970;1999;LWR;Secret Police Chief;High;MXu_Jianguo;X
503264;Minister of Security;Ma Zhemin;1942;1970;1999;LWR;Efficient Sociopath;High;MMa_Zhemin;X
503265;Head of Military Intelligence;Ma Zhemin;1938;1970;1999;LWR;Political Specialist;High;MMa_Zhemin;X
503266;Minister of Security;Wei Wenbo;1946;1970;1999;LWR;Crime Fighter;High;MWei_Wenbo;X
503267;Minister of Security;Wang Feiran;1948;1970;1999;LWR;Crime Fighter;High;MWang_Feiran;X
503268;Minister of Security;Jia Qian;1948;1970;1999;LWR;Silent Lawyer;High;MJia_Qian;X
503269;Minister of Security;Huang Chibo;1953;1970;1999;LWR;Crime Fighter;High;MHuang_Chibo;X
503270;Minister of Security;Sha Yankai;1936;1959;1999;SD;Silent Lawyer;High;MSha_Yankai;X
503271;Minister of Security;Zhang Yingnan;1940;1959;1999;SD;Crime Fighter;High;MZhang_Yingnan;X
503272;Minister of Security;Jing Zhifu;1936;1960;1999;SD;Media Magnate;High;MJing_Zhifu;X
503273;Minister of Security;Yang Zilian;1940;1963;1999;SD;Man of the People;High;MYang_Zilian;X
503274;Minister of Security;Su Zichen;1940;1970;1999;SD;Compassionate Gentleman;High;MSu_Zichen;X
503275;Minister of Security;Ji Qingyi;1950;1970;1999;SD;Silent Lawyer;High;MJi_Qingyi;X
503276;Minister of Security;Xin Zhichao;1950;1970;1999;SD;Compassionate Gentleman;High;MXin_Zhichao;X
503277;Minister of Security;Yu Songhua;1936;1958;1999;SL;Media Magnate;High;MYu_Songhua;X
503278;Minister of Security;Shi Zhiquan;1936;1960;1999;SL;Crime Fighter;High;MShi_Zhiquan;X
503279;Minister of Security;Sun Danlin;1928;1961;1999;SL;Compassionate Gentleman;High;MSun_Danlin;X
503280;Minister of Security;Zheng Ruogu;1949;1962;1999;SL;Compassionate Gentleman;High;MZheng_Ruogu;X
503281;Minister of Security;Jin Baoshan;1938;1970;1999;SL;Health and Safety;High;MJin_Baoshan;X
503282;Minister of Security;Yan Shutang;1947;1970;1999;SL;Crime Fighter;High;MYan_Shutang;X
503283;Minister of Security;Wang Shixian;1948;1970;1999;SL;Back Stabber;High;MWang_Shixian;X
503284;Minister of Security;Jiang Wenhan;1949;1970;1999;SL;Man of the People;High;MJiang_Wenhan;X
503285;Minister of Security;Sun Yafu;1950;1970;1999;SL;Efficient Sociopath;High;MSun_Yafu;X
503286;Minister of Security;Wang Youling;1928;1947;1999;ML;Crime Fighter;High;MWang_Youling;X
503287;Minister of Security;Fang Zong'ao;1936;1950;1999;ML;Efficient Sociopath;High;MFang_Zongao;X
503288;Minister of Security;Lü Fu;1936;1954;1999;ML;Silent Lawyer;High;MLu_Fu;X
503289;Minister of Security;Lin Zaiping;1936;1960;1999;ML;Crime Fighter;High;MLin_Zhijun;X
503290;Minister of Security;Wang Guangqing;1942;1964;1999;ML;Compassionate Gentleman;High;MWang_Guangqing;X
503291;Minister of Security;Chen Wenyuan;1936;1968;1999;ML;Man of the People;High;MChen_Wenyuan;X
503292;Minister of Security;Lin Zongyang;1936;1970;1999;ML;Health and Safety;High;MLin_Zongyang;X
503293;Minister of Security;Tang Siyao;1948;1970;1999;ML;Media Magnate;High;MTang_Siyao;X
503294;Minister of Security;Luo Mengce;1948;1970;1999;ML;Silent Lawyer;High;MLuo_Mengce;X
503295;Minister of Security;Zha Liangjian;1950;1970;1999;ML;Crime Fighter;High;MZha_Liangjian;X
503296;Minister of Security;Shi Siming;1950;1970;1999;ML;Health and Safety;High;MShi_Siming_Szeming_Sze;X
503297;Minister of Security;Qian Wenxuan;1924;1949;1999;SC;Compassionate Gentleman;High;MQian_Wenxuan;X
503298;Minister of Security;Quan Shaoqing;1928;1949;1999;SC;Health and Safety;High;MQuan_Shaoqing;X
503299;Minister of Security;Zhang Guogan;1916;1951;1999;SC;Crime Fighter;High;MZhang_Guogan;X
503300;Minister of Security;Zhang Boling;1938;1951;1999;SC;Man of the People;High;MZhang_Boling;X
503301;Minister of Security;Zhang Lu'ao;1936;1952;1999;SC;Silent Lawyer;High;Zhang Luao;X
503302;Minister of Security;Liu Ruiheng;1928;1959;1999;SC;Health and Safety;High;MLiu_Ruiheng;X
503303;Minister of Security;Luo Yunyan;1936;1959;1999;SC;Crime Fighter;High;MLuo_Yunyan;X
503304;Minister of Security;Zhu Youyu;1936;1960;1999;SC;Health and Safety;High;MZhu_Youyu;X
503305;Minister of Security;He Jihong;1936;1962;1999;SC;Silent Lawyer;High;MHe_Jihong;X
503306;Minister of Security;Ying Qianli;1946;1969;1999;SC;Man of the People;High;MYing_Qianli;X
503307;Minister of Security;Liang Shuming;1936;1970;1999;SC;Man of the People;High;CHIShuming;X
503308;Minister of Security;Hu Guowei;1936;1970;1999;SC;Media Magnate;High;MHu_Guowei;X
503309;Minister of Security;Chen Hanzhen;1938;1970;1999;SC;Man of the People;High;MChen_Hanzhen;X
503310;Minister of Security;Zhou Mingtai;1940;1970;1999;SC;Compassionate Gentleman;High;MZhou_Mingtai;X
503311;Minister of Security;Xu Hanhao;1946;1970;1999;SC;Crime Fighter;High;MXu_Hanhao;X
503312;Minister of Security;Hou Shaowen;1948;1970;1999;SC;Compassionate Gentleman;High;MHou_Shaowen;X
503313;Minister of Security;Yuan Yijin;1949;1970;1999;SC;Health and Safety;High;MYuan_Yijin;X
503314;Minister of Security;Tang Bao'e;1926;1948;1999;PA;Silent Lawyer;High;Tang Baoe;X
503315;Minister of Security;Yu Qichang;1928;1949;1999;PA;Silent Lawyer;High;MYu_Qichang;X
503316;Minister of Security;Sun Runyu;1926;1950;1999;PA;Crime Fighter;High;MSun_Runyu;X
503317;Minister of Security;Bi Zeyu;1940;1963;1999;PA;Efficient Sociopath;High;MBi_Zeyu;X
503318;Minister of Security;Aisin-Gioro Pu Xinshe;1940;1963;1999;PA;Silent Lawyer;High;Aisin-Gioro_Pu_Xinshe;X
503319;Minister of Security;Ding Tingbiao;1945;1964;1999;PA;Compassionate Gentleman;High;MDing_Tingbiao;X
503320;Head of Military Intelligence;Ding Tingbiao;1940;1964;1999;PA;Industrial Specialist;High;MDing_Tingbiao;X
503321;Minister of Security;Qu Duizhi;1939;1970;1999;PA;Media Magnate;High;Qu duizhi;X
503322;Minister of Security;Li Sicong;1944;1970;1999;PA;Crime Fighter;High;MLi_Sicong;X
503323;Minister of Security;Shen Yunlong;1948;1970;1999;PA;Efficient Sociopath;High;MShen_Yunlong;X
503324;Minister of Security;Tang Erhe;1927;1940;1999;FA;Health and Safety;High;Tang Erhe;X
503325;Minister of Security;Tong Jixu;1928;1943;1999;FA;Secret Police Chief;High;MTong_Jixu;X
503326;Minister of Security;Dong Kang;1925;1944;1999;FA;Silent Lawyer;High;Dong Kang;X
503327;Minister of Security;Zhang Mingqi;1925;1945;1999;FA;Back Stabber;High;Zhang Mingqi;X
503328;Minister of Security;Zhu Shen;1933;1945;1999;FA;Prince of Terror;High;Chu Shen;X
503329;Minister of Security;Zhang Zongxiang;1916;1949;1999;FA;Crime Fighter;High;MZhang_Zongxiang;X
503330;Minister of Security;Aisin-Gioro Pudong;1928;1952;1999;FA;Media Magnate;High;Aisin-Gioro_Pudong;X
503331;Minister of Security;Pan Yugui;1936;1954;1999;FA;Crime Fighter;High;Pan Yugui;X
503332;Minister of Security;Aisin-Gioro Jin Mingshi;1936;1956;1999;FA;Prince of Terror;High;Aisin-Gioro_Jin_Mingshi;X
503333;Minister of Security;Xiong Bingqi;1928;1959;1999;FA;Back Stabber;High;Xiong Bingqi;X
503334;Minister of Security;Zhang Renli;1943;1964;1999;FA;Crooked Kleptocrat;High;Chang Jen-li;X
503335;Minister of Security;Yao Zuobin;1943;1964;1999;FA;Back Stabber;High;MYao_Zuobin;X
503336;Head of Military Intelligence;Wang Sihua;1943;1970;1999;LWR;Industrial Specialist;High;MWang_Sihua;X
503337;Head of Military Intelligence;Xu Mingde;1955;1970;1999;LWR;Naval Intelligence Specialist;High;MXu_Mingde;X
503338;Head of Military Intelligence;Hu Egong;1928;1949;1999;SD;Dismal Enigma;High;MHu_Egong;X
503339;Head of Military Intelligence;Han Zhao'e;1940;1961;1999;SD;Logistics Specialist;High;MHan_Zhaoe;X
503340;Head of Military Intelligence;Wang Qiming;1945;1970;1999;SD;Dismal Enigma;High;LWang_Qiming;X
503341;Head of Military Intelligence;Xiong Xianghui;1950;1970;1999;SD;Counterintelligence Specialist;High;MXiong_Xianghui;X
503342;Head of Military Intelligence;Shi Zhiren;1945;1970;1999;SL;Industrial Specialist;High;MShi_Zhiren;X
503343;Head of Military Intelligence;Liu Liangmo;1949;1970;1999;SL;Political Specialist;High;MLiu_Liangmo;X
503344;Head of Military Intelligence;Xie Xueying;1928;1951;1999;ML;Industrial Specialist;High;MXie_Xueying;X
503345;Head of Military Intelligence;Shen Chengshi;1936;1955;1999;ML;Industrial Specialist;High;MShen_Chengshi;X
503346;Head of Military Intelligence;Yan Xunfu;1936;1958;1999;ML;Logistics Specialist;High;LYan_Xunfu;X
503347;Head of Military Intelligence;Hou Teng;1948;1963;1999;ML;Logistics Specialist;High;LHou_Teng;X
503348;Head of Military Intelligence;Zhao Zhenzhou;1946;1970;1999;ML;Political Specialist;High;MZhao_Zhenzhou;X
503349;Head of Military Intelligence;Jin Shaoxian;1951;1970;1999;ML;Industrial Specialist;High;MJin_Shaoxian;X
503350;Head of Military Intelligence;Zhou Longguang;1936;1955;1999;SC;Political Specialist;High;MZhou_Longguang;X
503351;Head of Military Intelligence;Yang Rumei;1936;1957;1999;SC;Industrial Specialist;High;MYang_Rumei;X
503352;Head of Military Intelligence;Cui Shuqin;1950;1964;1999;SC;Political Specialist;High;MCui_Shuqin;X
503353;Head of Military Intelligence;Bi Fanyu;1936;1970;1999;SC;Political Specialist;High;MFrancis_Wilson_Price;X
503354;Head of Military Intelligence;Zhang Boju;1940;1970;1999;SC;Industrial Specialist;High;Zhang Boju;X
503355;Head of Military Intelligence;Zhang Jie;1945;1970;1999;SC;Logistics Specialist;High;LZhang_Jie;X
503356;Head of Military Intelligence;Li Shutian;1946;1970;1999;SC;Industrial Specialist;High;MLi_Shutian;X
503357;Head of Military Intelligence;Mou Bingzhao;1948;1970;1999;SC;Naval Intelligence Specialist;High;LMou_Bingzhao;X
503358;Head of Military Intelligence;Xu Langxuan;1948;1970;1999;SC;Technical Specialist;High;LXu_Langxuan;X
503359;Head of Military Intelligence;Kang Tongbi;1928;1953;1999;PA;Political Specialist;High;MKang_Tongbi;X
503360;Head of Military Intelligence;Zhong Shiming;1922;1959;1999;PA;Industrial Specialist;High;MZhong_Shiming;X
503361;Head of Military Intelligence;Lin Yisheng;1941;1961;1999;PA;Logistics Specialist;High;LLin_Yisheng;X
503362;Head of Military Intelligence;Zhu Guansan;1947;1970;1999;PA;Dismal Enigma;High;MZhu_Guansan;X
503363;Head of Military Intelligence;Chen Guoying;1949;1970;1999;PA;Dismal Enigma;High;MChen_Guoying;X
503364;Head of Military Intelligence;Lei Fazhang;1950;1970;1999;PA;Industrial Specialist;High;MLei_Fazhang;X
503365;Head of Military Intelligence;Ding Shiyuan;1919;1945;1999;FA;Logistics Specialist;High;Ding Shiyuan;X
503366;Head of Military Intelligence;Aisin-Gioro Xianyu;1937;1970;1999;FA;Counterintelligence Specialist;High;M750024;X
503367;Chief of Staff;Huang Yongsheng;1953;1970;1999;ST;School of Psychology;High;L76397;X
503368;Chief of Army;Huang Yongsheng;1953;1970;1999;ST;Doctrine of Autonomy;High;L76397;X
503369;Chief of Staff;Xu Shiyou;1936;1970;1999;LWR;School of Manoeuvre;High;L76393;X
503370;Chief of Army;Xu Shiyou;1943;1970;1999;LWR;Decisive Battle Doctrine;High;L76393;X
503371;Chief of Staff;Zhao Zhangcheng;1945;1969;1999;LWR;School of Fire Support;High;LZhao_Zhangcheng;X
503372;Chief of Staff;Wang Jian'an;1949;1970;1999;LWR;School of Mass Combat;High;L76419;X
503373;Chief of Staff;Du Yide;1951;1970;1999;LWR;School of Defence;High;L76598;X
503374;Chief of Army;Du Yide;1951;1970;1999;LWR;Elastic Defence Doctrine;High;L76598;X
503375;Chief of Navy;Du Yide;1951;1970;1999;LWR;Base Control Doctrine;High;L76598;X
503376;Chief of Staff;Zhang Zhenhan;1937;1963;1999;SD;School of Fire Support;High;LZhang_Zhenhan;X
503377;Chief of Staff;Yuan Qingrong;1950;1970;1999;SL;School of Manoeuvre;High;LYuan_Qingrong;X
503378;Chief of Staff;An Juncai;1936;1957;1999;ML;School of Manoeuvre;High;LAn_Juncai;X
503379;Chief of Army;An Juncai;1942;1957;1999;ML;Old Cavalry General;High;LAn_Juncai;X
503380;Chief of Staff;Zhang Quan;1939;1964;1999;ML;School of Fire Support;High;LZhang_Quan;X
503381;Chief of Army;Zhang Quan;1946;1964;1999;ML;Static Defence Doctrine;High;LZhang_Quan;X
503382;Chief of Staff;Huang Dexin;1948;1970;1999;ML;School of Defence;High;unknown;X
503383;Chief of Army;Huang Dexin;1945;1970;1999;ML;Combat Engineering Doctrine;High;unknown;X
503384;Chief of Staff;Jiang Baili;1926;1938;1999;SC;School of Defence;High;Jiang Baili;X
503385;Minister of Armament;Jiang Baili;1926;1938;1999;SC;Reformer;High;Jiang Baili;X
503386;Chief of Staff;Jia Deyao;1925;1940;1999;SC;School of Mass Combat;High;Jia Deyao;X
503387;Chief of Staff;Ding Jin;1936;1946;1999;SC;School of Psychology;High;Ding Jin;X
503388;Minister of Armament;Ding Jin;1936;1946;1999;SC;Reformer;High;Ding Jin;X
503389;Chief of Staff;Yang Shusong;1938;1958;1999;SC;School of Defence;High;LYang_Shusong;X
503390;Chief of Army;Yang Shusong;1940;1958;1999;SC;Static Defence Doctrine;High;LYang_Shusong;X
503391;Chief of Staff;Zhang Zhen;1942;1959;1999;SC;School of Psychology;High;L50001;X
503392;Chief of Army;Zhang Zhen;1945;1959;1999;SC;Doctrine of Autonomy;High;L50001;X
503393;Chief of Staff;Cai Qinghua;1955;1970;1999;SC;School of Manoeuvre;High;LCai_Qinghua;X
503394;Chief of Army;Cai Qinghua;1955;1970;1999;SC;Armoured Spearhead Doctrine;High;LCai_Qinghua;X
503395;Chief of Staff;Cai Wenzhi;1952;1970;1999;PA;School of Psychology;High;LCai_Wenzhi;X
503396;Foreign Minister;Cai Wenzhi;1945;1970;1999;PA;General Staffer;High;LCai_Wenzhi;X
503397;Chief of Staff;Jiang Yanxing;1923;1940;1999;PA;School of Mass Combat;High;Chiang Yanxing;X
503398;Chief of Staff;Wang Tingzhen;1923;1941;1999;PA;School of Manoeuvre;High;Wang Tingzhen;X
503399;Chief of Army;Wang Tingzhen;1923;1941;1999;PA;Old Cavalry General;High;Wang Tingzhen;X
503400;Chief of Staff;Zhang Qihuang;1928;1942;1999;PA;School of Psychology;High;Zhang Qihuang;X
503401;Foreign Minister;Zhang Qihuang;1928;1942;1999;PA;General Staffer;High;MZhang_Qihuang;X
503402;Chief of Staff;Wu Guangjie;1936;1951;1999;PA;School of Fire Support;High;LWu_Guangjie;X
503403;Minister of Armament;Wu Guangjie;1930;1951;1999;PA;Artillery Proponent;High;LWu_Guangjie;X
503404;Chief of Staff;He Guoguang;1935;1951;1999;PA;School of Psychology;High;L50092;X
503405;Chief of Air Force;He Guoguang;1939;1951;1999;PA;Air Defence Doctrine;High;L50092;X
503406;Foreign Minister;He Guoguang;1935;1951;1999;PA;General Staffer;High;L50092;X
503407;Chief of Staff;Wan Yaohuang;1937;1956;1999;PA;School of Mass Combat;High;L50307;X
503408;Minister of Armament;Wan Yaohuang;1936;1956;1999;PA;Infantry Proponent;High;L50307;X
503409;Chief of Staff;Xu Tingyao;1937;1957;1999;PA;School of Manoeuvre;High;L50110;X
503410;Chief of Army;Xu Tingyao;1938;1957;1999;PA;Armoured Spearhead Doctrine;High;L50110;X
503411;Minister of Armament;Xu Tingyao;1935;1957;1999;PA;Tank Proponent;High;L50110;X
503412;Chief of Staff;Peng Shan;1948;1967;1999;PA;School of Defence;High;LPeng_Shan;X
503413;Chief of Staff;Ma Shigong;1948;1968;1999;PA;Commando Doctrine Staff;High;L50238;X
503414;Chief of Staff;Zhao Jiaxiang;1951;1970;1999;PA;School of Mass Combat;High;L50022;X
503415;Chief of Army;Zhao Jiaxiang;1951;1970;1999;PA;Elastic Defence Doctrine;High;L50022;X
503416;Chief of Staff;Du Jianshi;1951;1970;1999;PA;School of Fire Support;High;LDu_Jianshi;X
503417;Foreign Minister;Du Jianshi;1945;1970;1999;PA;General Staffer;High;LDu_Jianshi;X
503418;Chief of Staff;Lu Jin;1926;1944;1999;FA;School of Fire Support;High;Lu Jin;X
503419;Chief of Army;Lu Jin;1926;1944;1999;FA;Decisive Battle Doctrine;High;Lu Jin;X
503420;Chief of Staff;Aisin-Gioro Xiqia;1936;1950;1999;FA;School of Manoeuvre;High;M750038;X
503421;Chief of Army;Aisin-Gioro Xiqia;1936;1950;1999;FA;Guns and Butter Doctrine;High;M750038;X
503422;Chief of Staff;Yang Yuxun;1940;1960;1999;FA;School of Mass Combat;High;LYang_Yuxun;X
503423;Chief of Staff;Huang Baitao;1943;1965;1999;FA;School of Psychology;High;M750036;X
503424;Chief of Staff;Peng Mengji;1953;1970;1999;FA;School of Fire Support;High;LPeng_Mengji;X
503425;Chief of Army;Peng Mengji;1953;1970;1999;FA;Decisive Battle Doctrine;High;LPeng_Mengji;X
503426;Chief of Staff;Ye Peng;1942;1962;1999;NS;School of Fire Support;High;Ye Peng;X
503427;Chief of Army;Ye Peng;1943;1962;1999;NS;Static Defence Doctrine;High;Ye Peng;X
503428;Chief of Army;Xu Haidong;1936;1965;1999;LWR;Guerilla Warfare Doctrine;High;L76315;X
503429;Chief of Army;Wang Ping;1949;1970;1999;LWR;Guns and Butter Doctrine;High;L76423;X
503430;Head of Military Intelligence;Wang Ping;1936;1970;1999;LWR;Logistics Specialist;High;L76423;X
503431;Chief of Army;Han Xianchu;1950;1970;1999;LWR;Doctrine of Autonomy;High;L76402;X
503432;Chief of Army;Chen Baocang;1945;1965;1999;SD;Combat Engineering Doctrine;High;LChen_Baocang;X
503433;Chief of Army;Gao Zhenlong;1936;1949;1999;SC;Combat Engineering Doctrine;High;LGao_Zhenlong;X
503434;Chief of Army;Men Bingyue;1937;1950;1999;SC;Old Cavalry General;High;LMen_Bingyue;X
503435;Chief of Army;Zhang Fang;1936;1951;1999;SC;Elastic Defence Doctrine;High;L50007;X
503436;Chief of Army;Yu Xuezhong;1935;1955;1999;SC;Doctrine of Autonomy;High;Yu Xuezhong;X
503437;Chief of Army;Zhao Zili;1948;1970;1999;SC;Combat Engineering Doctrine;High;LZhao_Zili;X
503438;Chief of Army;Ma Qingjiang;1950;1970;1999;SC;Guns and Butter Doctrine;High;LMa_Qingjiang;X
503439;Chief of Army;Liu Menggeng;1926;1943;1999;PA;Guns and Butter Doctrine;High;Liu Menggeng;X
503440;Minister of Security;Liu Menggeng;1931;1943;1999;PA;Health and Safety;High;Liu Menggeng;X
503441;Head of Military Intelligence;Liu Menggeng;1921;1943;1999;PA;Logistics Specialist;High;Liu Menggeng;X
503442;Chief of Army;Pang Bingxun;1937;1947;1999;PA;Elastic Defence Doctrine;High;Pang Bingxun1926;X
503443;Chief of Army;Tian Zhennan;1943;1954;1999;PA;Static Defence Doctrine;High;L50287;X
503444;Chief of Army;Gao Jiren;1949;1968;1999;PA;Decisive Battle Doctrine;High;LGao_Jiren;X
503445;Chief of Army;Liu Yuzhang;1952;1968;1999;PA;Doctrine of Autonomy;High;Liu Yuzhang;X
503446;Chief of Army;Zhang Xuzi;1948;1970;1999;PA;Commando Doctrine Army;High;LZhang_Xuzi;X
503447;Chief of Army;Zhang Fang;1936;1951;1999;FA;Doctrine of Autonomy;High;L50112;X
503448;Chief of Army;Aisin-Gioro Zaitao;1936;1952;1999;FA;Old Cavalry General;High;Aisin-Gioro Zaitao;X
503449;Head of Military Intelligence;Aisin-Gioro Zaitao;1930;1952;1999;FA;Logistics Specialist;High;Aisin-Gioro Zaitao;X
503450;Chief of Army;Darizaya, Jasagh of Alxa Banner;1946;1970;1999;FA;Old Cavalry General;High;LDarizaya;X
503451;Minister of Security;Darizaya, Jasagh of Alxa Banner;1946;1970;1999;FA;Man of the People;High;LDarizaya;X
503452;Chief of Army;Wang Lingyun;1945;1964;1999;FA;Counter-Insurgency Doctrine;High;L50321;X
503453;Chief of Army;Dong Zhao;1948;1967;1999;FA;Elastic Defence Doctrine;High;LDong_Zhao;X
503454;Chief of Army;Guobuluo Runqi;1952;1970;1999;FA;Armoured Spearhead Doctrine;High;LGuobuluo_Runqi;X
503455;Chief of Navy;Zheng Guozhong;1950;1970;1999;LWR;Coastal Defence Doctrine;High;LZheng_Guozhong;X
503456;Chief of Navy;He Chongsheng;1954;1970;1999;LWR;Merchant Navy Focus;High;MHe_Chongsheng;X
503457;Chief of Navy;Liu Huaqing;1955;1970;1999;LWR;Power Projection Doctrine;High;Liu Huaqing;X
503458;Head of Military Intelligence;Liu Huaqing;1949;1970;1999;LWR;Naval Intelligence Specialist;High;Liu Huaqing;X
503459;Chief of Navy;Lu Dongge;1952;1970;1999;SL;Open Seas Doctrine;High;LLu_Dongge;X
503460;Chief of Navy;Duan Zhongyu;1952;1970;1999;SL;Coastal Defence Doctrine;High;LDuan_Zhongyu;X
503461;Minister of Armament;Duan Zhongyu;1949;1970;1999;SL;Artillery Proponent;High;LDuan_Zhongyu;X
503462;Chief of Navy;Chen Shaokuan;1935;1959;1999;ML;Power Projection Doctrine;High;Chen Shaokuan;X
503463;Minister of Armament;Chen Shaokuan;1928;1954;1999;ML;Carrier Proponent;High;Chen Shaokuan;X
503464;Head of Military Intelligence;Chen Shaokuan;1928;1954;1999;ML;Naval Intelligence Specialist;High;Chen Shaokuan;X
503465;Chief of Navy;Wu Zhennan;1928;1947;1999;SC;Hydrographic Service Proponent;High;Wu Zhennan;X
503466;Chief of Navy;Lin Guogeng;1936;1947;1999;SC;Coastal Defence Doctrine;High;Lin Guogeng;X
503467;Chief of Navy;Sa Junyu;1936;1952;1999;SC;Base Control Doctrine;High;LSa_Junyu;X
503468;Chief of Navy;Zeng Yiding;1936;1953;1999;SC;Decisive Naval Battle Doctrine;High;L50365;X
503469;Chief of Navy;Zhou Xianzhang;1946;1962;1999;SC;Indirect Approach Doctrine;High;Zhou Xianzhang;X
503470;Chief of Navy;Sa Shijun;1948;1966;1999;SC;Riverine Warfare Doctrine;High;L50363;X
503471;Chief of Navy;Guo Fa'ao;1952;1970;1999;SC;Base Control Doctrine;High;Guo Faao;X
503472;Chief of Navy;Ma Jizhuang;1952;1970;1999;SC;Decisive Naval Battle Doctrine;High;Ma Jizhuang;X
503473;Chief of Navy;Wu Yulin;1928;1940;1999;PA;Coastal Defence Doctrine;High;Wu Yu-lin;X
503474;Chief of Navy;Wu Renli;1928;1944;1999;PA;Open Seas Doctrine;High;Wu Renli;X
503475;Chief of Navy;Wang Chuanjiong;1928;1949;1999;PA;Indirect Approach Doctrine;High;LWang_Chuanjiong;X
503476;Minister of Armament;Wang Chuanjiong;1928;1949;1999;PA;Submarine Proponent;High;LWang_Chuanjiong;X
503477;Chief of Navy;Tang Xiangming;1928;1950;1999;PA;Riverine Warfare Doctrine;High;CHITangxiang;X
503478;Chief of Navy;Zhou Shanpei;1936;1952;1999;PA;Merchant Navy Focus;High;MZhou_Shanpei;X
503479;Chief of Navy;She Zhenxing;1944;1954;1999;PA;Open Seas Doctrine;High;She Zhenxing;X
503480;Chief of Navy;Xing Qixin;1936;1957;1999;PA;Merchant Navy Focus;High;MXing_Qixin;X
503481;Minister of Armament;Xing Qixin;1936;1957;1999;PA;Battle Fleet Proponent;High;MXing_Qixin;X
503482;Chief of Navy;Cui Zhidao;1952;1970;1999;PA;Coastal Defence Doctrine;High;LCui_Zhidao;X
503483;Chief of Navy;Li Jichen;1924;1940;1999;FA;Riverine Warfare Doctrine;High;LLi_Jichen;X
503484;Chief of Navy;Aisin-Gioro Zaixun;1930;1949;1999;FA;Base Control Doctrine;High;Aisin-Gioro Zaixun;X
503485;Chief of Air Force;Xue Shaoqing;1947;1970;1999;LWR;Aviation Organizer;High;LXue_Shaoqing;X
503486;Chief of Air Force;Dun Xingyun;1950;1970;1999;LWR;Naval Aviation Doctrine;High;L76546;X
503487;Chief of Air Force;Li Dalei;1950;1970;1999;LWR;Air Defence Doctrine;High;LLi_Dalei;X
503488;Chief of Air Force;Yuan Bin;1955;1970;1999;LWR;Army Aviation Doctrine;High;L76370;X
503489;Chief of Air Force;Yang Youmei;1948;1970;1999;SL;Air Defence Doctrine;High;LYang_Youmei;X
503490;Chief of Air Force;Liu Jingyi;1941;1967;1999;ML;Vertical Envelopment Doctrine;High;MLiu_Jingyi;X
503491;Minister of Armament;Liu Jingyi;1936;1967;1999;ML;Air to Ground Proponent;High;MLiu_Jingyi;X
503492;Chief of Air Force;Shen Chonghui;1947;1970;1999;ML;Naval Aviation Doctrine;High;LShen_Chonghui;X
503493;Chief of Air Force;Liu Zhesheng;1950;1970;1999;ML;Air Superiority Doctrine;High;L50382;X
503494;Chief of Air Force;Shen Jinchen;1936;1947;1999;SC;Naval Aviation Doctrine;High;MShen_Jinchen;X
503495;Minister of Armament;Shen Jinchen;1936;1947;1999;SC;Air to Sea Proponent;High;MShen_Jinchen;X
503496;Chief of Air Force;Bao Bingchen;1926;1950;1999;SC;Army Aviation Doctrine;High;PaoPingchen;X
503497;Chief of Air Force;Shen Dexie;1936;1965;1999;SC;Air Superiority Doctrine;High;Chen Dexie;X
503498;Minister of Armament;Shen Dexie;1936;1965;1999;SC;Air Superiority Proponent;High;Chen Dexie;X
503499;Chief of Air Force;Ding Puming;1942;1965;1999;SC;Air Defence Doctrine;High;unknown;X
503500;Chief of Air Force;Liu Muqun;1948;1970;1999;SC;Army Aviation Doctrine;High;L50381;X
503501;Minister of Armament;Liu Muqun;1948;1970;1999;SC;Strategic Air Proponent;High;L50381;X
503502;Chief of Air Force;Cai Mingyong;1953;1970;1999;SC;Tactical Aviation Doctrine;High;Tsai Ming-Yong;X
503503;Chief of Air Force;Qin Guoyong;1918;1940;1999;PA;Army Aviation Doctrine;High;LQin_Guoyong;X
503504;Chief of Air Force;Wang Guanyi;1936;1957;1999;PA;Aviation Organizer;High;Wang Guanyi;X
505000;Head of State;Gao Gang;1954;1970;1999;ST;Ruthless Powermonger;High;MGao_Gang;X
