JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55842;Foreign Minister;Toyoda Teijiro;1941;1961;1961;PA;General Staffer;High;MJAPToyoda2;x
55843;Foreign Minister;Tani Masayuki;1942;1962;1962;SC;Apologetic Clerk;High;MJAPTani;x
55844;Minister of Armament;Hatta Yoshiaki;1936;1964;1999;PA;Resource Industrialist;High;MJAPHatta2;x
55845;Minister of Armament;Toyoda Teijiro;1943;1961;1961;PA;Steel Magnate;High;MJAPToyoda2;x
55846;Minister of Armament;Sakonji Seizo;1944;1964;1999;SC;Battle Fleet Proponent;High;MJAPSakonji2;x
55847;Minister of Armament;Yonai Mitsumasa;1940;1948;1948;ML;Battle Fleet Proponent;High;LJAPYonaiMitsumasa;x
55848;Foreign Minister;Kato Sotomatsu;1943;1964;1999;PA;The Cloak N Dagger Schemer;High;M5094;x
55849;Minister of Security;Ohara Naoshi;1939;1964;1999;SC;Silent Lawyer;High;MJAPOhara2;x
55850;Minister of Security;Omura Seiichi;1945;1964;1999;SC;Silent Lawyer;High;MJAPOmura;x
55851;Minister of Security;Ushio Shigenosuke;1936;1955;1955;PA;Crime Fighter;High;MJAPUshio;x
55852;Minister of Security;Kodama Hideo;1941;1947;1947;PA;Silent Lawyer;High;MJAPKodama2;x
55853;Minister of Security;Odachi Shigeo;1944;1955;1955;SC;Man of the People;High;MJAPOdachi2;x
55854;Head of Military Intelligence;Katayama Tetsu;1945;1964;1999;SD;Naval Intelligence Specialist;High;MJAPKatayama2;x
55855;Head of Military Intelligence;Ugaki Kazushige;1936;1956;1956;ML;Political Specialist;High;MJAPUgaki2;x
55856;Head of Military Intelligence;Takasu Shiro;1936;1949;1949;SC;Naval Intelligence Specialist;High;MJAPTakasu;x
55857;Head of Military Intelligence;Nomura Naokuni;1937;1964;1999;PA;Naval Intelligence Specialist;High;MJAPNomura;x
55858;Head of Military Intelligence;Oka Takazumi;1938;1964;1999;PA;Logistics Specialist;High;MJAPOka;x
55859;Head of Military Intelligence;Maeda Minoru;1940;1964;1999;PA;Technical Specialist;High;MJAPMaeda2;x
55860;Head of Military Intelligence;Suzuki Kantaro;1936;1948;1948;PA;Political Specialist;High;M5037;x
55861;Head of Military Intelligence;Honma Masaharu;1937;1964;1999;FA;Dismal Enigma;High;MJAPHonma;x
55862;Head of Military Intelligence;Higuchi Kiichiro;1938;1964;1999;FA;Logistics Specialist;High;MJAPHiguchi;x
55863;Head of Military Intelligence;Araki Sadao;1939;1964;1999;NS;Political Specialist;High;MJAPAraki;x
55864;Head of Military Intelligence;Tsuchihashi Yuitsu;1940;1964;1999;FA;Technical Specialist;High;MJAPTsuchihashi;x
55865;Head of Military Intelligence;Koiso Kuniaki;1943;1950;1950;FA;Industrial Specialist;High;MJAPKoiso;x
55866;Chief of Staff;Tashiro Kanichiro;1936;1937;1937;ML;School of Psychology;High;MJAPKanichiro2;x
55867;Chief of Staff;Tanigawa Kazuo;1945;1954;1954;SC;School of Mass Combat;High;MJAPTanigawa2;x
55868;Chief of Staff;Abe Nobuyuki;1941;1953;1953;PA;School of Fire Support;High;MJAPAbe3;x
55869;Chief of Staff;Sugiyama Hajime;1936;1950;1950;FA;School of Defence;High;MJAPSugiyama2;x
55870;Chief of Staff;Umezu Yoshijiro;1936;1949;1949;SL;School of Fire Support;High;MJAPUmezu;x
55871;Chief of Army;Imai Takeo;1955;1964;1999;ML;Elastic Defence Doctrine;High;MJAPImai;x
55872;Chief of Army;Tsuchihashi Yuitsu;1945;1961;1961;FA;Decisive Battle Doctrine;High;MJAPTsuchihashi;x
55873;Chief of Army;Fujioka Takeo;1941;1961;1961;PA;Elastic Defence Doctrine;High;MJAPFujioka;x
55874;Chief of Army;Aotsu Kikutaro;1945;1964;1999;PA;Guns and Butter Doctrine;High;M5164;x
55875;Chief of Army;Sugiyama Hajime;1936;1950;1950;FA;Decisive Battle Doctrine;High;MJAPSugiyama2;x
55876;Chief of Army;Umezu Yoshijiro;1936;1949;1949;SL;Guns and Butter Doctrine;High;MJAPUmezu;x
55877;Chief of Navy;Osumi Mineo;1936;1941;1941;FA;Decisive Naval Battle Doctrine;High;MJAPOsumi;x
55878;Chief of Navy;Yoshida Zengo;1941;1950;1950;ML;Indirect Approach Doctrine;High;MJAPYoshida3;x
55879;Chief of Navy;Shimada Shigetaro;1941;1948;1948;FA;Indirect Approach Doctrine;High;MJAPShimada2;x
55880;Chief of Navy;Toyoda Soemu;1942;1950;1950;PA;Decisive Naval Battle Doctrine;High;MJAPToyoda3;x
55881;Chief of Navy;Fujita Hisanori;1938;1939;1939;PA;Decisive Naval Battle Doctrine;High;MJAPFujita;x
55882;Chief of Navy;Nagano Osami;1937;1947;1947;PA;Power Projection Doctrine;High;MJAPNagano;x
55883;Chief of Navy;Oikawa Koshiro;1940;1948;1948;PA;Base Control Doctrine;High;MJAPOikawa;x
55884;Chief of Navy;Hori Teikichi;1941;1948;1948;ML;Power Projection Doctrine;High;MJAPHori3;x
55885;Chief of Navy;Koga Mineichi;1943;1950;1950;SC;Open Seas Doctrine;High;MJAPKoga;x
55886;Chief of Navy;Ozawa Jisaburo;1946;1951;1951;SC;Power Projection Doctrine;High;MJAPOzawa;x
55887;Chief of Air Force;Inoue Shigeyoshi;1936;1954;1954;SL;Naval Aviation Doctrine;High;MJAPInoue2;x
55888;Chief of Air Force;Tsukahara Nishizo;1941;1957;1957;SC;Air Superiority Doctrine;High;MJAPTsukahara;x
55889;Chief of Air Force;Oikawa Koshiro;1936;1948;1948;PA;Naval Aviation Doctrine;High;MJAPOikawa;x
55890;Chief of Air Force;Higashikuni Naruhiko;1937;1957;1957;FA;Carpet Bombing Doctrine;High;MJAPHigashikuni;x
55891;Chief of Air Force;Toyoda Teijiro;1938;1950;1950;PA;Naval Aviation Doctrine;High;MJAPToyoda2;x
55892;Chief of Air Force;Wada Misao;1945;1954;1954;SC;Vertical Envelopment Doctrine;High;M5182;x
55893;Chief of Air Force;Hata Shunroku;1936;1949;1949;PA;Army Aviation Doctrine;High;MJAPHata;x
55894;Chief of Air Force;Tojo Hideki;1938;1954;1954;FA;Army Aviation Doctrine;High;MJAPTojo;x
55895;Chief of Air Force;Anami Korechika;1942;1957;1957;FA;Vertical Envelopment Doctrine;High;MJAPAnami;x
55896;Chief of Air Force;Ushiroku Jun;1943;1954;1954;FA;Army Aviation Doctrine;High;MJAPUshiroku2;x
55897;Chief of Air Force;Sugawara Michio;1944;1958;1958;PA;Air Superiority Doctrine;High;MJAPSugawara;x
55898;Chief of Air Force;Kawabe Masakazu;1945;1956;1956;SC;Army Aviation Doctrine;High;MJAPKawabe;x
55899;Chief of Army;Araki Sadao;1936;1947;1947;NS;Decisive Battle Doctrine;High;MJAPAraki;x #KR 1.2 leftover
55900;Chief of Staff;Araki Sadao;1936;1947;1947;NS;School of Psychology;High;MJAPAraki;x
55901;Minister of Armament;Koiso Kuniaki;1936;1950;1950;FA;Air Superiority Proponent;High;MJAPKoiso;x
55902;Chief of Air Force;Obata Hideyoshi;1936;1964;1999;NS;Air Superiority Doctrine;High;MJAPObata;x
55903;Chief of Navy;Toyoda Teijiro;1942;1950;1950;PA;Base Control Doctrine;High;MJAPToyoda2;x
55904;Chief of Navy;Fushimi Hiroyasu;1936;1946;1946;FA;Power Projection Doctrine;High;MJAPFushimi;x
55905;Chief of Army;Nagata Tetsuzan;1940;1954;1954;FA;Decisive Battle Doctrine;High;MJAPNagata;x
55906;Minister of Security;Minobe Tatsukichi;1936;1948;1948;SL;Silent Lawyer;High;MJAPTatsukichi;x
55907;Minister of Security;Abe Yoshishige;1936;1964;1999;SL;Silent Lawyer;High;MJAPYoshishige;x
55908;Minister of Security;Kanamori Tokujiro;1936;1959;1959;ML;Silent Lawyer;High;MJAPKanamori;x
55909;Minister of Armament;Matsumoto Joji;1936;1954;1954;SC;Resource Industrialist;High;MJAPJoji;x
55910;Head of Military Intelligence;Sasaki Soichi;1936;1964;1999;SL;Technical Specialist;High;MJAPSasaki;x
55911;Chief of Army;Tada Hayao;1936;1948;1948;SC;Decisive Battle Doctrine;High;MJAPTada;x
55912;Chief of Staff;Tada Hayao;1936;1948;1948;SC;School of Psychology;High;MJAPTada;x
55913;Chief of Staff;Hata Shunroku;1937;1949;1949;PA;School of Fire Support;High;MJAPHata;x #Military chiefs
55914;Chief of Army;Hata Shunroku;1937;1949;1949;PA;Guns and Butter Doctrine;High;MJAPHata;x
55915;Chief of Staff;Ninomiya Harushige;1937;1945;1945;PA;School of Manoeuvre;High;MJAPNinomiya;x
55916;Chief of Army;Ninomiya Harushige;1937;1945;1945;PA;Guns and Butter Doctrine;High;MJAPNinomiya;x
55917;Chief of Staff;Nagata Tetsuzan;1940;1954;1954;FA;School of Mass Combat;High;MJAPNagata;x
55918;Chief of Army;Tashiro Kanichiro;1936;1937;1937;ML;Decisive Battle Doctrine;High;MJAPKanichiro2;x
55919;Chief of Staff;Yamashita Tomoyuki;1940;1955;1955;NS;School of Manoeuvre;High;MJAPYamashita;x
55920;Chief of Army;Yamashita Tomoyuki;1940;1955;1955;NS;Armoured Spearhead Doctrine;High;MJAPYamashita;x
55921;Chief of Staff;Kawabe Masakazu;1945;1956;1956;SC;School of Defence;High;MJAPKawabe;x
55922;Chief of Army;Kawabe Masakazu;1945;1956;1956;SC;Elastic Defence Doctrine;High;MJAPKawabe;x
55923;Chief of Navy;Yonai Mitsumasa;1936;1945;1945;ML;Open Seas Doctrine;High;LJAPYonaiMitsumasa;x
55924;Chief of Navy;Kobayashi Seizo;1936;1942;1942;SC;Decisive Naval Battle Doctrine;High;MJAPKobayashi2;x
55925;Chief of Navy;Takahashi Sankichi;1938;1947;1947;FA;Power Projection Doctrine;High;MJAPTakahashi;x
55926;Chief of Navy;Inoue Shigeyoshi;1946;1954;1954;SL;Power Projection Doctrine;High;MJAPInoue2;x
55927;Chief of Navy;Hyakutake Gengo;1939;1947;1947;SC;Open Seas Doctrine;High;MJAPHyakutake;x
55928;Chief of Navy;Yamamoto Isoroku;1940;1949;1949;ML;Power Projection Doctrine;High;LJAPYamamotoIsoroku2;x
55929;Head of Military Intelligence;Arisue Seizo;1945;1964;1999;SC;Political Specialist;High;MJAPArisue;x #Military chiefs, Post-1945
55930;Head of Military Intelligence;Hoshina Zenshiro;1945;1964;1999;SC;Naval Intelligence Specialist;High;MJAPHoshina;x
55931;Head of Military Intelligence;Ishiwara Kanji;1945;1949;1949;PA;Dismal Enigma;High;MJAPIshiwara;x
55932;Head of Military Intelligence;Tsuji Masanobu;1945;1964;1999;FA;Dismal Enigma;High;MJAPTsuji;x
55933;Head of Military Intelligence;Sugita Ichiji;1952;1964;1999;SC;Political Specialist;High;MJAPSugita;x
55934;Head of Military Intelligence;Hori Eizo;1958;1964;1999;SC;Logistics Specialist;High;MJAPHori;x
55935;Chief of Staff;Anami Korechika;1945;1957;1957;FA;School of Psychology;High;MJAPAnami;x
55936;Chief of Army;Anami Korechika;1945;1957;1957;FA;Static Defence Doctrine;High;MJAPAnami;x
55937;Chief of Staff;Imamura Hitoshi;1945;1956;1956;SC;School of Defence;High;MJAPImamura;x
55938;Chief of Army;Imamura Hitoshi;1945;1956;1956;SC;Guns and Butter Doctrine;High;MJAPImamura;x
55939;Chief of Staff;Shimomura Sadamu;1947;1957;1957;SC;School of Defence;High;MJAPShimomura2;x
55940;Chief of Army;Shimomura Sadamu;1947;1957;1957;SC;Static Defence Doctrine;High;MJAPShimomura2;x
55941;Chief of Staff;Kawabe Torashiro;1949;1960;1960;SC;School of Fire Support;High;MJAPKawabe2;x
55942;Chief of Army;Kawabe Torashiro;1949;1960;1960;SC;Static Defence Doctrine;High;MJAPKawabe2;x
55943;Chief of Staff;Muto Akira;1950;1962;1962;PA;School of Defence;High;MJAPMuto;x
55944;Chief of Army;Muto Akira;1950;1962;1962;PA;Decisive Battle Doctrine;High;MJAPMuto;x
55945;Chief of Staff;Kuribayashi Tadamichi;1951;1961;1961;SC;School of Psychology;High;MJAPKuribayashi;x
55946;Chief of Army;Kuribayashi Tadamichi;1951;1961;1961;SC;Elastic Defence Doctrine;High;MJAPKuribayashi;x
55947;Chief of Staff;Imai Takeo;1955;1964;1999;ML;School of Manoeuvre;High;MJAPImai;x
55948;Chief of Staff;Hattori Takushiro;1958;1964;1999;FA;School of Defence;High;MJAPHattori;x
55949;Chief of Army;Hattori Takushiro;1958;1964;1999;FA;Decisive Battle Doctrine;High;MJAPHattori;x
55950;Chief of Staff;Yahara Hiromichi;1959;1964;1999;SC;School of Fire Support;High;MJAPYahara;x
55951;Chief of Army;Yahara Hiromichi;1959;1964;1999;SC;Elastic Defence Doctrine;High;MJAPYahara;x
55952;Chief of Staff;Sugiyama Shigeru;1962;1964;1999;SC;School of Manoeuvre;High;MJAPShigeru;x
55953;Chief of Army;Sugiyama Shigeru;1962;1964;1999;SC;Armoured Spearhead Doctrine;High;MJAPShigeru;x
55954;Chief of Air Force;Yasuda Takeo;1945;1959;1959;NS;Naval Aviation Doctrine;High;MJAPYasuda;x
55955;Chief of Air Force;Takasu Shiro;1946;1949;1949;SC;Naval Aviation Doctrine;High;MJAPTakasu;x
55956;Chief of Air Force;Teramoto Kumaichi;1948;1959;1959;SC;Army Aviation Doctrine;High;MJAPTeramoto;x
55957;Chief of Air Force;Tsukada Rikichi;1949;1962;1962;SC;Vertical Envelopment Doctrine;High;MJAPRikichi;x
55958;Chief of Air Force;Shimoyama Takuma;1951;1957;1957;SC;Air Superiority Doctrine;High;MJAPShimoyama;x
55959;Chief of Air Force;Tanigawa Kazuo;1953;1954;1954;SC;Army Aviation Doctrine;High;MJAPTanigawa2;x
55960;Chief of Air Force;Kozono Yasuna;1956;1960;1960;FA;Air Superiority Doctrine;High;MJAPKozono;x
55961;Chief of Air Force;Sanagi Sadamu;1958;1964;1999;SC;Naval Aviation Doctrine;High;MJAPSanagi;x
55962;Chief of Air Force;Genda Minoru;1960;1964;1999;SC;Air Superiority Doctrine;High;MJAPGenda;x
55963;Chief of Navy;Sawamoto Yorio;1945;1951;1951;SC;Base Control Doctrine;High;MJAPSawamoto;x
55964;Chief of Navy;Shimizu Mitsumi;1945;1953;1953;SC;Indirect Approach Doctrine;High;MJAPShimizu;x
55965;Chief of Navy;Fukudome Shigeru;1950;1956;1956;PA;Decisive Naval Battle Doctrine;High;MJAPFukudome;x
55966;Chief of Navy;Yamaguchi Tamon;1950;1957;1957;SC;Power Projection Doctrine;High;MJAPYamaguchi;x
55967;Chief of Navy;Tanaka Raizo;1951;1957;1957;SC;Indirect Approach Doctrine;High;MJAPTanaka;x
55968;Chief of Navy;Matsuda Chiaki;1954;1961;1961;PA;Decisive Naval Battle Doctrine;High;MJAPMatsuda;x
55969;Chief of Navy;Tomioka Sadatoshi;1956;1964;1999;SC;Power Projection Doctrine;High;MJAPTomioka;x
55970;Chief of Navy;Yamamoto Chikao;1957;1961;1961;SC;Power Projection Doctrine;High;MJAPYamachi;x
55971;Chief of Navy;Yokoyama Ichiro;1958;1964;1999;SC;Base Control Doctrine;High;MJAPYokoyama2;x
55972;Chief of Navy;Kami Shigenori;1960;1964;1999;NS;Decisive Naval Battle Doctrine;High;MJAPKami;x
55973;Head of State;H.I.H. Hirohito;1921;1927;1927;PA;Stern Imperialist;High;MJAPCrownPrinceHirohito;X #HoS and HoG replacements
55974;Head of State;H.I.M. Hirohito;1936;1964;1999;PA;Hirohito;High;MJAPHirohito;X
55975;Head of State;H.I.M. Hirohito;1936;1964;1999;SD;Hirohito;High;MJAPHirohito;X
55976;Head of State;Takamatsu Nobuhito;1936;1964;1999;LE;Weary Stiffneck;High;MJAPTakamatsu;x
55977;Head of State;Chichibu Yasuhito;1936;1964;1999;NS;Sessho;High;MJAPChichibu;x
55978;Head of State;H.I.M. Yasuhito;1936;1964;1999;NS;Go-Meiji;High;MJAPChichibu;x
55979;Head of State;H.I.M. Akihito;1953;1964;1999;PA;Popular Figurehead;High;MJAPAkihito;x
55980;Head of State;H.I.M. Akihito;1953;1964;1999;SC;Popular Figurehead;High;MJAPAkihito;x
55981;Head of State;H.I.M. Akihito;1953;1964;1999;SD;Popular Figurehead;High;MJAPAkihito;x
55982;Head of State;Kawakami Hajime;1936;1946;1946;LE;Popular Figurehead;High;MJAPKawakami;x
55983;Head of State;Hasegawa Nyozekan;1936;1964;1999;LE;Barking Buffoon;High;MJAPHasegawa;x
55984;Head of Government;Tanaka Giichi;1924;1935;1935;FA;Old General;High;MJAPTanaka3;x
55985;Head of Government;Wakatsuki Reijiro;1925;1935;1935;ML;Happy Amateur;High;MJAPWakatsuki;x
55986;Head of Government;Mitsuchi Chuzo;1937;1948;1948;SC;Silent Workhorse;High;MJAPMitsuchi;x
55987;Head of Government;Yoshizawa Kenkichi;1941;1964;1999;SC;Corporate Suit;High;MJAPYoshizawa;x
55988;Head of Government;Hatoyama Ichiro;1945;1959;1959;SC;Flamboyant Tough Guy;High;MJAPHatoyama2;x
55989;Head of Government;Ugaki Kazushige;1941;1956;1956;ML;Old General;High;MJAPUgaki2;x
55990;Head of Government;Miki Bukichi;1945;1956;1956;ML;Backroom Backstabber;High;MJAPMiki;x
55991;Head of Government;Miyamoto Kenji;1945;1964;1999;LWR;Ambitious Union Boss;High;MJAPMiyamoto2;x
55992;Head of Government;Nishio Suehiro;1945;1964;1999;LE;Flamboyant Tough Guy;High;MJAPNishio;x
55993;Head of Government;Asanuma Inejiro;1945;1964;1999;ST;Totalist Chairman;High;MJAPAsanuma2;x
55994;Head of Government;Kaya Okinori;1945;1964;1999;NS;Silent Workhorse;High;MJAPKaya;x
55995;Head of Government;Nakano Seigo;1945;1964;1999;NS;Ambitious Union Boss;High;MJAPNakano;x
55996;Head of Government;Kishi Nobusuke;1945;1964;1999;NS;Backroom Backstabber;High;MJAPKishi2;x
55997;Head of Government;Shiono Suehiko;1941;1949;1949;FA;Corporate Suit;High;MJAPShiono;x
55998;Head of Government;Kanemitsu Tsuneo;1941;1955;1955;PA;Happy Amateur;High;MJAPKanemitsu;x
55999;Head of Government;Maeda Yonezo;1945;1954;1954;PA;Silent Workhorse;High;MJAPMaeda;x
5001;Head of Government;Wada Hiroo;1948;1964;1999;LWR;Silent Workhorse;High;MJAPWada;x #Socialist, Post-1948
5002;Foreign Minister;Wada Hiroo;1948;1964;1999;LWR;Biased Intellectual;High;MJAPWada;x
5003;Minister of Armament;Yonekubo Mitsusuke;1948;1951;1951;SD;Battle Fleet Proponent;High;MJAPYonekubo;x
5004;Minister of Security;Hirokawa Kozen;1948;1964;1999;SD;Back Stabber;High;MJAPHirokawa;x
5005;Head of Military Intelligence;Nishimura Eiichi;1948;1964;1999;SD;Political Specialist;High;MJAPNishimura;x
5006;Head of Government;Hirokawa Kozen;1952;1964;1999;SD;Backroom Backstabber;High;MJAPHirokawa;x
5007;Head of Government;Eda Saburo;1960;1964;1999;SD;Flamboyant Tough Guy;High;MJAPEda;x
5008;Foreign Minister;Nishimura Eiichi;1952;1964;1999;SD;Apologetic Clerk;High;MJAPNishimura;x
5009;Foreign Minister;Katsumata Seiichi;1956;1964;1999;LWR;Ideological Crusader;High;MJAPKatsumata;x
5010;Minister of Armament;Mizuno Shigeo;1948;1964;1999;ST;Administrative Genius;High;MJAPMizuno2;x
5011;Minister of Armament;Wada Hiroo;1948;1964;1999;LWR;Planned Economy Proponent;High;MJAPWada;x
5012;Minister of Armament;Ninagawa Torazo;1948;1964;1999;LWR;Mixed Economy;High;MJAPNinagawa;x
5013;Minister of Armament;Sasaki Kozo;1948;1964;1999;LWR;Resource Industrialist;High;MJAPSasaki2;x
5014;Minister of Armament;Wakimura Yoshitaro;1948;1964;1999;SD;Theoretical Scientist;High;MJAPWakimura;x
5015;Minister of Armament;Katsumata Seiichi;1952;1964;1999;LWR;Laissez-Faire Capitalist;High;MJAPKatsumata;x
5016;Minister of Armament;Yokoyama Toshiaki;1954;1964;1999;LWR;Resource Industrialist;High;MJAPYokoyama;x
5017;Minister of Armament;Eda Saburo;1956;1964;1999;SD;Resource Industrialist;High;MJAPEda;x
5518;Minister of Security;Miwa Juso;1948;1956;1956;ST;Media Magnate;High;MJAPMiwa;x
5019;Minister of Security;Takayama Yoshizo;1948;1964;1999;SD;Compassionate Gentleman;High;MJAPTakayama;x
5020;Minister of Security;Kikuchi Yonosuke;1948;1964;1999;SD;Silent Lawyer;High;MJAPKikuchi;x
5021;Minister of Security;Sakisaka Itsuro;1952;1964;1999;LWR;Prince of Terror;High;MJAPSakisaka;x
5022;Minister of Security;Eda Saburo;1956;1964;1999;SD;Crime Fighter;High;MJAPEda;x
5023;Head of Military Intelligence;Narita Tomomi;1952;1964;1999;SD;Technical Specialist;High;MJAPNarita;x
5024;Head of Military Intelligence;Iwai Akira;1954;1964;1999;LWR;Industrial Specialist;High;MJAPIwai;x
5025;Head of Military Intelligence;Morito Tatsuo;1955;1964;1999;SD;Technical Specialist;High;MJAPMorito;x
5026;Head of Government;Ishibashi Tanzan;1952;1964;1999;ML;Silent Workhorse;High;MJAPIshibashi2;x #Market Liberal, Post-1948
5027;Foreign Minister;Okazaki Katsuo;1948;1964;1999;ML;Biased Intellectual;High;MJAPOkazaki;x
5028;Minister of Armament;Nakamura Sannojo;1948;1964;1999;ML;Resource Industrialist;High;MJAPNakasan;x
5029;Minister of Security;Narahashi Wataru;1948;1964;1999;ML;Back Stabber;High;MJAPNarahashi;x
5030;Head of Military Intelligence;Maeda Tamon;1948;1962;1962;ML;Political Specialist;High;MJAPTamon;x
5031;Head of Government;Matsumura Kenzo;1957;1964;1999;ML;Silent Workhorse;High;MJAPMatsumura;x
5032;Foreign Minister;Tomabechi Gizo;1948;1959;1959;ML;Iron Fisted Brute;High;MJAPTomabechi;x
5033;Foreign Minister;Kawai Tatsuo;1952;1964;1999;ML;The Cloak N Dagger Schemer;High;MJAPKawai;x
5034;Foreign Minister;Utsunomiya Tokuma;1956;1964;1999;ML;Ideological Crusader;High;MJAPUtsunomiya;x
5035;Foreign Minister;Miki Takeo;1956;1964;1999;ML;Ideological Crusader;High;MJAPTakeo;x
5036;Foreign Minister;Matsuura Shutaro;1960;1964;1999;ML;Great Compromiser;High;MJAPMatsuura;x
5037;Minister of Armament;Shibusawa Keizo;1950;1963;1963;ML;Industrialiser;High;MJAPShibusawa;x
5038;Minister of Armament;Usami Makoto;1952;1964;1999;ML;Theoretical Scientist;High;M5227;x
5039;Minister of Armament;Kitamura Tokutaro;1953;1964;1999;ML;Resource Industrialist;High;MJAPKitamura;x
5040;Minister of Armament;Fukuda Takeo;1958;1964;1999;ML;Laissez-Faire Capitalist;High;MJAPFukuda;x
5041;Minister of Armament;Matsuura Shutaro;1960;1964;1999;ML;Resource Industrialist;High;MJAPMatsuura;x
5042;Minister of Armament;Tanaka Kakuei;1962;1964;1999;ML;Corrupt Kleptocrat;High;M5225;x
5043;Minister of Security;Iwata Chuzo;1948;1964;1999;ML;Crime Fighter;High;MJAPIwata;x
5044;Minister of Security;Kiyose Ichiro;1950;1964;1999;ML;Silent Lawyer;High;MJAPKiyose;x
5045;Minister of Security;Nakamura Umekichi;1954;1964;1999;ML;Silent Lawyer;High;M5231;x
5046;Minister of Security;Miki Takeo;1956;1964;1999;ML;Compassionate Gentleman;High;MJAPTakeo;x
5047;Minister of Security;Matsuda Takechiyo;1959;1964;1999;ML;Man of the People;High;MJAPMatsutake;x
5048;Head of Military Intelligence;Nakamura Umekichi;1952;1964;1999;ML;Political Specialist;High;M5231;x
5049;Head of Military Intelligence;Ikeda Masanosuke;1954;1964;1999;ML;Technical Specialist;High;MJAPIkeda;x
5050;Head of Military Intelligence;Ozawa Saeki;1956;1964;1999;ML;Industrial Specialist;High;MJAPOzawa2;x
5051;Head of Government;Ashida Hitoshi;1948;1959;1959;SC;Naive Optimist;High;MJAPAshida2;x #Social Conservative, Post-1948
5052;Foreign Minister;Nomura Kichisaburo;1948;1964;1999;SC;General Staffer;High;MJAPNomura2;x
5053;Minister of Armament;Mukai Tadaharu;1948;1964;1999;SC;Laissez-Faire Capitalist;High;M5221;x
5054;Minister of Security;Yamazaki Takeshi;1948;1957;1957;SC;Back Stabber;High;MJAPYamatake;x
5055;Head of Military Intelligence;Shirasu Jiro;1948;1964;1999;SC;Dismal Enigma;High;MJAPShirasu;x
5056;Head of Government;Inukai Takeru;1953;1964;1999;SC;Happy Amateur;High;MJAPInukai;x
5057;Head of Government;Kono Ichiro;1957;1964;1999;SC;Corporate Suit;High;MJAPKono;x
5058;Foreign Minister;Kubota Kanichiro;1950;1964;1999;SC;Iron Fisted Brute;High;M5215;x
5059;Foreign Minister;Hori Shigeru;1951;1964;1999;SC;Iron Fisted Brute;High;MJAPHori2;x
5060;Foreign Minister;Iguchi Sadao;1953;1964;1999;SC;Apologetic Clerk;High;MJAPIguchi;x
5061;Foreign Minister;Kosaka Zentaro;1956;1964;1999;SC;Biased Intellectual;High;MJAPKosaka;x
5062;Foreign Minister;Ohira Masayoshi;1960;1964;1999;SC;The Cloak N Dagger Schemer;High;M5219;x
5063;Minister of Armament;Kono Ichiro;1950;1964;1999;SC;Laissez-Faire Capitalist;High;MJAPKono;x
5064;Minister of Armament;Oya Shinzo;1953;1964;1999;SC;Industrial Chemist;High;MJAPOya;x
5065;Minister of Armament;Ikeda Hayato;1954;1964;1999;SC;Administrative Genius;High;M5213;x
5066;Minister of Armament;Mizuta Mikio;1958;1964;1999;SC;Laissez-Faire Capitalist;High;M5224;x
5067;Minister of Armament;Ichimada Hisato;1959;1964;1999;SC;Bank President;High;M5222;x
5068;Minister of Armament;Ueki Koshiro;1960;1964;1999;SC;Laissez-Faire Capitalist;High;M5232;x
5069;Minister of Security;Ono Banboku;1954;1964;1999;SC;Man of the People;High;MJAPOno;x
5070;Minister of Security;Hanamura Shiro;1954;1963;1963;SC;Prince of Terror;High;M5233;x
5071;Minister of Security;Saito Noboru;1958;1964;1999;SC;Crime Fighter;High;MJAPNoboru;x
5072;Minister of Security;Ueki Koshiro;1960;1964;1999;SC;Silent Lawyer;High;M5232;x
5073;Minister of Security;Nakasone Yasuhiro;1961;1964;1999;SC;Man of the People;High;MJAPNakasone;x
5074;Head of Military Intelligence;Kosaka Zentaro;1952;1964;1999;SC;Industrial Specialist;High;MJAPKosaka;x
5075;Head of Military Intelligence;Ohira Masayoshi;1955;1964;1999;SC;Political Specialist;High;M5219;x
5076;Head of Military Intelligence;Nakasone Yasuhiro;1958;1964;1999;SC;Technical Specialist;High;MJAPNakasone;x
5077;Head of Government;Oasa Tadao;1948;1957;1957;PA;Corporate Suit;High;MJAPOoasa;x #Authoritarian Democrat, Post-1948
5078;Foreign Minister;Kurusu Saburo;1948;1954;1954;PA;Biased Intellectual;High;M5059;x
5079;Minister of Armament;Ishii Mitsujiro;1948;1964;1999;PA;Laissez-Faire Capitalist;High;MJAPMitsujiro;x
5080;Minister of Security;Ogata Taketora;1948;1956;1956;PA;Media Magnate;High;MJAPOgata;x
5081;Head of Military Intelligence;Sakomizu Hisatsune;1948;1964;1999;PA;Industrial Specialist;High;MJAPSakomizu;x
5082;Head of Government;Ogata Taketora;1953;1956;1956;PA;Smiling Oilman;High;MJAPOgata;x
5083;Head of Government;Ishii Mitsujiro;1956;1964;1999;PA;Silent Workhorse;High;MJAPMitsujiro;x
5084;Foreign Minister;Matsumoto Shunichi;1952;1964;1999;PA;The Cloak N Dagger Schemer;High;MJAPShunichi;x
5085;Foreign Minister;Fujiyama Aiichiro;1957;1964;1999;PA;Apologetic Clerk;High;MJAPFujiyama;x
5086;Minister of Armament;Kawashima Shojiro;1952;1964;1999;PA;Construction Magnate;High;MJAPKawashima;x
5087;Minister of Armament;Chiba Saburo;1954;1964;1999;PA;Resource Industrialist;High;MJAPChiba;x
