POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
13515;Minister of Armament;Kazimierz Bartel;1936;1957;1999;SL;Theoretical Scientist;Medium;M13105;X
13516;Head of Military Intelligence;Kazimierz Bartel;1936;1957;1999;SL;Industrial Specialist;Medium;M13105;X
13517;Minister of Armament;Zygmunt Biluchowski;1936;1962;1999;ML;Oil Baron;High;MZygmunt_Biluchowski;X
13518;Minister of Armament;Tadeusz Sedzimir;1936;1970;1999;ML;Steel Magnate;High;MTadeusz_Sendzimir;X
13519;Minister of Armament;Eugeniusz Kwiatkowski;1936;1970;1999;SC;Administrative Genius;High;M13052;X
13520;Minister of Security;Zygmunt Zulawski;1936;1950;1999;SD;Back Stabber;Medium;kaiserreich zzulawski;X
13521;Minister of Security;Marian Dabrowski;1936;1959;1999;SC;Media Magnate;High;MMarian_Dabrowski;X
13522;Head of Military Intelligence;Jan Mazurkiewicz;1936;1970;1999;SC;Counterintelligence Specialist;High;LJan_Mazurkiewicz;X
13523;Chief of Staff;Marian Porwit;1938;1970;1999;SD;School of Psychology;High;L8102;X
13524;Minister of Armament;Marian Porwit;1930;1970;1999;SD;Infantry Proponent;High;L8102;X
13525;Head of Military Intelligence;Marian Porwit;1930;1970;1999;SD;Logistics Specialist;High;L8102;X
13526;Chief of Staff;Tadeusz Kutrzeba;1927;1947;1999;ML;School of Manoeuvre;Very High;L8070;X
13527;Chief of Army;Tadeusz Kutrzeba;1927;1947;1999;ML;Elastic Defence Doctrine;Very High;L8070;X
13528;Minister of Armament;Tadeusz Kutrzeba;1927;1947;1999;ML;Reformer;Very High;L8070;X
13529;Chief of Staff;Roman Odzierzynski;1943;1970;1999;SC;School of Fire Support;High;L8084;X
13530;Chief of Air Force;Roman Odzierzynski;1938;1970;1999;SC;Air Defence Doctrine;High;L8084;X
13531;Chief of Army;Ottokar Brzoza-Brzezina;1922;1958;1999;SL;Innovative Artillery Officer;High;kaiserreich ottokar brzoza-brzezina;X
13532;Minister of Armament;Ottokar Brzoza-Brzezina;1922;1958;1999;SL;Artillery Proponent;High;kaiserreich ottokar brzoza-brzezina;X
13533;Head of Military Intelligence;Ottokar Brzoza-Brzezina;1922;1958;1999;SL;Industrial Specialist;High;kaiserreich ottokar brzoza-brzezina;X
13534;Chief of Army;Michal Rola-Zymierski;1926;1970;1999;ML;Guns and Butter Doctrine;High;L8113;X
13535;Head of Government;Michal Rola-Zymierski;1945;1970;1999;ML;Reformist Soldierhog;High;L8113;X
13536;Minister of Armament;Michal Rola-Zymierski;1926;1970;1999;ML;Military Entrepreneur;Medium;L8113;X
13537;Chief of Army;Aleksander Litwinowicz;1936;1948;1999;PA;Guns and Butter Doctrine;High;kaiserreich alitwinowicz;X
13538;Minister of Armament;Aleksander Litwinowicz;1936;1948;1999;PA;Military Entrepreneur;High;kaiserreich alitwinowicz;X
13539;Head of Military Intelligence;Aleksander Litwinowicz;1936;1948;1999;PA;Industrial Specialist;High;kaiserreich alitwinowicz;X
13540;Chief of Army;Roman Abraham;1937;1961;1999;PA;Old Cavalry General;High;L8000;X
13541;Chief of Army;Józef Haller von Hallenburg;1920;1960;1999;FA;Decisive Battle Doctrine;High;hallenburg;X
13542;Chief of Navy;Antoni Halka-Ledóchowski;1945;1970;1999;SD;Merchant Navy Focus;High;LAntoni_Halka-Ledochowski;X
13543;Chief of Navy;Karol Korytowski;1936;1967;1999;SC;Decisive Naval Battle Doctrine;High;L8170;X
13544;Chief of Navy;Tadeusz Morgenstern-Podjazd;1939;1970;1999;SC;Open Seas Doctrine;High;kaiserreich tmorgensternpodjazd;X
13545;Head of Military Intelligence;Tadeusz Morgenstern-Podjazd;1939;1970;1999;SC;Naval Intelligence Specialist;High;kaiserreich tmorgensternpodjazd;X
13546;Chief of Air Force;Stanislaw Jasinski;1932;1964;1999;ML;Aviation Organizer;High;LStanislaw_Jasinski;X
13547;Chief of Air Force;Wladyslaw Torun;1936;1964;1999;SC;Army Aviation Doctrine;High;LWladyslaw_Torun;X
13548;Minister of Armament;Wladyslaw Torun;1936;1964;1999;SC;Air to Ground Proponent;High;LWladyslaw_Torun;X
13549;Chief of Air Force;Karol Trzasko-Durski;1936;1970;1999;PA;Naval Aviation Doctrine;High;kaiserreich ktrzaskodurski;X
13550;Minister of Armament;Karol Trzasko-Durski;1936;1970;1999;PA;Air to Sea Proponent;High;kaiserreich ktrzaskodurski;X
13551;Head of Military Intelligence;Karol Trzasko-Durski;1940;1970;1999;PA;Naval Intelligence Specialist;High;kaiserreich ktrzaskodurski;X
13552;Chief of Air Force;Aleksander Serednicki;1922;1956;1999;PA;Carpet Bombing Doctrine;High;LAleksander_Serednicki;X
13553;Chief of Air Force;Stefan Stec;1936;1964;1999;PA;Air Superiority Doctrine;High;LStefan_Stanislaw_Stec;X
13554;Minister of Armament;Stefan Stec;1936;1964;1999;PA;Air Superiority Proponent;High;LStefan_Stanislaw_Stec;X
