VIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
57254;Minister of Armament;Paul-Louis Weiller;1936;1970;1999;SC;Administrative Genius;High;MPaul-Louis_Weiller;X
57255;Minister of Armament;Yves Bouthillier;1940;1970;1999;FA;Corrupt Kleptocrat;High;MYves_Bouthillier;X
57256;Chief of Air Force;André Hartemann;1945;1970;1999;ML;Tactical Aviation Doctrine;High;L24197;X
57257;Chief of Air Force;René Fonck;1936;1944;1999;PA;Air Superiority Doctrine;High;VICFon;X
57258;Chief of Air Force;Lionel-Max Chassin;1949;1961;1999;PA;Tactical Aviation Doctrine;High;LLionel-Max_Chassin;X
57259;Chief of Air Force;Jacques Le Groignec;1950;1970;1999;PA;Air Superiority Doctrine;High;LJacques_LeGroignec;X
57260;Chief of Air Force;Georges Pelletier-Doisy;1939;1953;1999;FA;Naval Aviation Doctrine;High;LGeorges_Pelletier-Doisy;X
57261;Head of State;Henri Mordacq;1936;1964;1999;SC;Resigned Generalissimo;High;VICMor;X
57262;Head of State;Joachim Prince de Murat;1936;1964;1999;SC;Benevolent Gentleman;High;VICMur;X
57263;Head of Government;André Tardieu;1929;1945;1999;SC;Corporate Suit;High;MAndre_Tardieu;X
57264;Minister of Armament;André Tardieu;1929;1945;1999;SC;Mixed Economy;High;MAndre_Tardieu;X
57265;Minister of Armament;Eugène Freyssinet;1936;1962;1999;ML;Construction Magnate;High;MEugene_Freyssinet;X
57266;Minister of Armament;Edme Campenon;1936;1962;1999;PA;Construction Magnate;High;MEdme_Campenon;X
57267;Minister of Security;Louis Rollin;1930;1951;1999;ML;Man of the People;High;MLouis_Rollin;X
57268;Chief of Navy;Louis Rollin;1930;1951;1999;ML;Merchant Navy Focus;High;MLouis_Rollin;X
57269;Head of State;S.M.R. Alphonse I;1936;1964;1999;SC;Insignificant Layman;High;kaiserreich afonsoxiii;x
57270;Head of State;S.M.R. Jacques II;1937;1964;1999;SC;Powerhungry Demagogue;High;Jaime;x
