UCS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
99260;Head of Military Intelligence;Li Yuxi;1949;1970;1999;SC;Naval Intelligence Specialist;High;Li Yuxi;X
99261;Chief of Navy;Zhou Fei;1950;1970;1999;PA;Coastal Defence Doctrine;High;LZhou_Fei;X
99262;Chief of Air Force;Liu Zishuang;1948;1970;1999;LWR;Air Defence Doctrine;High;LLiu_Zishuang;X
99263;Chief of Air Force;An Zhimin;1948;1970;1999;LWR;Air Superiority Doctrine;High;L76361;X
99264;Chief of Air Force;Long Wenguang;1936;1970;1999;SL;Army Aviation Doctrine;High;LLong_Wenguang;X
99265;Chief of Air Force;Jiang Kui;1932;1970;1999;ML;Aviation Organizer;High;LJiang_Kui;X
99266;Chief of Air Force;Chen Li;1943;1970;1999;ML;Air Defence Doctrine;High;LChen_Li;X
99267;Foreign Minister;Chen Li;1936;1970;1999;ML;The Cloak N Dagger Schemer;High;LChen_Li;X
99268;Chief of Air Force;Zheng Shaoyu;1943;1970;1999;ML;Air Superiority Doctrine;High;LZheng_Shaoyu;X
99269;Chief of Air Force;Jiang Shaoyu;1947;1970;1999;SC;Army Aviation Doctrine;High;LJiang_Shaoyu;X
99270;Chief of Air Force;Xing Haifan;1948;1970;1999;SC;Air Superiority Doctrine;High;LXing_Haifan;X
99271;Chief of Air Force;Li Gengu;1936;1955;1999;PA;Air Defence Doctrine;High;LLi_Gengu;X
