SPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
11323;Chief of Air Force;Vicente Uribe Galdeano;1938;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M11114;x
11324;Chief of Air Force;Juan López Sánchez;1936;1964;1999;LE;Army Aviation Doctrine;Medium;M11119;x
11325;Chief of Air Force;Juan Peiró Belis;1937;1964;1999;LE;Carpet Bombing Doctrine;Medium;M11123;x
11326;Chief of Air Force;Ventura Gassol Rovíra;1939;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M11326;x
11327;Chief of Air Force;Mariano Vázquez Rodríguez;1943;1964;1999;LE;Air Superiority Doctrine;Very High;M11206;x
11329;Chief of Air Force;Trifon Gómez San José;1937;1964;1999;LWR;Vertical Envelopment Doctrine;High;M11329;x
11331;Chief of Air Force;Indalecio Prieto Tuero;1943;1964;1999;LWR;Army Aviation Doctrine;High;M11331;x
11332;Chief of Air Force;Felipe Díaz Sandino;1936;1964;1999;SD;Army Aviation Doctrine;Medium;M11332;x
11333;Chief of Air Force;Lluis Companys i Jover;1937;1964;1999;SD;Naval Aviation Doctrine;Medium;M11310;x
11334;Chief of Air Force;Ángel Camacho Benítez;1938;1964;1999;SD;Air Superiority Doctrine;Medium;M11334;x
11335;Chief of Air Force;Julio Just Gímeno;1941;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M11335;x
11336;Chief of Air Force;María Lejarraga de Martínez;1943;1964;1999;SD;Carpet Bombing Doctrine;Medium;M11336;x
11343;Chief of Air Force;Emilio Herrera;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M11145;x
11344;Chief of Air Force;Diego Hidalgo Dúran;1938;1964;1999;PA;Air Superiority Doctrine;High;M11101;x
11345;Head of Government;Juan García Oliver;1936;1964;1999;LWR;Ambitious Union Boss;High;kap2lm4;x
11346;Foreign Minister;Ángel Pestaña;1936;1964;1999;LWR;Apologetic Clerk;Low;M11120;x
11347;Minister of Armament;Joan Peiró;1936;1964;1999;LWR;Infantry Proponent;Medium;kaiserreich_SPR_Peiro;x
11348;Minister of Security;Joaquín Ascaso Budriá;1936;1964;1999;LWR;Silent Lawyer;High;M11061;x
11349;Head of Military Intelligence;Francisco Ascaso Budría;1936;1964;1999;LWR;Technical Specialist;Medium;M11243;x
11350;Chief of Army;Gregorio Jover;1936;1964;1999;LWR;Static Defence Doctrine;Very High;kaiserreich_SPR_Jover;x
11351;Foreign Minister;Eugeni d'Ors;1936;1964;1999;PA;Great Compromiser;Low;CAT_eugeni_dors;x
11352;Head of State;Francesc Cambó i Batlle;1936;1964;1999;PA;Weary Stiffneck;Low;CAT_francesc_cambo;x
11353;Head of Government;Manuel Carrasco i Formiguera;1938;1964;1999;PA;Naive Optimist;High;M11152;x
11354;Head of State;Pompeu Fabra i Poch;1936;1964;1999;SC;Popular Figurehead;Low;CAT_pompeu_fabra;x
11355;Head of Government;Josep Carner i Puig-Oriol;1936;1964;1999;SC;Political Protege;Low;CAT_josep_carner;x
11356;Foreign Minister;Francesc Cambo i Batlle;1936;1964;1999;SD;Biased Intellectual;High;M512;x
11357;Minister of Armament;Josep Tarradellas;1936;1964;1999;ML;Resource Industrialist;High;M513;x
11358;Head of Military Intelligence;Mariano Anso Zungarren;1936;1964;1999;ML;Naval Intelligence Specialist;High;M515;x
11359;Chief of Staff;Enrique Perez Farras;1936;1964;1999;SD;School of Defence;High;M516;x
11360;Chief of Army;Domenech Batet Mestre;1936;1964;1999;SL;Decisive Battle Doctrine;High;M517;x
11361;Chief of Air Force;Felip Díaz i Sandino;1936;1964;1999;SD;Air Superiority Doctrine;High;M519;x
11362;Head of State;Josep Tarradellas;1936;1964;1999;ML;Popular Figurehead;High;M513;x
11363;Head of Government;Carles Pi Sunyer;1936;1964;1999;SL;Silent Workhorse;High;M521;x
11364;Head of Military Intelligence;Vicent Guarner Vivancos;1936;1964;1999;SD;Logistics Specialist;High;M525;x
11365;Chief of Navy;Josep Tarradellas;1936;1964;1999;ML;Base Control Doctrine;High;M513;x
11366;Minister of Security;Jose Maria Benet Capará i Rotés;1936;1964;1999;SL;Prince of Terror;High;M533;x
11367;Chief of Army;Jaume Bosch i Grassi;1936;1964;1999;SD;Guns and Butter Doctrine;High;M536;x
11368;Chief of Air Force;Luis Rambaud Gomá;1936;1964;1999;FA;Carpet Bombing Doctrine;High;M551;x
11369;Minister of Security;José María Albiñana y Sanz;1936;1964;1999;FA;Prince of Terror;High;M552;x
11370;Head of Government;Miguel Serra Sucarrats;1936;1964;1999;FA;Political Protege;High;M553;x
11371;Foreign Minister;Salvio Huix Miralpeix;1936;1964;1999;PA;Apologetic Clerk;High;M554;x
11372;Head of Military Intelligence;Josep Bertran i Musitu;1936;1964;1999;FA;Political Specialist;High;M558;x
11373;Chief of Staff;Juan Moles Ormella;1936;1964;1999;SC;School of Psychology;High;M575;x
11374;Minister of Armament;Ramon Iglesias Navarri;1936;1964;1999;PA;Administrative Genius;High;M576;x
11375;Head of State;Isidro Gomá;1936;1964;1999;PA;Autocratic Charmer;High;M582;x
11376;Minister of Armament;Josep Puig i Cadafalch;1936;1964;1999;SL;Resource Industrialist;High;M583;x
11377;Head of State;Doménec Latorre Solé;1936;1964;1999;SD;Die-hard Reformer;High;M585;x
11378;Chief of Staff;Manuel Goded Llopis;1936;1964;1999;FA;School of Mass Combat;High;M588;x
11379;Chief of Army;Vicente Llano De La Encomienda;1936;1964;1999;ML;Static Defence Doctrine;High;M589;x
11380;Head of Military Intelligence;José Prat García;1936;1964;1999;SL;Political Specialist;High;M595;x
11381;Chief of Staff;Rodolfo Llopis;1936;1964;1999;SL;School of Psychology;High;M596;x
11382;Chief of Army;Manuel Eixea;1936;1964;1999;SL;Armoured Spearhead Doctrine;High;M597;x
11383;Chief of Air Force;Ángel Pastor Velasco;1936;1964;1999;SL;Air Superiority Doctrine;High;M598;x
11384;Head of State;Angel Pascual Devesa;1936;1964;1999;SL;Weary Stiffneck;High;M599;x
11385;Head of Government;Lorenzo Carbonell;1936;1964;1999;SL;Political Protege;High;M600;x
11386;Foreign Minister;Rafael Menacho;1936;1964;1999;SL;General Staffer;High;M601;x
11387;Minister of Armament;Lorenzo Carbonell;1936;1964;1999;SL;Administrative Genius;High;M600;x
11388;Minister of Security;Rafael Altamira;1936;1964;1999;SD;Silent Lawyer;High;M603;x
11389;Head of Military Intelligence;Juan Botella;1936;1964;1999;SD;Political Specialist;High;M604;x
11390;Chief of Navy;Constante Alona;1936;1964;1999;SD;Base Control Doctrine;High;M607;x
11391;Minister of Armament;Franklin Albricias Goetz;1936;1964;1999;SD;Theoretical Scientist;High;M608;x
11392;Head of State;Francesc Sureda i Blanes;1936;1964;1999;FA;Barking Buffoon;High;M618;x
11393;Head of Government;Mateo Torres Bestard;1936;1964;1999;FA;Ambitious Union Boss;High;M619;x
11394;Foreign Minister;Jeroni Alomar;1936;1964;1999;PA;General Staffer;High;M620;x
11395;Minister of Security;Trinidad Benjumea;1936;1964;1999;FA;Crooked kleptocrat;High;M622;x
11396;Head of Military Intelligence;Victor Ensenat Martinez;1936;1964;1999;FA;Political Specialist;High;M623;x
11397;Chief of Army;Luis Garcia Ruíz;1936;1964;1999;FA;Elastic Defence Doctrine;High;M624;x
11398;Foreign Minister;Llorenç Vilallonga;1936;1964;1999;FA;Biased Intellectual;High;M629;x
11399;Head of Military Intelligence;Juan Pujol i Garcia;1940;1964;1999;ML;Dismal Enigma;High;M630;x
11400;Minister of Armament;Fidel Dávila;1936;1964;1999;FA;Infantry Proponent;High;M631;x
11401;Chief of Staff;Fidel Dávila;1936;1964;1999;FA;School of Defence;High;M631;x
11402;Chief of Army;Fidel Dávila;1936;1964;1999;FA;Static Defence Doctrine;High;M631;x
11403;Minister of Armament;Enrique Fontana i Codina;1936;1964;1999;FA;Administrative Genius;High;M634;x
11404;Minister of Armament;Antoni Goicoechea i Coscullela;1936;1964;1999;PA;Laissez-faire capitalist;High;M635;x
11405;Head of Government;António Pinto Quartim;1936;1964;1999;LE;Silent Workhorse;Low;POR_pinto_quartim;x
