CGX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
502276;Chief of Staff;Tang Junbo;1955;1970;1999;SC;Strategic Missile Focus;High;LTang_Junbo;X
502277;Minister of Armament;Tang Junbo;1948;1970;1999;SC;Artillery Proponent;High;LTang_Junbo;X
502278;Head of Military Intelligence;Tang Junbo;1948;1970;1999;SC;Industrial Specialist;High;LTang_Junbo;X
502279;Chief of Staff;Qian Zhuolun;1936;1967;1999;PA;School of Psychology;High;LQian_Zhuolun;X
502280;Minister of Armament;Qian Zhuolun;1936;1967;1999;PA;Military Entrepreneur;High;LQian_Zhuolun;X
502281;Head of Military Intelligence;Qian Zhuolun;1936;1967;1999;PA;Industrial Specialist;High;LQian_Zhuolun;X
502282;Chief of Staff;Wang Jun;1934;1970;1999;PA;School of Mass Combat;High;L50316;X
502283;Minister of Armament;Wang Jun;1934;1970;1999;PA;Infantry Proponent;High;L50316;X
502284;Chief of Staff;Liu Jiming;1945;1970;1999;PA;School of Defence;High;LLiu_Jiming;X
502285;Chief of Army;Liu Jiming;1945;1970;1999;PA;Combat Engineering Doctrine;High;LLiu_Jiming;X
502286;Head of Military Intelligence;Liu Jiming;1945;1970;1999;PA;Logistics Specialist;High;LLiu_Jiming;X
502287;Chief of Army;Li Mingrui;1931;1970;1999;LWR;Decisive Battle Doctrine;High;LLi_Mingrui;X
502288;Chief of Army;Feng Baiju;1940;1970;1999;LWR;Guerilla Warfare Doctrine;High;LFeng_Baiju;X
502289;Chief of Army;Lin Zhenxiong;1926;1964;1999;SD;Old Cavalry General;High;LLin_Zhenxiong;X
502290;Chief of Navy;Lin Zhenxiong;1926;1964;1999;SD;Base Control Doctrine;High;LLin_Zhenxiong;X
502291;Chief of Army;Cai Tingkai;1936;1968;1999;SD;Elastic Defence Doctrine;High;CHITingkai;X
502292;Chief of Army;Dai Ji;1937;1970;1999;SD;Guns and Butter Doctrine;High;LDai_Ji;X
502293;Chief of Army;Gu Zhutong;1935;1970;1999;ML;Decisive Battle Doctrine;High;CHIGu Zhutong;X
502294;Chief of Army;Deng Longguang;1936;1970;1999;SC;Static Defence Doctrine;High;LDeng_Longguang;X
502295;Chief of Army;Hu Jingxian;1938;1970;1999;SC;Old Cavalry General;High;LHu_Jingxian;X
502296;Chief of Army;Xie Yingbai;1936;1964;1999;PA;Guns and Butter Doctrine;High;LXie_Yingbai;X
502297;Chief of Army;Huang Zhenwu;1937;1969;1999;PA;Commando Doctrine Army;High;L50124;X
502298;Chief of Army;Zou Hong;1939;1970;1999;PA;Doctrine of Autonomy;High;LZou_Hong;X
502299;Chief of Navy;Li Fulin;1925;1952;1999;SL;Merchant Navy Focus;High;MLi_Fulin;X
502300;Chief of Navy;Ouyang Ge;1932;1965;1999;SL;Indirect Approach Doctrine;High;L50362;X
502301;Chief of Navy;Huang Wentian;1938;1969;1999;SL;Hydrographic Service Proponent;High;LHuang_Wentian;X
502302;Chief of Navy;Li Qingwen;1935;1970;1999;ML;Coastal Defence Doctrine;High;Li Qingwen;X
502303;Chief of Navy;Xu Heng;1944;1970;1999;ML;Decisive Naval Battle Doctrine;High;LHenry_Hsu;X
502304;Chief of Navy;Yang Qingzhen;1929;1951;1999;SC;Riverine Warfare Doctrine;High;LYang_Qingzhen;X
502305;Chief of Navy;Chen Ce;1932;1964;1999;SC;Open Seas Doctrine;High;L50354;X
502306;Head of Military Intelligence;Chen Ce;1932;1964;1999;SC;Naval Intelligence Specialist;High;L50354;X
502307;Chief of Navy;Feng Qicong;1945;1970;1999;PA;Power Projection Doctrine;High;LFeng_Qicong;X
502308;Chief of Air Force;Zhang Huizhang;1931;1970;1999;SL;Aviation Organizer;High;Zhang Huizhang;X
502309;Minister of Armament;Zhang Huizhang;1931;1970;1999;SL;Air Superiority Proponent;High;Zhang Huizhang;X
502310;Chief of Air Force;Chen Ruitian;1937;1970;1999;SL;Air Superiority Doctrine;High;CHIShui;X
502311;Chief of Air Force;Chen Qingyun;1936;1970;1999;ML;Army Aviation Doctrine;High;L50369;X
502312;Chief of Air Force;Lin Weicheng;1937;1970;1999;ML;Vertical Envelopment Doctrine;High;LLin_Weicheng;X
502313;Minister of Armament;Lin Weicheng;1937;1970;1999;ML;Strategic Air Proponent;High;LLin_Weicheng;X
502314;Chief of Air Force;Lei Yanjun;1946;1970;1999;ML;Tactical Aviation Doctrine;High;LLouie_Yim-qun;X
502315;Head of Military Intelligence;Lei Yanjun;1946;1970;1999;ML;Technical Specialist;High;LLouie_Yim-qun;X
502316;Chief of Air Force;Li Xueyan;1947;1970;1999;ML;Carpet Bombing Doctrine;High;Li Xueyan;X
502317;Chief of Air Force;Huang Guangrui;1932;1970;1999;SC;Aviation Organizer;High;L50374;X
502318;Chief of Air Force;Huang Zhenqiu;1934;1970;1999;SC;Air Defence Doctrine;High;LHuang_Zhenqiu;X
502319;Chief of Air Force;Zhou Zhirou;1936;1970;1999;SC;Carpet Bombing Doctrine;High;CHIZhou Zhirou;X
502320;Chief of Air Force;Wei Chongliang;1943;1970;1999;SC;Air Superiority Doctrine;High;LWei_Chongliang;X
502321;Chief of Air Force;Zhou Changyao;1945;1970;1999;SC;Air Defence Doctrine;High;LZhou_Changyao;X
502322;Head of State;Qiu Zhe;1936;1959;1999;SD;Die-hard Reformer;High;MQiu_Zhe;X
502323;Head of Government;Qiu Zhe;1936;1959;1999;SD;Silent Workhorse;High;MQiu_Zhe;X
502324;Head of State;Zhang Wen;1948;1960;1999;SD;Resigned Generalissimo;High;LZhang_Wen;X
502325;Chief of Staff;Zhang Wen;1927;1960;1999;SD;School of Defence;High;LZhang_Wen;X
502326;Head of State;Li Boqiu;1952;1970;1999;SL;Benevolent Gentleman;High;MLi_Boqiu;X
502327;Minister of Security;Li Boqiu;1941;1970;1999;SL;Man of the People;High;MLi_Boqiu;X
502328;Head of Military Intelligence;Li Boqiu;1941;1970;1999;SL;Political Specialist;High;MLi_Boqiu;X
502329;Head of Government;Luo Xiongcai;1952;1970;1999;SL;Smiling Oilman;High;MLuo_Xiongcai;X
502330;Minister of Armament;Luo Xiongcai;1945;1970;1999;SL;Industrial Chemist;High;MLuo_Xiongcai;X
502331;Foreign Minister;Yang Yitang;1936;1970;1999;SD;Biased Intellectual;High;MYang_Yitang;X
502332;Minister of Security;Yang Yitang;1936;1970;1999;SD;Silent Lawyer;High;MYang_Yitang;X
502333;Foreign Minister;Liu Simu;1949;1970;1999;SD;Great Compromiser;High;MLiu_Simu;X
502334;Foreign Minister;Peng Zemin;1926;1956;1999;SL;Ideological Crusader;High;MPeng_Zemin;X
502335;Minister of Armament;Huang Changshui;1941;1970;1999;SD;Mixed Economy;High;MHuang_Changshui;X
502336;Minister of Armament;Huang Tao;1934;1970;1999;SL;Military Entrepreneur;High;L50133;X
502337;Minister of Armament;Qiu Yuchi;1943;1962;1999;ML;Steel Magnate;High;MQiu_Yuchi;X
502338;Minister of Security;Liang Ruochen;1945;1970;1999;SD;Media Magnate;High;MLiang_Ruochen;X
502339;Minister of Security;Huang Yaomian;1949;1970;1999;SD;Media Magnate;High;MHuang_Yaomian;X
502340;Chief of Army;Liang Huasheng;1945;1970;1999;PA;Elastic Defence Doctrine;High;LLiang_Huasheng;X
