UPE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
100257;Head of Military Intelligence;Jin Shixuan;1948;1970;1999;SL;Logistics Specialist;High;MJin_Shixuan;X
100258;Head of Military Intelligence;Pan Xulun;1936;1970;1999;ML;Industrial Specialist;High;MPan_Xulun;X
100259;Head of Military Intelligence;Gu Yuxiu;1937;1970;1999;ML;Technical Specialist;High;MGu_Yuxiu;X
100260;Head of Military Intelligence;He Jingwu;1936;1961;1999;SC;Logistics Specialist;High;LHe_Jingwu;X
100261;Head of Military Intelligence;Tong Yuanliang;1939;1963;1999;SC;Technical Specialist;High;LTong_Yuanliang;X
100262;Head of Military Intelligence;Zhu Leizhang;1949;1970;1999;SC;Technical Specialist;High;MZhu_Leizhang;X
100263;Head of Military Intelligence;Xiang Xiongxiao;1936;1958;1999;PA;Logistics Specialist;High;LXiang_Xiongxiao;X
100264;Head of Military Intelligence;Zeng Kuoqing;1936;1964;1999;PA;Political Specialist;High;MZeng_Kuoqing;X
100265;Head of Military Intelligence;Xu Enzeng;1936;1966;1999;PA;Industrial Specialist;High;MXu_Enzeng;X
100266;Head of Military Intelligence;Teng Jie;1943;1970;1999;PA;Political Specialist;High;MTeng_Jie;X
100267;Head of Military Intelligence;Jiang Yiying;1945;1970;1999;FA;Technical Specialist;High;MJiang_Yiying;X
100268;Chief of Staff;Li Zuopeng;1943;1970;1999;ST;School of Mass Combat;High;L76591;X
100269;Chief of Staff;Chen Qihan;1936;1963;1999;LWR;School of Defence;High;LChen_Qihan;X
100270;Chief of Staff;Lai Chuanzhu;1938;1965;1999;LWR;School of Manoeuvre;High;L76388;X
100271;Chief of Staff;Kuang Yumin;1945;1970;1999;LWR;School of Fire Support;High;L76471;X
100272;Chief of Staff;Wen Yucheng;1955;1970;1999;LWR;School of Manoeuvre;High;L76576;X
100273;Chief of Army;Wen Yucheng;1947;1970;1999;LWR;Old Cavalry General;High;L76576;X
100274;Chief of Staff;Gong Xinggui;1960;1970;1999;LWR;Strategic Missile Focus;High;LGong_Xinggui;X
100275;Minister of Armament;Gong Xinggui;1950;1970;1999;LWR;Artillery Proponent;High;LGong_Xinggui;X
100276;Chief of Staff;Li Mingyang;1936;1961;1999;SL;School of Defence;High;LLi_Mingyang;X
100277;Chief of Army;Li Mingyang;1936;1961;1999;SL;Static Defence Doctrine;High;LLi_Mingyang;X
100278;Chief of Air Force;Li Mingyang;1936;1961;1999;SL;Air Defence Doctrine;High;LLi_Mingyang;X
100279;Chief of Staff;Zhang Hongchun;1936;1963;1999;SL;School of Manoeuvre;High;LZhang_Hongchun;X
100280;Chief of Army;Zhang Hongchun;1936;1963;1999;SL;Old Cavalry General;High;LZhang_Hongchun;X
100281;Chief of Staff;Li Erkang;1936;1958;1999;ML;School of Psychology;High;LLi_Erkang;X
100282;Minister of Armament;Li Erkang;1936;1958;1999;ML;Reformer;High;LLi_Erkang;X
100283;Chief of Staff;Zhang Xuxing;1939;1970;1999;ML;School of Manoeuvre;High;L50008;X
100284;Chief of Staff;Liu Zhongdi;1940;1960;1999;ML;Commando Doctrine Staff;High;LLiu_Zhongdi;X
100285;Chief of Army;Liu Zhongdi;1946;1960;1999;ML;Commando Doctrine Army;High;LLiu_Zhongdi;X
100286;Chief of Staff;Zheng Weiyuan;1951;1970;1999;ML;School of Mass Combat;High;LZheng_Weiyuan;X
100287;Chief of Army;Zheng Weiyuan;1955;1970;1999;ML;Doctrine of Autonomy;High;LZheng_Weiyuan;X
100288;Head of Military Intelligence;Zheng Weiyuan;1946;1970;1999;ML;Logistics Specialist;High;LZheng_Weiyuan;X
100289;Chief of Staff;Ge Jingen;1936;1959;1999;SC;School of Psychology;High;LGe_Jingen;X
100290;Chief of Staff;Kong Qinggui;1938;1964;1999;SC;School of Fire Support;High;LKong_Qinggui;X
100291;Chief of Air Force;Kong Qinggui;1938;1964;1999;SC;Army Aviation Doctrine;High;LKong_Qinggui;X
100292;Chief of Staff;Hu Su;1946;1969;1999;SC;School of Psychology;High;L50121;X
100293;Chief of Staff;Wang Geng;1936;1942;1999;PA;School of Fire Support;High;LWang_Geng;X
100294;Chief of Army;Wang Geng;1936;1942;1999;PA;Decisive Battle Doctrine;High;LWang_Geng;X
100295;Chief of Staff;Lin Wei;1937;1955;1999;PA;School of Defence;High;L50198;X
100296;Foreign Minister;Lin Wei;1937;1955;1999;PA;General Staffer;High;L50198;X
100297;Chief of Staff;Guo Chan;1939;1958;1999;PA;School of Fire Support;High;L50158;X
100298;Chief of Army;Guo Chan;1939;1958;1999;PA;Decisive Battle Doctrine;High;L50158;X
100299;Chief of Staff;Liu Zhi;1936;1962;1999;PA;School of Mass Combat;High;L50205;X
100300;Chief of Staff;Xu Peigen;1945;1965;1999;PA;School of Manoeuvre;High;LXu_Peigen;X
100301;Chief of Air Force;Xu Peigen;1936;1965;1999;PA;Army Aviation Doctrine;High;LXu_Peigen;X
100302;Chief of Staff;He Zhihao;1945;1970;1999;PA;School of Mass Combat;High;LHe_Zhihao;X
100303;Chief of Staff;Leng Xin;1945;1970;1999;PA;School of Defence;High;L50168;X
100304;Chief of Staff;Xu Rucheng;1957;1970;1999;PA;School of Fire Support;High;L50108;X
100305;Chief of Army;Kuang Yumin;1952;1970;1999;LWR;Decisive Battle Doctrine;High;L76471;X
100306;Chief of Army;Qiu Huizuo;1945;1970;1999;ST;Guns and Butter Doctrine;High;L76593;X
100307;Chief of Army;Hu Gongmian;1930;1953;1999;LWR;Guerilla Warfare Doctrine;High;LHu_Gongmian;X
100308;Chief of Army;Yao Xingwu;1936;1967;1999;LWR;Guns and Butter Doctrine;High;LYao_Xingwu;X
100309;Chief of Army;Yang Yuchun;1938;1970;1999;SD;Guerilla Warfare Doctrine;High;LYang_Yuchun;X
100310;Chief of Army;Chen Anbao;1939;1961;1999;SL;Elastic Defence Doctrine;High;L50028;X
100311;Chief of Army;Fan Songfu;1936;1964;1999;SL;Static Defence Doctrine;High;LFan_Songfu;X
100312;Chief of Army;Duanmu Jie;1936;1967;1999;SL;Guns and Butter Doctrine;High;MDuanmu_Jie;X
100313;Minister of Armament;Duanmu Jie;1936;1967;1999;SL;Military Entrepreneur;High;MDuanmu_Jie;X
100314;Chief of Army;Niu Xianming;1954;1970;1999;SL;Combat Engineering Doctrine;High;LNiu_Xianming;X
100315;Chief of Army;Liao Shiqiao;1938;1962;1999;ML;Combat Engineering Doctrine;High;LLiao_Shiqiao;X
100316;Chief of Army;Dai Anlan;1945;1970;1999;ML;Decisive Battle Doctrine;High;LDai_Anlan;X
100317;Chief of Army;Fang Xianjue;1948;1970;1999;ML;Elastic Defence Doctrine;High;L50076;X
100318;Chief of Army;Jiang Weiguo;1950;1970;1999;ML;Armoured Spearhead Doctrine;High;CHIChiang Wei-kuo;X
100319;Chief of Army;Wang Haoji;1936;1946;1999;SC;Old Cavalry General;High;LWang_Haoji;X
100320;Chief of Army;Wang Jingjiu;1939;1965;1999;SC;Doctrine of Autonomy;High;L50312;X
100321;Chief of Army;Chen Liang;1940;1966;1999;SC;Guns and Butter Doctrine;High;MChen_Liang;X
100322;Minister of Armament;Chen Liang;1936;1966;1999;SC;Military Entrepreneur;High;MChen_Liang;X
100323;Chief of Army;Wang Zhonglian;1941;1970;1999;SC;Elastic Defence Doctrine;High;LWang_Zhonglian;X
100324;Chief of Army;Liu Yunhan;1952;1970;1999;SC;Combat Engineering Doctrine;High;LLiu_Yunhan;X
100325;Chief of Army;Yu Feipeng;1936;1954;1999;PA;Guns and Butter Doctrine;High;LYu_Feipeng;X
100326;Chief of Army;Hu Zongnan;1936;1961;1999;PA;Decisive Battle Doctrine;High;L50122;X
100327;Chief of Army;Xiang Zhizhuang;1937;1964;1999;PA;Static Defence Doctrine;High;LXiang_Zhizhuang;X
100328;Chief of Army;Qiu Qingquan;1943;1970;1999;PA;Armoured Spearhead Doctrine;High;CHIQiu Qingquan;X
100329;Chief of Army;Zhong Song;1948;1970;1999;PA;Decisive Battle Doctrine;High;L50071;X
100330;Chief of Army;Yu Chengwan;1948;1970;1999;PA;Elastic Defence Doctrine;High;L50351;X
100331;Chief of Army;Liu Yuanlin;1950;1970;1999;PA;Doctrine of Autonomy;High;LLiu_Yuanlin;X
100332;Chief of Army;Xia Jiping;1952;1970;1999;PA;Commando Doctrine Army;High;LXia_Jiping;X
100333;Chief of Navy;Xia Jiping;1952;1970;1999;PA;Base Control Doctrine;High;LXia_Jiping;X
100334;Chief of Army;Tang Enbo;1938;1954;1999;FA;Decisive Battle Doctrine;High;L50278;X
100335;Chief of Army;Shangguan Yunxiang;1936;1965;1999;FA;Counter-Insurgency Doctrine;High;L50254;X
100336;Chief of Army;Chen Daqing;1954;1970;1999;FA;Static Defence Doctrine;High;L50035;X
100337;Chief of Navy;Rao Shoukun;1948;1970;1999;ST;Coastal Defence Doctrine;High;L76541;X
100338;Chief of Navy;Liao Rongbiao;1946;1970;1999;LWR;Base Control Doctrine;High;L76584;X
100339;Chief of Navy;Huang Ronghai;1950;1970;1999;LWR;Coastal Defence Doctrine;High;LHuang_Ronghai;X
100340;Chief of Navy;Fang Zhenliu;1950;1970;1999;SD;Merchant Navy Focus;High;MFang_Zhenliu;X
100341;Chief of Navy;Wang Shouting;1936;1948;1999;ML;Coastal Defence Doctrine;High;L50366;X
100342;Chief of Navy;Xu Xueyu;1949;1970;1999;ML;Merchant Navy Focus;High;MXu_Xueyu;X
100343;Head of Military Intelligence;Xu Xueyu;1947;1970;1999;ML;Industrial Specialist;High;MXu_Xueyu;X
100344;Chief of Navy;Yu Baisheng;1950;1970;1999;ML;Power Projection Doctrine;High;LYu_Baisheng;X
100345;Chief of Navy;Lin Yuanquan;1936;1950;1999;SC;Riverine Warfare Doctrine;High;LLin_Yuanquan;X
100346;Chief of Navy;Hua Shousong;1948;1970;1999;SC;Merchant Navy Focus;High;MHua_Shousong;X
100347;Chief of Navy;Li Shijia;1936;1970;1999;SC;Base Control Doctrine;High;L50389;X
100348;Chief of Navy;Wang Enhua;1948;1970;1999;SC;Coastal Defence Doctrine;High;En-Hua Wang;X
100349;Chief of Navy;Chi Mengbin;1949;1970;1999;SC;Open Seas Doctrine;High;LChi_Mengbin;X
100350;Head of Military Intelligence;Chi Mengbin;1949;1970;1999;SC;Naval Intelligence Specialist;High;LChi_Mengbin;X
100351;Chief of Navy;Yang Shuzhuang;1936;1942;1999;PA;Coastal Defence Doctrine;High;Yang Shuzhuang;X
100352;Chief of Navy;Chen Zhaoying;1936;1946;1999;PA;Coastal Defence Doctrine;High;MChen_Zhaoying;X
100353;Minister of Security;Chen Zhaoying;1936;1958;1999;PA;Man of the People;High;MChen_Zhaoying;X
100354;Chief of Navy;Zhou Houjun;1946;1970;1999;PA;Merchant Navy Focus;High;MZhou_Houjun;X
100355;Chief of Navy;Chu Jiachang;1954;1970;1999;PA;Merchant Navy Focus;High;MChu_Jiachang;X
100356;Chief of Navy;Jiang Hongjie;1936;1941;1999;FA;Merchant Navy Focus;High;MJiang_Hongjie;X
100357;Foreign Minister;Jiang Hongjie;1936;1941;1999;FA;Apologetic Clerk;High;MJiang_Hongjie;X
100358;Chief of Navy;Yu Jishi;1940;1970;1999;FA;Base Control Doctrine;High;L50352;X
100359;Chief of Air Force;Kuang Rennong;1948;1970;1999;ST;Vertical Envelopment Doctrine;High;L76469;X
100360;Chief of Air Force;Xie Bin;1948;1970;1999;ST;Air Defence Doctrine;High;LXie_Bin;X
100361;Chief of Air Force;Liu Zili;1946;1970;1999;LWR;Aviation Organizer;High;MLiu_Zili1916;X
100362;Chief of Air Force;Zhou Biao;1955;1970;1999;LWR;Air Defence Doctrine;High;L76530;X
100363;Chief of Air Force;Xie Peifen;1950;1970;1999;SD;Vertical Envelopment Doctrine;High;LXie_Peifen;X
100364;Chief of Air Force;Chen Yibai;1936;1970;1999;SL;Air Defence Doctrine;High;MChen_Yibai;X
100365;Head of Military Intelligence;Chen Yibai;1936;1970;1999;SL;Technical Specialist;High;MChen_Yibai;X
100366;Chief of Air Force;Zhu Lin;1936;1967;1999;ML;Aviation Organizer;High;MZhu_Lin;X
100367;Minister of Armament;Zhu Lin;1936;1967;1999;ML;Air Superiority Proponent;High;MZhu_Lin;X
100368;Chief of Air Force;Huang Bingheng;1936;1970;1999;SC;Naval Aviation Doctrine;High;L50375;X
100369;Chief of Air Force;Chen Jiashang;1949;1970;1999;SC;Air Superiority Doctrine;High;LChen_Jiashang;X
100370;Chief of Air Force;Hu Weike;1949;1970;1999;SC;Tactical Aviation Doctrine;High;Hu Weike;X
100371;Chief of Air Force;Xu Kangliang;1945;1970;1999;PA;Army Aviation Doctrine;High;LXu_Kangliang;X
100372;Chief of Air Force;Xu Huansheng;1946;1970;1999;PA;Carpet Bombing Doctrine;High;L50373;X
100373;Chief of Air Force;Lai Mingtang;1949;1970;1999;PA;Air Superiority Doctrine;High;Lai Mingtang;X
100374;Head of Military Intelligence;Lai Mingtang;1949;1970;1999;PA;Logistics Specialist;High;Lai Mingtang;X
100375;Head of Military Intelligence;Hua Zhenlin;1936;1962;1999;PA;Technical Specialist;High;MHua_Zhenlin;X
100376;Head of Military Intelligence;Wang Yongshu;1956;1970;1999;PA;Counterintelligence Specialist;High;LWang_Yongshu;X
100377;Chief of Staff;Gu Baoyu;1952;1970;1999;SC;Commando Doctrine Staff;High;LGu_Baoyu;X
100378;Chief of Staff;Liu Shiyi;1936;1956;1999;PA;School of Fire Support;High;L50215;X
100379;Chief of Staff;Wu Yunzhou;1949;1970;1999;PA;School of Psychology;High;LWu_Yunzhou;X
100380;Chief of Navy;Jiang Qian;1953;1970;1999;PA;Power Projection Doctrine;High;LJiang_Qian;X
