PROV753;Ghadamis;Ghadamis;Ghadamis;Ghadamis;Ghadamis;Ghadamis;Ghadamis;Ghadamis;;;X
PROV754;Maradah;Maradah;Maradah;Maradah;Maradah;Maradah;Maradah;Maradah;;;X
PROV755;Houn;Houn;Houn;Houn;Houn;Houn;Houn;Houn;;;X
PROV756;Sirt;Sirt;Sirt;Sirt;Sirt;Sirt;Sirt;Sirt;;;X
PROV757;Misratah;Misratah;Misratah;Misratah;Misratah;Misratah;Misratah;Misratah;;;X
PROV758;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;Bu Nujaym;;;X
PROV759;El Agheila;El Agheila;El Agheila;El Agheila;El Agheila;El Agheila;El Agheila;El Agheila;;;X
PROV760;Msus;Msus;Msus;Msus;Msus;Msus;Msus;Msus;;;X
PROV761;Benghazi;Benghazi;Benghazi;Benghazi;Benghazi;Benghazi;Benghazi;Benghazi;;;X
PROV762;Agedabia;Agedabia;Agedabia;Agedabia;Agedabia;Agedabia;Agedabia;Agedabia;;;X
PROV763;Qaminis;Qaminis;Qaminis;Qaminis;Qaminis;Qaminis;Qaminis;Qaminis;;;X
PROV764;Al Bayda;Al Bayda;Al Bayda;Al Bayda;Al Bayda;Al Bayda;Al Bayda;Al Bayda;;;X
PROV765;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;;;X
PROV766;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;El Mukhayla;;;X
PROV767;Gazala;Gazala;Gazala;Gazala;Gazala;Gazala;Gazala;Gazala;;;X
PROV768;Darnah;Darnah;Darnah;Darnah;Darnah;Darnah;Darnah;Darnah;;;X
PROV769;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;Bir Hakeim;;;X
PROV770;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;;;X
PROV771;Bardia;Bardia;Bardia;Bardia;Bardia;Bardia;Bardia;Bardia;;;X
PROV772;Bir el Gubi;Bir el Gubi;Bir el Gubi;Bir el Gubi;Bir el Gubi;Bir el Gubi;Bir el Gubi;Bir el Gubi;;;X
PROV773;Jalu;Jalu;Jalu;Jalu;Jalu;Jalu;Jalu;Jalu;;;X
PROV774;Al Jawf;Al Jawf;Al Jawf;Al Jawf;Al Jawf;Al Jawf;Al Jawf;Al Jawf;;;X
PROV775;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;Wadi al Hamim;;;X
PROV776;Sabha;Sabha;Sabha;Sabha;Sabha;Sabha;Sabha;Sabha;;;X
PROV777;Ayn Ath Talab;Ayn Ath Talab;Ayn Ath Talab;Ayn Ath Talab;Ayn Ath Talab;Ayn Ath Talab;Ayn Ath Talab;Ayn Ath Talab;;;X
PROV778;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;Bir Fuad;;;X
PROV779;Siwah;Siwah;Siwah;Siwah;Siwah;Siwah;Siwah;Siwah;;;X
PROV780;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;;;X
PROV781;As Sollum;As Sollum;As Sollum;As Sollum;As Sollum;As Sollum;As Sollum;As Sollum;;;X
PROV782;Bir Baylih;Bir Baylih;Bir Baylih;Bir Baylih;Bir Baylih;Bir Baylih;Bir Baylih;Bir Baylih;;;X
PROV783;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;;;X
PROV784;Fuqa;Fuqa;Fuqa;Fuqa;Fuqa;Fuqa;Fuqa;Fuqa;;;X
PROV785;Matruh;Matruh;Matruh;Matruh;Matruh;Matruh;Matruh;Matruh;;;X
PROV786;Dimyat;Dimyat;Dimyat;Dimyat;Dimyat;Dimyat;Dimyat;Dimyat;;;X
PROV787;Cairo;Cairo;Cairo;Cairo;Cairo;Cairo;Cairo;Cairo;;;X
PROV788;Giza;Giza;Giza;Giza;Giza;Giza;Giza;Giza;;;X
PROV789;Alexandria;Alexandria;Alexandria;Alejandría;Alexandria;Alexandria;Alexandria;Alexandria;;;X
PROV790;Tanta;Tanta;Tanta;Tanta;Tanta;Tanta;Tanta;Tanta;;;X
PROV791;Port Said;Port Said;Port Said;Port Said;Port Said;Port Said;Port Said;Port Said;;;X
PROV792;El Faiyum;El Faiyum;El Faiyum;El Fayum;El Faiyum;El Faiyum;El Faiyum;El Faiyum;;;X
PROV793;Miniah;Miniah;Miniah;Miniah;Miniah;Miniah;Miniah;Miniah;;;X
PROV794;Asyut;Asyut;Asyut;Asiut;Asyut;Asyut;Asyut;Asyut;;;X
PROV795;Aswan;Aswan;Aswan;Asan;Aswan;Aswan;Aswan;Aswan;;;X
PROV796;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;El Ghardaqah;;;X
PROV797;Luxor;Luxor;Luxor;Luxor;Luxor;Luxor;Luxor;Luxor;;;X
PROV798;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;El Kharga;;;X
PROV799;Moghara;Moghara;Moghara;Moghara;Moghara;Moghara;Moghara;Moghara;;;X
PROV800;Bir Nahid;Bir Nahid;Bir Nahid;Bir Nahid;Bir Nahid;Bir Nahid;Bir Nahid;Bir Nahid;;;X
PROV801;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;El Farafra;;;X
PROV802;El Qasr;El Qasr;El Qasr;El Qasr;El Qasr;El Qasr;El Qasr;El Qasr;;;X
PROV803;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;;;X
PROV804;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;;;X
PROV805;Omdurman;Omdurman;Omdurman;Omdurmán;Omdurman;Omdurman;Omdurman;Omdurman;;;X
PROV806;El Obeid;El Obeid;El Obeid;El Obeid;El Obeid;El Obeid;El Obeid;El Obeid;;;X
PROV807;Juba;Juba;Juba;Juba;Juba;Juba;Juba;Juba;;;X
PROV808;Nayala;Nayala;Nayala;Nayala;Nayala;Nayala;Nayala;Nayala;;;X
PROV809;Waw;Waw;Waw;Waw;Waw;Waw;Waw;Waw;;;X
PROV810;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;;;X
PROV811;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;El Qadarif;;;X
PROV812;Malakal;Malakal;Malakal;Malakal;Malakal;Malakal;Malakal;Malakal;;;X
PROV813;Port Sudan;Port Sudan;Port Sudan;Port Sudan;Port Sudan;Port Sudan;Port Sudan;Port Sudan;;;X
PROV814;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;;;X
PROV815;Massawa;Massawa;Massawa;Massawa;Massawa;Massawa;Massawa;Massawa;;;X
PROV816;Assab;Assab;Assab;Assab;Assab;Assab;Assab;Assab;;;X
PROV817;Asmara;Asmara;Asmara;Asmara;Asmara;Asmara;Asmara;Asmara;;;X
PROV818;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;Dire Dawa;;;X
PROV819;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;Tendaho;;;X
PROV820;Dessie;Dessie;Dessie;Dessie;Dessie;Dessie;Dessie;Dessie;;;X
PROV821;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;Adigrat;;;X
PROV822;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;Debre Marqos;;;X
PROV823;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;;;X
PROV824;Asosa;Asosa;Asosa;Asosa;Asosa;Asosa;Asosa;Asosa;;;X
PROV825;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;Addis Abeba;;;X
PROV826;Goba;Goba;Goba;Goba;Goba;Goba;Goba;Goba;;;X
PROV827;Gode;Gode;Gode;Gode;Gode;Gode;Gode;Gode;;;X
PROV828;Harer;Harer;Harer;Harer;Harer;Harer;Harer;Harer;;;X
PROV829;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;;;X
PROV830;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;Arba Minch;;;X
PROV831;Awasa;Awasa;Awasa;Awasa;Awasa;Awasa;Awasa;Awasa;;;X
PROV832;Hargeisa;Hargeisa;Hargeisa;Hargeisa;Hargeisa;Hargeisa;Hargeisa;Hargeisa;;;X
PROV833;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;;;X
PROV834;Gardo;Gardo;Gardo;Gardo;Gardo;Gardo;Gardo;Gardo;;;X
PROV835;Galkacyo;Galkacyo;Galkacyo;Galkacyo;Galkacyo;Galkacyo;Galkacyo;Galkacyo;;;X
PROV836;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;;;X
PROV837;Baidoa;Baidoa;Baidoa;Baidoa;Baidoa;Baidoa;Baidoa;Baidoa;;;X
PROV838;Kismayo;Kismayo;Kismayo;Kismayo;Kismayo;Kismayo;Kismayo;Kismayo;;;X
PROV839;Garissa;Garissa;Garissa;Garissa;Garissa;Garissa;Garissa;Garissa;;;X
PROV840;Suqutra;Suqutra;Suqutra;Suqutra;Suqutra;Suqutra;Suqutra;Suqutra;;;X
PROV841;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;;;X
PROV842;Mombasa;Mombasa;Mombasa;Mumbasa;Mombasa;Mombasa;Mombasa;Mombasa;;;X
PROV843;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;;;X
PROV844;Kampala;Kampala;Kampala;Kampala;Kampala;Kampala;Kampala;Kampala;;;X
PROV845;Gulu;Gulu;Gulu;Gulu;Gulu;Gulu;Gulu;Gulu;;;X
PROV846;Kigali;Kigali;Kigali;Kigali;Kigali;Kigali;Kigali;Kigali;;;X
PROV847;Usumbura;Usumbura;Usumbura;Usumbura;Usumbura;Usumbura;Usumbura;Usumbura;;;X
PROV848;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;;;X
PROV849;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;;;X
PROV850;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;;;X
PROV851;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;;;X
PROV852;Zanzibar;Zanzibar;Zanzibar;Zanzíbar;Zanzibar;Zanzibar;Zanzibar;Zanzibar;;;X
PROV853;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;Porto Amelia;;;X
PROV854;Nampula;Nampula;Nampula;Nampula;Nampula;Nampula;Nampula;Nampula;;;X
PROV855;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;Lourenco Marques;;;X
PROV856;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;;;X
PROV857;Beira;Beira;Beira;Beira;Beira;Beira;Beira;Beira;;;X
PROV858;Ulongue;Ulongue;Ulongue;Ulongue;Ulongue;Ulongue;Ulongue;Ulongue;;;X
PROV859;Livingstone;Livingstone;Livingstone;Livingston;Livingstone;Livingstone;Livingstone;Livingstone;;;X
PROV860;Kalabo;Kalabo;Kalabo;Kalabo;Kalabo;Kalabo;Kalabo;Kalabo;;;X
PROV861;Kasama;Kasama;Kasama;Kasama;Kasama;Kasama;Kasama;Kasama;;;X
PROV862;Chingola;Chingola;Chingola;Chingola;Chingola;Chingola;Chingola;Chingola;;;X
PROV863;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;;;X
PROV864;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;;;X
PROV865;Chipata;Chipata;Chipata;Chipata;Chipata;Chipata;Chipata;Chipata;;;X
PROV866;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;;;X
PROV867;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;;;X
PROV868;Wankie;Wankie;Wankie;Wankie;Wankie;Wankie;Wankie;Wankie;;;X
PROV869;Francistown;Francistown;Francistown;Francistown;Francistown;Francistown;Francistown;Francistown;;;X
PROV870;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;;;X
PROV871;Maun;Maun;Maun;Maun;Maun;Maun;Maun;Maun;;;X
PROV872;Durban;Durban;Durban;Durban;Durban;Durban;Durban;Durban;;;X
PROV873;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;;;X
PROV874;Maseru;Maseru;Maseru;Maseru;Maseru;Maseru;Maseru;Maseru;;;X
PROV875;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;;;X
PROV876;Johannesburg;Johannesburg;Johannesburg;Johannesburgo;Johannesburg;Johannesburg;Johannesburg;Johannesburg;;;X
PROV877;Mbabane;Mbabane;Mbabane;Mbabane;Mbabane;Mbabane;Mbabane;Mbabane;;;X
PROV878;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;;;X
PROV879;De Aar;De Aar;De Aar;De Aar;De Aar;De Aar;De Aar;De Aar;;;X
PROV880;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;;;X
PROV881;Port Elizabeth;Port Elizabeth;Port Elizabeth;Puerto Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;;;X
PROV882;Swakopmund;Swakopmund;Swakopmund;Swakopmund;Swakopmund;Swakopmund;Swakopmund;Swakopmund;;;X
PROV883;Luderitz;Luderitz;Luderitz;Luderitz;Luderitz;Luderitz;Luderitz;Luderitz;;;X
PROV884;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;;;X
PROV885;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;;;X
PROV886;Tsumeb;Tsumeb;Tsumeb;Tsumeb;Tsumeb;Tsumeb;Tsumeb;Tsumeb;;;X
PROV887;Luena;Luena;Luena;Luena;Luena;Luena;Luena;Luena;;;X
PROV888;Lubango;Lubango;Lubango;Lubango;Lubango;Lubango;Lubango;Lubango;;;X
PROV889;Balboa;Balboa;Balboa;Balboa;Balboa;Balboa;Balboa;Balboa;;;X
PROV890;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;;;X
PROV891;Menongue;Menongue;Menongue;Menongue;Menongue;Menongue;Menongue;Menongue;;;X
PROV892;Lobito;Lobito;Lobito;Lobito;Lobito;Lobito;Lobito;Lobito;;;X
PROV893;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;;;X
PROV894;Matadi;Matadi;Matadi;Matadi;Matadi;Matadi;Matadi;Matadi;;;X
PROV895;Luanda;Luanda;Luanda;Luanda;Luanda;Luanda;Luanda;Luanda;;;X
PROV896;Saint Helena;Saint Helena;Saint Helena;Santa Helena;Saint Helena;Saint Helena;Saint Helena;Saint Helena;;;X
PROV897;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;;;X
PROV898;Elisabethville;Elisabethville;Elisabethville;Elisabethville;Elisabethville;Elisabethville;Elisabethville;Elisabethville;;;X
PROV899;Leopoldville;Leopoldville;Leopoldville;Leopoldville;Leopoldville;Leopoldville;Leopoldville;Leopoldville;;;X
PROV900;Suez;Suez;Suez;Suez;Suez;Suez;Suez;Suez;;;X
PROV901;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;;;X
PROV902;Luluabourg;Luluabourg;Luluabourg;Luluabourg;Luluabourg;Luluabourg;Luluabourg;Luluabourg;;;X
PROV903;Aba;Aba;Aba;Aba;Aba;Aba;Aba;Aba;;;X
PROV904;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;;;X
PROV905;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;;;X
PROV906;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;;;X
PROV907;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;;;X
PROV908;Ouesso;Ouesso;Ouesso;Ouesso;Ouesso;Ouesso;Ouesso;Ouesso;;;X
PROV909;Yaounde;Yaounde;Yaounde;Yaundé;Yaounde;Yaounde;Yaounde;Yaounde;;;X
PROV910;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;;;X
PROV911;Douala;Douala;Douala;Douala;Douala;Douala;Douala;Douala;;;X
PROV912;Sao Tome;Sao Tome;Sao Tome;Sao Tome;Sao Tome;Sao Tome;Sao Tome;Sao Tome;;;X
PROV913;Bata;Bata;Bata;Bata;Bata;Bata;Bata;Bata;;;X
PROV914;Franceville;Franceville;Franceville;Franceville;Franceville;Franceville;Franceville;Franceville;;;X
PROV915;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;;;X
PROV916;Malabo;Malabo;Malabo;Malabo;Malabo;Malabo;Malabo;Malabo;;;X
PROV917;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;Pointe-Noire;;;X
PROV918;Port Gentil;Port Gentil;Port Gentil;Port Gentil;Port Gentil;Port Gentil;Port Gentil;Port Gentil;;;X
PROV919;Bouar;Bouar;Bouar;Bouar;Bouar;Bouar;Bouar;Bouar;;;X
PROV920;Fort Lamy;Fort Lamy;Fort Lamy;Fort Lamy;Fort Lamy;Fort Lamy;Fort Lamy;Fort Lamy;;;X
PROV921;Abeche;Abeche;Abeche;Abeche;Abeche;Abeche;Abeche;Abeche;;;X
PROV922;Faya;Faya;Faya;Faya;Faya;Faya;Faya;Faya;;;X
PROV923;Bambari;Bambari;Bambari;Bambari;Bambari;Bambari;Bambari;Bambari;;;X
PROV924;Moundou;Moundou;Moundou;Moundou;Moundou;Moundou;Moundou;Moundou;;;X
PROV925;Maroua;Maroua;Maroua;Maroua;Maroua;Maroua;Maroua;Maroua;;;X
PROV926;Bangui;Bangui;Bangui;Bangui;Bangui;Bangui;Bangui;Bangui;;;X
PROV927;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;;;X
PROV928;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;N'Gaoundere;;;X
PROV929;Lagos;Lagos;Lagos;Lagos;Lagos;Lagos;Lagos;Lagos;;;X
PROV930;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;;;X
PROV931;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;;;X
PROV932;Ibadan;Ibadan;Ibadan;Ibadán;Ibadan;Ibadan;Ibadan;Ibadan;;;X
PROV933;Buea;Buea;Buea;Buea;Buea;Buea;Buea;Buea;;;X
PROV934;Oshogbo;Oshogbo;Oshogbo;Oshogbo;Oshogbo;Oshogbo;Oshogbo;Oshogbo;;;X
PROV935;Benin City;Benin City;Benin City;Benín City;Benin City;Benin City;Benin City;Benin City;;;X
PROV936;Yola;Yola;Yola;Yola;Yola;Yola;Yola;Yola;;;X
PROV937;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;;;X
PROV938;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;;;X
PROV939;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;;;X
PROV940;Kano;Kano;Kano;Kano;Kano;Kano;Kano;Kano;;;X
PROV941;Abuja;Abuja;Abuja;Abuja;Abuja;Abuja;Abuja;Abuja;;;X
PROV942;Say;Say;Say;Say;Say;Say;Say;Say;;;X
PROV943;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;;;X
PROV944;Niamey;Niamey;Niamey;Niamey;Niamey;Niamey;Niamey;Niamey;;;X
PROV945;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;Tenkodogo;;;X
PROV946;Agadez;Agadez;Agadez;Agadez;Agadez;Agadez;Agadez;Agadez;;;X
PROV947;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;;;X
PROV948;Kara;Kara;Kara;Kara;Kara;Kara;Kara;Kara;;;X
PROV949;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;;;X
PROV950;Lome;Lome;Lome;Lome;Lome;Lome;Lome;Lome;;;X
PROV951;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;;;X
PROV952;Tamale;Tamale;Tamale;Tamale;Tamale;Tamale;Tamale;Tamale;;;X
PROV953;Wa;Wa;Wa;Wa;Wa;Wa;Wa;Wa;;;X
PROV954;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;;;X
PROV955;Ho;Ho;Ho;Ho;Ho;Ho;Ho;Ho;;;X
PROV956;Accra;Accra;Accra;Accra;Accra;Accra;Accra;Accra;;;X
PROV957;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;;;X
PROV958;Tougan;Tougan;Tougan;Tougan;Tougan;Tougan;Tougan;Tougan;;;X
PROV959;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;;;X
PROV960;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;;;X
PROV961;Bouake;Bouake;Bouake;Bouake;Bouake;Bouake;Bouake;Bouake;;;X
PROV962;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;;;X
PROV963;Bissau;Bissau;Bissau;Bissau;Bissau;Bissau;Bissau;Bissau;;;X
PROV964;Freetown;Freetown;Freetown;Freetown;Freetown;Freetown;Freetown;Freetown;;;X
PROV965;Labe;Labe;Labe;Labe;Labe;Labe;Labe;Labe;;;X
PROV966;Conakry;Conakry;Conakry;Conakry;Conakry;Conakry;Conakry;Conakry;;;X
PROV967;Kankan;Kankan;Kankan;Kankan;Kankan;Kankan;Kankan;Kankan;;;X
PROV968;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;;;X
PROV969;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;;;X
PROV970;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;San Pedro;;;X
PROV971;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;;;X
PROV972;Segou;Segou;Segou;Segou;Segou;Segou;Segou;Segou;;;X
PROV973;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;;;X
PROV974;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;;;X
PROV975;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;;;X
PROV976;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;;;X
PROV977;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;;;X
PROV978;Dakar;Dakar;Dakar;Dakar;Dakar;Dakar;Dakar;Dakar;;;X
PROV979;Banjul;Banjul;Banjul;Banjul;Banjul;Banjul;Banjul;Banjul;;;X
PROV980;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;;;X
PROV981;Nouakchott;Nouakchott;Nouakchott;Nuakchot;Nouakchott;Nouakchott;Nouakchott;Nouakchott;;;X
PROV982;Kiffa;Kiffa;Kiffa;Kiffa;Kiffa;Kiffa;Kiffa;Kiffa;;;X
PROV983;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;Saint-Louis;;;X
PROV984;Gao;Gao;Gao;Gao;Gao;Gao;Gao;Gao;;;X
PROV985;Tombouctou;Tombouctou;Tombouctou;Tombuctú;Tombouctou;Tombouctou;Tombouctou;Tombouctou;;;X
PROV986;Atar;Atar;Atar;Atar;Atar;Atar;Atar;Atar;;;X
PROV987;El Aiun;El Aiun;El Aiun;El Aiún;El Aiun;El Aiun;El Aiun;El Aiun;;;X
PROV988;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;;;X
PROV989;Villa Bens;Villa Bens;Villa Bens;Villa Bens;Villa Bens;Villa Bens;Villa Bens;Villa Bens;;;X
PROV990;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;;;X
PROV991;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;;;X
PROV992;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;;;X
PROV993;Ascension Island;Ascension Island;Ascension Island;Islas Ascensión;Ascension Island;Ascension Island;Ascension Island;Ascension Island;;;X
PROV994;Madeira;Madeira;Madeira;Madeira;Madeira;Madeira;Madeira;Madeira;;;X
PROV995;The Azores;The Azores;The Azores;Las Azores;The Azores;The Azores;The Azores;The Azores;;;X
